citekey,fig_no,form,plot_type,has_defect,"hand-picked or k-of-N example, rule unstated",n or counts not shown,"axis broken, truncated or pinned",axes not comparable across panels,bar or mean standing in for a distribution,"no dispersion, error bar, CI or test",pooled where per-system was needed,two measures on one axis,claim with no quantitative panel,oracle-selected model displayed,failures not shown beside successes,other / uncategorised,hides
bryant2024cfold,2,RENDER,structure render,1,0,0,0,0,0,0,0,0,1,0,0,0,"Caption carries the class counts (n = 180, m = 62, n = 3) but no quantitative panel; the counts also disagree with the body text on p.3 (63 hinge)"
bryant2024cfold,3A-B,PLOT,scatter,1,0,0,0,0,0,0,0,0,0,0,0,1,"Both panels sit on a near-degenerate independent axis — cosine similarity spans only 0.99825–0.99975, a range of 0.0015, which makes ""no relationship"" hard to distinguish from ""no dynamic range""; the correlation is annotated as R = −0.02 in both legends while the text (p.4) says Spearman R = 0.02"
bryant2024cfold,3C,RENDER,structure render,0,0,0,0,0,0,0,0,0,0,0,0,0,
bryant2024cfold,4A,PLOT,scatter + line,1,0,0,1,0,0,0,0,0,0,0,0,0,"Independent axis starts at 0.2 (the dataset inclusion cutoff) and dependent axis at 0.4 — the truncation is by construction but not labelled as such; the running-average line is drawn with no band or per-bin n, and thins to very few points above 0.45"
bryant2024cfold,4B,PLOT,strip plot,1,0,0,0,0,0,1,0,0,0,0,0,0,"The fold-switch column contains a **single point** and no summary statistic, n or error is drawn on any column, yet the caption asserts ""The hinge motions are less accurately predicted than the rearrangements and fold switches"" — a three-group claim resting on n = 1 in one group"
bryant2024cfold,5A,PLOT,scatter,1,0,1,0,0,0,0,0,0,0,0,0,0,Per-panel n never stated in caption or legend
bryant2024cfold,5B,PLOT,scatter,1,0,0,1,0,0,0,0,0,0,0,0,0,Same 52-structure survivor restriction and 0.6–1.0 axis truncation as 1C; failures are outside the plotted range by construction
bryant2024cfold,5C,RENDER,structure render,1,1,0,0,0,0,0,0,0,0,0,0,0,"Systems are hand-picked exemplars out of 52; no criterion for their selection is given. Panel labels 1L5T/1BKA and 1IGV/4ICB do not both match the body text, which cites 1L5T/2BKA (p.5)"
bryant2024cfold,6,SCHEMATIC,schematic,1,0,0,0,0,0,0,0,0,0,0,0,1,"Caption states ""In total, 245 such sequences were found"" where the abstract, body and Methods partition counts all say 244"
bryant2024cfold,7A-B,PLOT,histogram (bar),1,0,1,1,0,0,0,0,0,0,0,0,0,"Panel b's independent axis terminates exactly at the 0.8 inclusion cutoff with the modal bin adjacent to it — the truncation is the dataset criterion, so the figure cannot show how far the distribution would extend if the cutoff were relaxed; per-panel n not printed"
bryant2024cfold,7C,PLOT,strip plot,1,0,0,0,0,0,1,0,0,0,0,0,0,Fold-switch column holds 3 points; no summary statistic drawn on any column
bryant2024cfold,8,PLOT,line,1,0,0,0,0,0,0,0,0,0,0,0,1,"Curves are EMA-smoothed with no raw trace or band shown; no validation curve is overlaid, so the divergence between falling loss and the degrading structures reported in Fig. 9d is not visible here"
bryant2024cfold,9A-B,PLOT,box,1,0,0,0,0,0,0,0,0,0,0,0,1,"Boxes show quartiles and whiskers only — the caption itself concedes the panels cannot see the failure they discuss: ""Visually, one can see that the network starts to make worse predictions >10,000 training steps, although this is not apparent from the metrics in (a, b, c)"""
bryant2024cfold,9C,PLOT,line + point,1,0,0,0,0,0,1,0,0,0,0,0,0,"Only the point estimate of R is drawn, no confidence interval"
bryant2024cfold,9D,RENDER,structure render,1,1,0,0,0,0,0,0,0,1,0,0,0,Single hand-picked target (3BDL) used to support a claim about overfitting that the aggregate panels (a–c) explicitly do not show; no quantitative panel supports the visual claim
bugrova2026representation,1,PLOT,line (histogram outline),1,0,1,1,0,0,0,0,0,0,0,0,0,"**x-axis truncated at both ends.** The Chai-1 panel carries an in-panel note ""Not shown: 1.59"" — a real prediction excluded from the visible range. Protenix-v1's 0–1 Å tail (65/1000 samples, the paper's most striking single number) is invisible in the main panel and only appears in the appended expa"
bugrova2026representation,2A,PLOT,line (histogram outline),1,0,1,1,0,0,0,0,0,0,0,0,0,"**x-axis truncated.** Boltz-2 panel carries an in-panel note ""Not shown: 0.97 / 0.86"" — two excluded predictions. y-axis capped at 80 counts. No n annotated"
bugrova2026representation,2B,PLOT,scatter (grid of small multiples),1,0,1,0,0,0,0,0,0,0,0,0,0,"Reference bands are drawn as small grey rectangles that in several panels fall entirely outside the plotted point cloud, so the magnitude of the miss is compressed to the panel edge rather than shown. No n annotated"
bugrova2026representation,3A,RENDER,structure render,1,0,1,0,0,0,0,1,0,0,0,0,0,"**All 14 arms are pooled into one undifferentiated yellow point cloud.** The paper's entire result is the difference *between* arms, and this panel shows none of it. No count of overlaid points is given"
bugrova2026representation,3B,MATRIX,heatmap,1,0,1,0,0,0,1,0,0,0,0,0,0,"The three blank Chai-1 cells are left white and unlabelled, indistinguishable from a missing measurement rather than an unrunnable condition. **No significance test, no CI and no n on any cell**, so 0.018 and 0.244 are visually equated as ""green"". Colour-bar tick spacing on the legend is not uniform"
bugrova2026representation,3C,PLOT,scatter (grid of small multiples),1,0,1,0,0,0,0,0,0,0,0,0,0,"PC2 range (−20 to 20 Å) is far narrower than PC1 (−20 to 60 Å) and the aspect ratio is not equal, so spatial spread is visually distorted. The expected D103 amino-group position is **not marked** on this panel (unlike Fig. 4C, which does carry a star), so ""at the expected position"" cannot be checked"
bugrova2026representation,4A,RENDER,structure render,1,0,1,0,0,0,0,1,0,0,0,0,0,"All 14 arms pooled into one point cloud, as in 3A. Many points sit outside the protein entirely, but per-arm attribution is impossible. No count of overlaid points"
bugrova2026representation,4B,MATRIX,heatmap,1,0,1,0,0,0,1,0,0,0,0,0,0,"Same defects as 3B: blank Chai-1 cells unlabelled, no significance test, no CI, no n, non-uniform colour-bar tick spacing"
bugrova2026representation,4C,PLOT,scatter (grid of small multiples),1,0,0,0,0,0,0,0,0,0,0,0,1,"PC2 range (−10 to 20 Å) far narrower than PC1 (−40 to 40 Å) with unequal aspect ratio, so the distance from each cloud to the starred pocket is visually compressed along PC1 and stretched along PC2. The paper's claim that ""none of the algorithms recapitulate this putative binding site"" is left to th"
bugrova2026representation,Table 1,MATRIX,table (not a figure),1,0,0,0,0,1,0,0,0,0,0,0,0,"Chai-1 CCD cells are simply empty with no marker. SDs are given but no distribution shape, so the bimodality the text notes for Protenix-v1 C–O (p7) is invisible here. One value is typeset with a comma decimal separator (""1.469±0,007""), a copy-editing slip"
chai2024chai1,1,SCHEMATIC,schematic,1,0,0,0,0,0,0,0,0,0,0,0,1,"Caption asserts a ""wide variety of optional input features"" but the figure is the only architecture description in the paper — no layer counts, no dimensions, no parameter count anywhere in text or figure"
chai2024chai1,2,PLOT,bar,1,0,0,0,0,1,1,0,0,0,0,0,0,"**Three different metrics are stacked on one ""Success (percent)"" axis** — RMSD < 2 Å, DockQ > 0.23 and Cα-LDDT are not the same quantity and are only comparable by being 0–100. The left panel's series are exclusive (each method appears once, so the ""series"" is really the x-axis there) while the righ"
chai2024chai1,3,RENDER,structure render,1,1,1,0,0,0,0,0,0,1,0,0,0,"The argument is that a benchmark failure is a benchmark artefact, and it is made entirely from three hand-picked renders with **no quantitative panel at all** — no count of how many PoseBusters targets contain crystallization aids, no re-scored success rate with such cases excluded. One RMSD (1.73 Å"
chai2024chai1,4A,PLOT,bar,1,0,1,0,0,1,0,0,0,0,0,0,0,"**n is never given** for the antibody–antigen set, in the caption or the text — the one evaluation set in the paper whose size is unstated. Bars hide distributions; error bars not described in the caption. The three tiers are nested subsets of the same predictions, so the three groups are not indepe"
chai2024chai1,4B,RENDER,structure render,1,1,0,0,0,0,0,0,0,0,0,0,0,"Caption states these are **""Cherry-picked example predictions""** — the authors' own word — and quotes a 0.10 → 0.81 DockQ jump that is by construction the most favourable case available"
chai2024chai1,5A-B,PLOT,box,1,0,1,0,0,0,0,0,0,0,0,0,0,"**No n per bin**, so a bin containing three interfaces looks like one containing three hundred. **No calibration statistic** accompanies the ""well calibrated"" and ""strong discriminator"" claims (p6). The caption also contains a self-contradiction about homology filtering: ""we show results for all int"
chai2024chai1,5C,PLOT,scatter (swarm),1,0,0,0,0,0,0,0,0,0,0,0,1,"**The plotted cloud is a 5% subsample and the caption says so**, so visual density carries no information about how many points sit in each bin; combined with the absent per-bin n this makes the panel unquantified. Ions and bonded ligands are excluded without a count of how many that removed"
chai2024chai1,6,RENDER,structure render,1,1,1,0,0,1,0,0,0,0,0,0,0,"Examples were ""chosen to emphasize potentially therapeutically relevant structures"" (p7) with no stated selection protocol; RMSD values are printed under each panel but there is no distribution, no n, and no comparator — a showcase, not a result"
chai2024chai1,S1A,PLOT,bar,1,0,0,0,0,0,1,0,0,0,0,0,0,"**The whole panel is at ceiling** — every criterion sits at or just below 1.0 for both methods, so 16 of 18 criteria carry no information and the two that do (tetrahedral chirality, volume overlap with proteins) are compressed into the top 12% of the axis. No error bars. Cross-reference `metric_satu"
chai2024chai1,S1B,PLOT,line,1,0,0,0,0,0,0,0,0,0,1,0,0,"Nothing hidden — this is the most honest panel in the paper: it shows the oracle ceiling and the random floor alongside the reported number, and makes the 2 Å threshold's arbitrariness visible. No confidence bands on the curves"
chai2024chai1,S1C,PLOT,box (with outlier points),1,0,1,1,0,0,0,0,0,0,0,0,0,"**No n per bin.** The y-axis is clipped at 20 Å, so any prediction worse than that is silently pulled to the edge or dropped — the caption does not say which"
chai2024chai1,S2,PLOT,bar,1,0,0,0,0,1,1,0,0,0,0,0,0,"**Each panel has its own unlabelled y-scale** (the high-quality panel tops out near 0.35 while the acceptable panel reaches 0.8), so the visual impression of the lead is not comparable across panels. Bars hide distributions; significance shown as unlabelled horizontal bars with no p-values"
chai2024chai1,S3,PLOT,box,1,0,0,0,0,0,1,0,0,0,0,0,0,"**The boxes are bootstrap distributions of the mean, not distributions over targets** (""Boxes indicate the inter-quartile range across 10,000 bootstrap samples""), so the visible spread is sampling error and looks far tighter than the per-target variation. Two different metrics (iLDDT and C1′-LDDT) s"
chakravarty2026statespace,1,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,*(blank)*
chakravarty2026statespace,2A,SCHEMATIC,schematic,1,0,0,0,0,0,0,0,0,1,0,0,0,"Axes are labelled only ""High energy (low probability)"" / ""Low energy (high probability)"" with **no numeric scale on either axis** — appropriate for a schematic, but it means the depicted population shift is illustrative and carries no magnitude"
chakravarty2026statespace,2B,RENDER,structure render,0,0,0,0,0,0,0,0,0,0,0,0,0,*(blank — the figure is illustrative by design and does not claim a quantitative result)*
chakravarty2026statespace,3,SCHEMATIC,schematic,1,0,0,0,0,0,0,0,0,0,0,0,1,"The stage-3 box displays population labels ""40%"" and ""60%"" on a two-basin cartoon. **These are illustrative numbers with no source, no system and no citation**, drawn in the same visual register as the method lists beside them, which are real. A reader skimming the figure could take them for a repor"
chakravarty2026statespace,4,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,*(blank)*
chen2026medchem,1A–B,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,
chen2026medchem,2A,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,
chen2026medchem,2B,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,"Presented as a mechanistic reference but it is itself an AF3 *prediction*, and no experimental sEH–EET structure is shown alongside it"
chen2026medchem,2C,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,
chen2026medchem,2D,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**Dual y-axis in a single panel**: O and P read against the left 0–20 Å axis, V against the right 0–100% axis, so the V violins are drawn in the same visual space as RMSD violins and invite a comparison that is meaningless. **No n stated in the caption** (10 is recoverable only from p44). **AF3 only"
chen2026medchem,3A–F,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,**One of ten models shown with no stated selection rule.** The paired 2D deviation maps use a fixed 0–10 Å colour scale (p46) that saturates for the failed case
chen2026medchem,4A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**Y-axis of panel A runs 0–~50 Å**, which compresses the 2 Å threshold line and every successful entry onto the baseline — the discriminating region is unreadable. **n not shown.** AF3 only; Boltz-2 in Figure S2 (absent)"
chen2026medchem,4D–G,RENDER,structure render,1,0,1,0,0,0,0,0,0,1,0,0,0,"**This is the paper's entire conformational-state evidence and it carries no quantitative panel at all** — the DFG-in/out and αC-in/out calls are made from coloured helices and hand-drawn arrows, with no dihedral, distance, RMSD or threshold anywhere. One unlabelled model of ten per system. No n"
chen2026medchem,5A,PLOT,violin,1,0,0,0,0,0,0,0,0,1,0,0,0,"Mixed Å and % measures on one panel. Only entry 22 is plotted although the text claims a result ""across both complexes"" (22 and 23) — entry 23 has no panel"
chen2026medchem,5B,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,Single unlabelled model
chen2026medchem,6A,PLOT,violin,0,0,0,0,0,0,0,0,0,0,0,0,0,
chen2026medchem,6B,SCHEMATIC,schematic,1,1,0,0,0,0,0,0,0,0,0,0,0,Ambiguity regions circled by hand; no criterion given for what counts as ambiguous
chen2026medchem,6C,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,Single contour level (1.0σ) shown; no second level to test how the conclusion depends on it
chen2026medchem,7A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**n = 6 entries carries a whole-modality verdict.** Panels A and B run 0–40 Å and 0–50 Å, flattening the 2 Å and 1.5 Å threshold lines onto the axis. In panel C entries 26, 29, 30 and 31 sit at or near 0% and are hard to separate. **n not shown.** AF3 only; Boltz-2 in Figure S3 (absent)"
chen2026medchem,7D–I,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,Single unlabelled model per system
chen2026medchem,8A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**n not shown.** The ""6 of 9"" success count in the text (p19) is not marked on the figure. AF3 only; Boltz-2 in Figure S4 (absent)"
chen2026medchem,8D–G,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,Single unlabelled model per system
chen2026medchem,9A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**The entire PROTAC verdict rests on 2 ternary complexes**, which the figure does not make visible. **n not shown.** AF3 only; Boltz-2 in Figure S5 (absent)"
chen2026medchem,9D–G,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,This dual-alignment device is the paper's cleanest figure idea — it separates binary-pocket recovery from ternary-geometry recovery without needing a new metric
chen2026medchem,10A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**n = 5 systems (8 scored entities) carries a whole-modality verdict.** Panels A and B run to ~50 Å and ~60 Å, compressing the threshold lines onto the axis. **n not shown.** AF3 only; Boltz-2 in Figure S6 (absent)"
chen2026medchem,10D–K,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,"Predicted and experimental shown **side by side rather than superimposed**, which makes the ternary-geometry deviation — the actual result of this section — impossible to judge from the figure"
chen2026medchem,11A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,1,0,0,0,**The covalent bond-angle result — the section's most specific finding — has no quantitative panel here**; the 130.8°/162.2°/125.8° comparison exists only as text (p26–27) and as a single annotated render in Fig 19E. **n not shown.** AF3 only; Boltz-2 in Figure S7 (absent)
chen2026medchem,11D–I,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,Single unlabelled model per system
chen2026medchem,12A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,1,0,0,0,"**Three violins carry a modality verdict** — one severe failure, one partial, one success, i.e. one case per outcome. **No structural render is shown for the MCT8 fold failure**, although ""the predicted protein architecture was substantially incorrect"" (p28) is the section's main claim, so its centr"
chen2026medchem,13A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"Range spans 1.73–16.73 Å (p31), so panel A's axis must accommodate ~17 Å and the 2 Å line is again near the baseline. **n not shown.** AF3 only; Boltz-2 in Figure S9 (absent)"
chen2026medchem,13D–E,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,1,0,"Only the best RNA case (60) gets a render; **no render is shown for the two failures (59 at 16.73 Å, 61 at 10.88 Å)**"
chen2026medchem,13F,SCHEMATIC,schematic,1,0,0,0,0,0,0,0,0,0,0,0,1,Colour scale fixed 0–10 Å (p46)
chen2026medchem,14A–C,PLOT,violin,1,0,1,0,0,0,0,0,0,0,0,0,0,"**Entries 36–40 are plotted in both this figure and Figure 8, so the fragment and PPI classes share five entries** and the two class-level verdicts are not independent. **n not shown.** AF3 only; Boltz-2 in Figure S10 (absent)"
chen2026medchem,14D,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,Three references and one prediction in one image with arrow labels; which of the 10 models is shown is not stated
chen2026medchem,15A–C,PLOT,scatter,1,0,0,0,0,0,1,0,0,0,0,0,0,"**The independent axis is labelled ""PDB ID"" but carries no information** — points are sorted by their own colour bin and then by measure, so the x-position is a rank, not a variable; the plot is a sorted strip chart dressed as a scatter, and the actual predictor (the confidence value) is shown only "
chen2026medchem,16A,PLOT,scatter,1,0,1,0,0,0,0,0,0,0,0,0,0,"**n = 6, and the x-range spans only ~1.1 log units** — the paper says so itself (p36). Every point gets its own marker shape and colour, which reads as six series rather than six observations. The reported correlation is negative (r = −0.4770), i.e. the wrong direction, and this is not stated in the"
chen2026medchem,16B,SCHEMATIC,table,1,0,0,0,0,0,0,0,0,0,0,0,1,The only per-entry numeric table in the entire main text; every other modality's equivalent is in the absent SI
chen2026medchem,17,PLOT,scatter,1,0,0,0,0,0,0,0,0,0,0,0,1,The best-powered arm in the paper. Residual SD 0.63 log units is reported in text (p38) but the caption does not state whether an identity line or a regression line is drawn
chen2026medchem,"18A, 18C–D",RENDER,structure render,1,0,1,0,0,0,0,0,0,1,0,0,0,"**The paper's entire activity-cliff structural evidence.** No RMSD, no distance distribution across the 10 models, no quantitative panel — the single number on the figure is a hand-annotated ""2.0 Å Steric clash"" arrow, and it is not stated whether 2.0 Å is the mean, minimum or a single model's value"
chen2026medchem,18B,SCHEMATIC,schematic,1,0,0,0,0,0,1,0,0,0,0,0,0,"**The affinity result — the one positive finding of the arm — is printed as text on a chemical-structure panel with no error bar, no spread across the 10 predictions, and no experimental value to compare against**"
chen2026medchem,19A–F,RENDER,structure render,1,0,0,0,0,0,0,0,0,0,0,0,1,"**A qualitative catalogue standing in for a frequency measurement**: the paper never reports how often chirality inversion, E/Z error or clash occurs across the 83 complexes, only that each can happen. Three of the six exemplars (1W6K, 4AV4, 7X1T) are **pre-cutoff structures**, used without comment "
chib2025gpcrstates,1,SCHEMATIC,schematic,0,0,0,0,0,0,0,0,0,0,0,0,0,
