citekey,metric,value,units,measured_against,page
abramson2024af3,"Antibody accuracy vs seeds, AF3","5 → 1,000 seeds improves top-ranked quality",% DockQ > 0.23 and % DockQ > 0.8,"n = 65 clusters, 1,200 seeds sampled 1,000× with replacement; Wilcoxon P = 2.0 × 10⁻⁵ (correct) and P = 0.009 (very high accuracy)",p7
abramson2024af3,"Disorder detection on CAID 2, AF3","**AUC 0.95** (RASA), **0.91** (pLDDT)",ROC AUC,"CAID 2, n = 151 proteins / 46,093 residues, low homology to training; vs AF-M 2.3 0.94 / 0.93 and **AF3 without cross-distillation 0.67 / 0.89**",p12 (ED Fig. 1b)
abramson2024af3,"Phosphorylation modelled vs not, AF3",modelled is better (P = 1.6 × 10⁻⁴),pocket-aligned backbone accuracy,"Recent PDB eval, SEP/TPO/PTR/NEP/HIP, n = 76 clusters, paired two-sided Wilcoxon",p17 (ED Fig. 6a)
abramson2024af3,DockQ ↔ iLDDT correspondence,DockQ 0.23 ≡ iLDDT **23.6**; DockQ 0.8 ≡ iLDDT **77.6**,"threshold translation, Huber fit","4,182 protein–protein interface clusters","p9, p20 (ED Fig. 9)"
abramson2024af3,Training-speed landmark,"intrachain metrics reach 97% of maximum by **20,000** steps; protein–protein interface LDDT only after **60,000** steps",optimizer steps,AF3 evaluation set during initial training,"p4, p3 (Fig. 2d)"
abramson2024af3,"Example full-complex accuracies (showcase, not benchmark)",7PZB LDDT 82.8 / GDT 90.1; 7PNM LDDT 83.0 / GDT 83.1; 7TQL LDDT 87.7 / GDT 86.9; 7AU2 r.m.s.d. 1.10 Å; 7U8C DockQ 0.85; 7URD 1.00 Å; 7WUX 1.92 Å; 7QIE 0.37 Å,LDDT / GDT / DockQ / ligand r.m.s.d. (Å),Single hand-picked complexes — **not a sample**; see `oracle_leakage` route 7,"p2, p4"
aureli2026epath,apo-MOR-Euclidean ΔG (activation free-energy difference),~18 (value as printed; units and sign to be confirmed against the figure),kcal/mol,independent-replica convergence,
aureli2026epath,"Convergence time, one arm",~800 ns,simulation time,ΔG plateau,
aureli2026epath,Replica scheme,1 unbiased (replica 0) + 7 exploratory (replicas 1–7),count,—,
aureli2026epath,Microswitch CVs,"4 motifs: PIF, DRY, NPxxY, YY",count,—,
bret2025boltz2docking,Hit set,943 ultra-large-virtual-screening hits across 10 targets,count,experimental in vitro binding/activity,
bret2025boltz2docking,GPCR targets among the ten,"8 (CASR, CNR1, CNR2, DRD3, DRD4, MTR1A, SC6A4*, SGMR2*, + ADRA2B in the mutation arm)",count,UniProt,
bret2025boltz2docking,Primary metric,"ROC AUC, and ΔROC AUC = ROC AUC(wt) − ROC AUC(mutant)",—,true actives vs true inactives,
bret2025boltz2docking,Decoy construction,"one synthetic decoy per active, by shuffling binders across targets",ratio,—,
bryant2024cfold,"Test-conformation success, MSA clustering",81 / 155 (52%),count / % of evaluated targets,"TM-score >0.8 to the held-out (test) deposited conformation, best of ~104 samples","p.3, Table 1 p.3, p.5"
bryant2024cfold,"Test-conformation success, dropout",76 / 155,count,"TM-score >0.8 to held-out conformation, best of 100 samples",Table 1 p.3
bryant2024cfold,"Train-conformation success, MSA clustering",81 / 155,count,TM-score >0.8 to the *seen* (train) conformation,Table 1 p.3
bryant2024cfold,"Train-conformation success, dropout",72 / 155,count,TM-score >0.8 to the seen conformation,Table 1 p.3
bryant2024cfold,"Both train and test recovered, MSA clustering",52 / 155,count,TM >0.8 to both deposited states,"Table 1 p.3, p.4"
bryant2024cfold,"Both train and test recovered, dropout",45 / 155,count,TM >0.8 to both deposited states,Table 1 p.3
bryant2024cfold,Targets producing any prediction,154 (MSA clustering) / 145 (dropout) of 155,count,"completion, remainder failed on 40 GB GPU RAM","Table 1 p.3, p.10"
bryant2024cfold,Sample-level state assignment,37% test / 33% train / 30% neither,% of all sampled predictions,TM >0.8 to each deposited state,p.3
bryant2024cfold,Success within the 0.2–0.4 TM-change band,57% (78 / 138),% of targets,TM >0.8 to held-out conformation,p.5
bryant2024cfold,Accuracy vs magnitude of conformational change,Pearson R = −0.62,correlation,test-conformation TM vs inter-conformation TM difference (n = 155),"p.5, Fig. 4a p.5"
bryant2024cfold,plDDT as conformation discriminator,Pearson R = 0.52,correlation,plDDT vs TM-score to a given conformation,"p.5, Fig. 5a p.6"
bryant2024cfold,plDDT as ordinary accuracy predictor (contrast),Pearson R > 0.9,correlation,"plDDT vs lDDT on the validation set, all training steps","p.5, Fig. 9c p.10"
bryant2024cfold,Embedding difference vs structural outcome,Spearman R = 0.02 (figure legends show R = −0.02),correlation,"single-embedding cosine similarity / pair-embedding L2 vs ΔTM-score, n = 52","p.4, Fig. 3 p.4"
bryant2024cfold,Target admission rate into the generation set,155 / 234 (66%),count / %,Cfold TM ≥0.6 to the train conformation with one prediction,p.10
bryant2024cfold,Structural clusters in the PDB (TM ≥0.8),"6696 clusters from 64,208 / 68,953 structures (93%)",count,TM-align pairwise ≥0.8 within 30%-identity sequence clusters,"p.1, p.7"
bryant2024cfold,Sequence clusters at 30% identity,"10,116 total, 5452 with more than one entry",count,MMseqs2 `--min-seq-id 0.3 -c 0.8 --cov-mode 1`,p.7
bryant2024cfold,Sequence clusters at 90% identity,"14,662 from 64,208 sequences; 7806 with >1 member; 627 spanning ≥2 structural clusters",count,MMseqs2 `--min-seq-id 0.9`,p.7
bryant2024cfold,Alternative conformations found,311 candidate → 245 sequence clusters / 244 alternative conformations across 458 structural clusters,count,>0.2 TM difference over aligned regions + manual check,"p.7 (Fig. 6), p.8"
bryant2024cfold,Coverage of the PDB by known alternative conformations,"244 / 10,116 sequence clusters (2.4%)",%,—,p.6
bryant2024cfold,Coverage of the AF-non-homologous subset,"38 proteins, ""only 0.6% of possible structures would be evaluated""",count / %,date cutoff 30 April 2018 + non-homology to AF training set,"p.1, p.7"
bryant2024cfold,Conformational-change type counts (full set),"62 hinge / 180 rearrangement / 3 fold switch (p.8, Figs 2 and 7c); text on p.3 states 63 hinge",count,manual categorisation,"p.3, p.8"
bryant2024cfold,Conformational-change type counts (evaluated set),40 hinge / 114 rearrangement / 1 fold switch,count,subset with TM ≥0.6 predictable (155),p.3
bryant2024cfold,Inter-conformation structural change,mostly 0.2–0.3 TM-score; distribution censored at 0.8,TM-score,TM-align between deposited states,"p.8, Fig. 7b p.8"
bryant2024cfold,Validation-set evaluability,307 / 315 (97%),count,TM-align / lDDT computable,p.9
bryant2024cfold,Embedding rerun completion,"10,774 / 10,816 (99.6%)",count,sampling completed,p.10
bryant2024cfold,Training cost,"74,000 steps (best weights at 10,000), 19.7 s/step, 17 days total, ~3 days to best checkpoint, 8× A100, effective batch 24, crop 256",—,—,p.9
bryant2024cfold,**AlphaFold2 baseline**,"**NOT RUN — no AF2 number appears anywhere in this paper.** The stated reason: ""As AF (and other structure prediction methods) can't be evaluated on this set due to having seen most of these conformations during training"" (p.1). The only comparison to prior work is evaluation-set size: ""n = 155 vs n = 8 previously"" (p.5).",—,—,"p.1, p.5"
bugrova2026representation,"KS (PC1), Boltz-2, methylammonium SMILES vs CCD",0.996,"dimensionless, 0–1",its own predictions under the other input format (n = 500 vs 500),9 (Fig. 3B)
bugrova2026representation,"KS (PC1), AlphaFold 3, acetate SMILES vs CCD",0.988,"dimensionless, 0–1","same-ligand, other format (500 vs 500)",10 (Fig. 4B)
bugrova2026representation,"KS (PC1), Boltz-2, methylamine SMILES vs CCD",0.890,"dimensionless, 0–1","same-ligand, other format",9 (Fig. 3B)
bugrova2026representation,"KS (PC1), AlphaFold 3, methylamine SMILES vs CCD",0.442,"dimensionless, 0–1","same-ligand, other format",9 (Fig. 3B)
bugrova2026representation,"KS (PC1), Protenix-v1, methylamine SMILES vs CCD",0.276,"dimensionless, 0–1","same-ligand, other format",9 (Fig. 3B)
bugrova2026representation,"KS (PC1), AlphaFold 3, methylammonium SMILES vs CCD",0.018,"dimensionless, 0–1","same-ligand, other format",9 (Fig. 3B)
bugrova2026representation,"KS (PC1), Protenix-v1, methylammonium SMILES vs CCD",0.054,"dimensionless, 0–1","same-ligand, other format",9 (Fig. 3B)
bugrova2026representation,"KS (PC1), AlphaFold 3, acetic acid SMILES vs CCD",0.172,"dimensionless, 0–1","same-ligand, other format",10 (Fig. 4B)
bugrova2026representation,"KS (PC1), Boltz-2, acetate / acetic acid SMILES vs CCD",0.262 / 0.230,"dimensionless, 0–1","same-ligand, other format",10 (Fig. 4B)
bugrova2026representation,"KS (PC1), Protenix-v1, acetate / acetic acid SMILES vs CCD",0.258 / 0.244,"dimensionless, 0–1","same-ligand, other format",10 (Fig. 4B)
bugrova2026representation,"KS (PC1), AlphaFold 3, methylamine vs methylammonium, CCD / SMILES",0.244 / 0.240,"dimensionless, 0–1",its own predictions for the other protonation state (500 vs 500),9 (Fig. 3B)
bugrova2026representation,"KS (PC1), Boltz-2, methylamine vs methylammonium, CCD / SMILES",0.630 / 0.482,"dimensionless, 0–1",other protonation state,9 (Fig. 3B)
bugrova2026representation,"KS (PC1), Chai-1, methylamine vs methylammonium, SMILES",0.166,"dimensionless, 0–1",other protonation state (CCD arm not runnable),9 (Fig. 3B)
bugrova2026representation,"KS (PC1), Protenix-v1, methylamine vs methylammonium, CCD / SMILES",0.350 / 0.096,"dimensionless, 0–1",other protonation state,9 (Fig. 3B)
bugrova2026representation,"KS (PC1), AlphaFold 3, acetate vs acetic acid, CCD / SMILES",0.844 / 0.160,"dimensionless, 0–1",other protonation state,10 (Fig. 4B)
bugrova2026representation,"KS (PC1), Boltz-2, acetate vs acetic acid, CCD / SMILES",0.082 / 0.070,"dimensionless, 0–1",other protonation state,10 (Fig. 4B)
bugrova2026representation,"KS (PC1), Chai-1, acetate vs acetic acid, SMILES",0.154,"dimensionless, 0–1",other protonation state,10 (Fig. 4B)
bugrova2026representation,"KS (PC1), Protenix-v1, acetate vs acetic acid, CCD / SMILES",0.124 / 0.048,"dimensionless, 0–1",other protonation state,10 (Fig. 4B)
bugrova2026representation,"N–C distance, methylamine, AF3 CCD / SMILES",1.319±0.015 / 1.306±0.017,Å,QC reference 1.45–1.48 Å,6 (Table 1)
bugrova2026representation,"N–C distance, methylammonium, AF3 CCD / SMILES",1.273±0.023 / 1.273±0.023,Å,QC reference 1.48–1.51 Å,6 (Table 1)
bugrova2026representation,"N–C distance, methylamine → methylammonium, Boltz-2 SMILES",1.258±0.005 → 1.281±0.005,Å,QC reference (expected to lengthen); **the only case in the paper with the correct sign of the charge effect**,"6 (Table 1), 4"
bugrova2026representation,"N–C distance, methylamine → methylammonium, Protenix-v1 SMILES",1.293±0.049 → 1.193±0.183,Å,QC reference (expected to lengthen; observed to shorten),6 (Table 1)
bugrova2026representation,"N–C distance, methylamine, Chai-1 SMILES",1.433±0.042,Å,QC reference 1.45–1.48 Å (closest of all tools),6 (Table 1)
bugrova2026representation,"Shortest N–C bond generated, Protenix-v1",0.075,Å,"physically impossible; ""65 values for methylammonium out of 1000 analyzed being relatively evenly distributed in the completely unnatural range from 0 to 1 Å"" (6.5% of samples)",4
bugrova2026representation,"C–C distance, acetate → acetic acid, AF3 CCD",1.469±0.007 → 1.491±0.008,Å,QC references 1.52–1.534 / 1.495–1.502 Å (expected to shorten; observed to lengthen — wrong sign),"6 (Table 1), 7"
bugrova2026representation,"C–C distance, acetate → acetic acid, Boltz-2 SMILES",1.453±0.004 → 1.448±0.005,Å,QC references (correct sign; the one correct case for C–C),"6 (Table 1), 7"
bugrova2026representation,"C–C distance, acetate, Boltz-2 CCD vs SMILES",1.416±0.027 vs 1.453±0.004,Å,"same ligand, other format — a 0.037 Å format-induced shift, ~9σ of the SMILES SD",6 (Table 1)
bugrova2026representation,"C–C distance, acetic acid, AF3 CCD vs SMILES",1.491±0.008 vs 1.464±0.004,Å,"same ligand, other format — a 0.027 Å format-induced shift",6 (Table 1)
bugrova2026representation,"C–O vs C–OXT split, acetic acid, all four tools",≤0.017 Å (e.g. AF3 CCD 1.237 vs 1.254; Protenix CCD 1.212 vs 1.211),Å,"expected split 1.189–1.22 vs 1.331–1.35 Å, i.e. ~0.13 Å; **none of the tools reproduce it**","6 (Table 1), 11"
bugrova2026representation,"C–O split, acetate (expected to be *equal*), AF3 CCD",1.224±0.006 vs 1.258±0.008,Å,expected identical (1.26–1.28 Å both) — the split appears where it should not,"6 (Table 1), 7"
chai2024chai1,"Ligand RMSD success (pocket-aligned RMSD < 2 Å), Chai-1 blind",77.05,% of targets,"PoseBusters V1, n = 427 structures","Table 1, p12; text 77%, p3"
chai2024chai1,"Ligand RMSD success, AF3 (published predictions, not re-run)",76.34,% of targets,"PoseBusters V1, n = 427","Table 1, p12; footnote 3, p3"
chai2024chai1,"Ligand RMSD success, RoseTTAFold All-Atom (published)",42,% of targets,"PoseBusters V1, n = 427","Table 1, p12"
chai2024chai1,"Ligand RMSD success, Chai-1 with apo receptor supplied (docking task)",81.20,% of targets,"PoseBusters V1, n = 427","Table 1, p12; text 81%, p3"
chai2024chai1,"DockQ success rate (> 0.23), Chai-1 with MSA",0.751 (95% CI 0.723–0.778),fraction of clusters,"Low-homology protein–protein, n = 929 interface clusters (2362 interfaces, 1054 PDB structures)","Table 2, p12; text p4"
chai2024chai1,"DockQ success rate (> 0.23), Chai-1 single-sequence",0.698 (0.668–0.728),fraction of clusters,"same, n = 929","Table 2, p12"
chai2024chai1,"DockQ success rate (> 0.23), Chai-1 with MSA, no templates",0.743,fraction of clusters,"same, n = 929; ""reduction is not statistically significant""",p4
chai2024chai1,"DockQ success rate (> 0.23), AlphaFold-Multimer 2.3",0.677 (0.646–0.706),fraction of clusters,"same, n = 929; Chai-1 vs AF2.3 two-sided Wilcoxon p = 6.24 × 10⁻¹⁰","Table 2, p12; text p4"
chai2024chai1,"DockQ success rate (> 0.23), Chai-1 with MSA",0.529 (0.438–0.620),fraction of clusters,"Antibody–protein subset, n = 121 clusters (268 interfaces, 129 structures)","Table 2, p12"
chai2024chai1,"DockQ success rate (> 0.23), Chai-1 single-sequence",0.479 (0.388–0.570),fraction of clusters,"same, n = 121; beats AF2.3 at p = 4.04 × 10⁻⁴","Table 2, p12; text p4"
chai2024chai1,"DockQ success rate (> 0.23), AlphaFold-Multimer 2.3",0.380 (0.298–0.463),fraction of clusters,"same, n = 121; Chai-1 vs AF2.3 p = 3.25 × 10⁻⁵","Table 2, p12; text p4"
chai2024chai1,"Cα-LDDT, Chai-1 with MSA",0.915 (0.907–0.922),LDDT (0–1),"Low-homology protein monomers, n = 271 clusters (447 monomers)","Table 2, p12"
chai2024chai1,"Cα-LDDT, Chai-1 single-sequence",0.852 (0.834–0.867),LDDT (0–1),"same, n = 271; worse than AF2.3, p = 4.46 × 10⁻¹⁶","Table 2, p12; text p6"
chai2024chai1,"Cα-LDDT, AlphaFold-Multimer 2.3",0.903 (0.895–0.911),LDDT (0–1),"same, n = 271; Chai-1 > AF2.3, p = 7.21 × 10⁻¹⁰","Table 2, p12; text p6"
chai2024chai1,"LDDT, Chai-1",0.849,LDDT (0–1),"CASP15 monomers, n = 69 (T1169 excluded)",p6
chai2024chai1,"LDDT, AF2.3",0.843,LDDT (0–1),"CASP15 monomers, n = 69",p6
chai2024chai1,"LDDT, AF2.3 (all targets, authors' reproduction)",0.842,LDDT (0–1),"CASP15 monomers, n = 70; vs 0.826 reported by Hayes et al. [21]",p10
chai2024chai1,"LDDT, ESM3 98B (cited, not run)",0.801,LDDT (0–1),"CASP15 monomers, n = 70",p6
chai2024chai1,"LDDT, Chai-1 on AF2.3-hard subset",0.643,LDDT (0–1),"CASP15 targets with AF2.3 LDDT < 0.75, n = 14; p = 3.66 × 10⁻⁴",p6
chai2024chai1,"LDDT, AF2.3 on the same hard subset",0.552,LDDT (0–1),"same, n = 14",p6
chai2024chai1,"LDDT, AF3 on CASP15 RNA (cited, not run)",0.473,LDDT (0–1),8 of the CASP15 RNA targets,p6
chai2024chai1,"Antibody–antigen DockQ acceptable, Blind (no constraints)",35,% of interfaces,"Antibody–antigen subset, **n NOT REPORTED**","p5, Figure 4A"
chai2024chai1,"Antibody–antigen DockQ acceptable, one contact restraint θ ≤ 15 Å",57,% of interfaces,"same, **n NOT REPORTED**","p5, Figure 4A"
chai2024chai1,"Antibody–antigen DockQ high-quality, all constraint settings",4–8,% of interfaces,"same, **n NOT REPORTED**",p5
chai2024chai1,"Example: DockQ improvement from epitope conditioning, PDB 7SYV",0.10 → 0.81,DockQ,single cherry-picked example,"Figure 4B caption, p5"
chai2024chai1,Server-vs-internal-pipeline agreement,"µ = 0.345, σ = 0.150, all < 1",Å RMSD,spot check on PoseBusters examples; server run without templates,p6–7
chai2024chai1,"Interface LDDT / C1′-LDDT, Chai-1 vs RoseTTAFold2NA","**values NOT REPORTED numerically** — box medians only, roughly 0.57 / 0.66 / 0.37 for Chai-1",LDDT (0–1),"protein–RNA n = 18, protein–DNA n = 26, CASP15 RNA n = 9","Figure S3, p14; text p6"
chai2024chai1,"Runtime / wall-clock inference cost, either mode",**NOT REPORTED**,—,—,—
chai2024chai1,"Confidence calibration statistic (ρ, AUROC, ECE)",**NOT REPORTED**,—,—,—
chakravarty2026statespace,"TM-score, EAAT transport domain, outward vs inward",0.608,TM-score,"deposited EAAT structures, cited [27, 28]; **possibly computed by these authors**",p4
chakravarty2026statespace,"TM-score, EAAT scaffold domain",0.834,TM-score,as above,p4
chakravarty2026statespace,"TM-score, EAAT core structure",0.897,TM-score,as above,p4
chakravarty2026statespace,EAAT transport-domain rigid-body displacement on substrate binding,~15,Å,"cited [27, 28]",p4
chakravarty2026statespace,F7 pyocin fold-switching segment length,163,residues,cited [40],p6
chakravarty2026statespace,"BCCIP isoform pair, sequence identity",~80,%,"cited [59, 60]",p8
chakravarty2026statespace,"BCCIP isoform pair, structural difference",>10,Å,"cited [59, 60]",p8
chakravarty2026statespace,Fraction of AFDB/ESMAtlas structures representing genuinely novel folds,~4,%,cited [66],p8
chakravarty2026statespace,MSA deletion that still fails to induce expected structural change (AF3),~40,% of MSA,cited [67],p8
chakravarty2026statespace,"E. coli proteome estimated to undergo fold switching (CF-random, large-scale)",up to 5,% of proteins,cited [77],p9
chakravarty2026statespace,AF2 / AF3 / BioEmu starting-structure error vs experimental pro-IL-18,>20,Å,"cited [9, 62]",p10
chakravarty2026statespace,BioEmu training data volume,~100,ms of all-atom MD,cited [83],p14
chakravarty2026statespace,PDB size,">250,000",structures,"cited [12, 13]",p2
chakravarty2026statespace,10E8 proline cis–trans isomerisation timescale,minutes to hours,—,cited [47],p7
chakravarty2026statespace,Fold-switching transition timescales,milliseconds to hours,—,cited [48–51],p7
chakravarty2026statespace,"Longest DESRES unbiased MD trajectory, slow events captured for kinases","""one or two""",conformational events,cited [118],p14
chakravarty2026statespace,Type-II inhibitor / kinome study scale referenced,50 inhibitors × 348 kinases,—,cited [122],"p18, ref list p29"
chen2026medchem,Chemically-useful-pose predicate — overall ligand RMSD,≤ 2,Å,"Definition (heavy atoms, after protein alignment)","p4, p13"
chen2026medchem,Chemically-useful-pose predicate — pharmacophore RMSD,≤ 1.5,Å,Definition (reference-selected atoms),"p4, p13"
chen2026medchem,Chemically-useful-pose predicate — volume overlap,≥ 70,%,Definition (RDKit shape Tanimoto → V_intersection/V_ref),"p4, p13, p45–46"
chen2026medchem,"AF3 pose recovery, new sEH co-crystals",4 of 6,count,6 in-house sEH co-crystals (entries 1–6),p8
chen2026medchem,"Boltz-2 pose recovery, new sEH co-crystals","""comparable overall performance"" — **no number given**",—,same 6,p8
chen2026medchem,"sEH ligand 1 (HP-2), Boltz-2",IC50 0.01011 μM; overall RMSD 1.88 Å; pharmacophore RMSD 0.30 Å; volume overlap 78.93%; predicted affinity 0.060 μM; AF3 minPAE 1.09 Å,mixed,reference co-crystal,p37 (Fig 16B)
chen2026medchem,"sEH ligand 2 (FP-11), Boltz-2",IC50 0.115 μM; RMSD 2.00 Å; pharm 0.49 Å; overlap 72.13%; pred. affinity 0.021 μM; minPAE 1.27 Å,mixed,reference co-crystal,p37
chen2026medchem,"sEH ligand 3 (FP-17), Boltz-2",IC50 0.01244 μM; RMSD 2.47 Å; pharm 0.84 Å; overlap 73.95%; pred. affinity 0.049 μM; minPAE 1.03 Å,mixed,reference co-crystal,p37
chen2026medchem,"sEH ligand 4 (FP-22), Boltz-2",IC50 0.009106 μM; RMSD 4.81 Å; pharm 0.93 Å; overlap 63.7%; pred. affinity 0.39 μM; minPAE 1.09 Å,mixed,reference co-crystal,p37
chen2026medchem,"sEH ligand 5 (HP-1), Boltz-2",IC50 0.009021 μM; RMSD 10.36 Å; pharm 3.13 Å; overlap 65.79%; pred. affinity 0.21 μM; minPAE 3.21 Å,mixed,reference co-crystal (the arm-swap failure),p37
chen2026medchem,"sEH ligand 6 (HP-3), Boltz-2",IC50 0.02072 μM; RMSD 2.83 Å; pharm 4.42 Å; overlap 71.42%; pred. affinity 0.94 μM; minPAE 2.95 Å,mixed,reference co-crystal,p37
chen2026medchem,"AF3 pose recovery, canonical orthosteric","all 15 ""kinase"" complexes + both PPARα complexes = 17 of 19; PLpro entries 24 and 25 the only exceptions",count,entries 7–25,p10
chen2026medchem,"Median overall RMSD, successful canonical orthosteric cases","""generally within 2, and often below 1.5""",Å,median across 10 poses per complex,p10
chen2026medchem,Pharmacophore RMSD in canonical orthosteric,"""remained below ~1"" even where overall RMSD exceeded 2 Å",Å,entries 7–25,p10
chen2026medchem,AF3 recovery of ligand-associated kinase states,"**4 of 4 selected cases** (7 JAK2 DFG-in/αC-in; 14 BRAF DFG-out/αC-in; 19 Hck DFG-in/αC-out; 21 p38α activation-loop) — **called visually, no metric, no threshold, no number**",count,Fig 4D–G overlays,"p12, p13"
chen2026medchem,"AF3 pose recovery, PPI",**6 of 9**,count,entries 32–40,p19
