citekey,route1,route2,route3,route4,route5,route6,route7,n_routes_present,source_line
kalakoti2025afsample2,unclassified,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — masking fraction tuned on the benchmark itself; best-of-1000 labelled by TM to reference"
kalakoti2026afsample3,unclassified,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — masking percentage and k tuned on the evaluation set; best-of-1000 versus deposited states"
khaleq2026hyaline,present,present,unclassified,unclassified,unclassified,unclassified,unclassified,2,"routes 1,2 by construction, 4 partial, 6,7 present — GPCRdb labels supervise; ambiguous cases purged"
kim2023refining,clean / not applicable,clean / not applicable,clean / not applicable,present,clean / not applicable,clean / not applicable,clean / not applicable,1,"routes 1,2,3,5,6,7 NOT APPLICABLE; route 4 present — guidance weight, noise range and discriminator epoch swept on benchmark FID"
kim2026mac1,unclassified,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — thresholds tuned on eval set, RMSD-to-crystal success, target chosen for known answer"
kohlhoff2014gpcr,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,design-level only,0,routes 1-7 largely NOT APPLICABLE; route 7 design-level (beta2AR chosen for known endpoints and canonical ligands)
krishna2024rfaa,unclassified,unclassified,unclassified,unclassified,present,unclassified,unclassified,1,"routes 5,6,7 present; 1,4 partial — best-model labels assigned against the held reference"
ku2026promise,unclassified,unclassified,present,unclassified,unclassified,unclassified,unclassified,1,"routes 3,5,6,7 design-level — both states deposited by construction, expected state declared first; no pipeline leak"
lam2026metadiffusion,present,unclassified,unclassified,design-level only,partial,unclassified,design-level only,1,"routes 1,2,3,6 absent; route 4 benign, route 5 partial, route 7 design-level present"
lazou2026cryptic,unclassified,unclassified,unclassified,present,unclassified,unclassified,unclassified,1,"routes 4,5,7 present, 6 partial — classification criterion amended for four proteins to match expectation"
lee2025seqassoc,unclassified,unclassified,unclassified,present,unclassified,unclassified,unclassified,1,"routes 4,5,6,7 present, 1-3 clean — leakage entirely in evaluation, stopping rules, target selection"
lee2026confornets,present,unclassified,clean / not applicable,unclassified,unclassified,unclassified,unclassified,1,"routes 1,4,5,6,7 present — supervised transfer label IS a deposited target structure; route 3 clean"
lee2026foldswitch,unclassified,unclassified,present,unclassified,unclassified,unclassified,unclassified,1,"routes 3,5,6,7 present, 1,2 none found — result is negative, so leakage is conservative"
lewis2025bioemu,present,unclassified,present,unclassified,unclassified,unclassified,unclassified,2,"routes 3,4,5,6,7 present but none at inference; routes 1,2 clean for the target's own structure"
li2026embedding,present,present,unclassified,unclassified,unclassified,unclassified,unclassified,2,"routes 1,4,5,6,7 present, structural in the synthetic arms; routes 2,3 none found"
liu2026ensembletests,present,unclassified,unclassified,present,unclassified,unclassified,present,3,"routes 1,2,3,5,6 clean; route 4 thresholds calibrated on eval data; route 7 declared in control arms"
lu2026twostages,clean / not applicable,unclassified,unclassified,unclassified,unclassified,present,design-level only,1,routes 1-5 none found; route 6 genuine selection effect; route 7 design-level explicit
masters2025physics,present,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,1,"routes 1,5,7 present, 2,3,4,6 none found — wild-type templates re-enter for mutated inputs, and that is the finding"
matic2023gpcrome,present,unclassified,present,present,present,unclassified,present,5,"routes 1,3,4,5,7 — templates-on, coupling-label-filtered contacts, thresholds and DockQ on references; 2,6 clean"
mattsson2026leakage,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,present,1,route 7 only — case studies chosen because correlation known; no pipeline leakage
miglionico2026atlas,present,unclassified,unclassified,present,present,unclassified,present,4,"routes 1,4,5,7 — date-fenced templates, threshold swept then changed, best-selected DockQ reference; 2,3,6 clean"
migliorini2026pairsae,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,present,1,route 7 only — showcase systems chosen for known concepts; no pipeline leakage
mitjavila2026afsample2t,present,unclassified,unclassified,present,present,unclassified,present,4,"routes 1,4,5,7 — docking sites transferred from holo references, operating point tuned on evaluation set"
nittinger2025cofolding,not stated,not stated,not stated,not stated,design-level only,not stated,design-level only,0,"route 5 definitional, route 7 design-level; routes 1-4 and 6 NOT REPORTED (templates and MSA handling never described)"
obendorf2026statespecific,present,unclassified,unclassified,unclassified,unclassified,unclassified,design-level only,1,"routes 1,2,3,4,5,6 present; route 7 design-level"
paajanen2026activation,unclassified,present,unclassified,present,unclassified,present,present,4,"routes 2,4,6,7 — PC1 chosen because it separates labelled classes; anomalies adjudicated by eye"
pandyszekeres2024gproteindb,present,unclassified,unclassified,present,unclassified,unclassified,present,3,"routes 1,4,7 — templates-on to 2023, coupling threshold fitted to maximise agreement; 2,3,5,6 clean"
parikh2026allosteric,partial,unclassified,unclassified,unclassified,present,present,design-level only,2,"routes 5,6 severe — best-of-25 selected by RMSD to reference; route 1 partial, route 7 design-level"
passaro2025boltz2,unclassified,unclassified,unclassified,present,present,unclassified,present,3,"routes 4,5,7 — calibration fitted on validation, RMSD-to-held-reference scoring, target chosen for known validator; 1,2,3,6 clean"
protenix2025,unclassified,unclassified,unclassified,unclassified,present,unclassified,unclassified,1,"routes 5,6 only, evaluation-side and author-labelled; no pipeline leakage of target-state knowledge"
protenix2026v2,not stated,unclassified,unclassified,unclassified,unclassified,unclassified,design-level only,0,"no pipeline leak; route 7 design-level — availability-sampled panel, epitope rule fixed after an experimental result; route 1 unstated"
purnomo2026cafe,present,partial,unclassified,unclassified,present,present,unclassified,3,"routes 1,5,6 — blocker identity, success = distance to held references, ABFE pose selection; route 2 partial, 7 design-level"
richman2025conformix,partial,unclassified,unclassified,present,present,unclassified,unclassified,2,"routes 5,6,7 present — coverage scored to deposited references, best/worst-matched rows both oracle-selected; route 1 genuinely NONE FOUND, which is the paper's contribution; route 4 not determined"
roehrig2026docking,present,unclassified,unclassified,unclassified,present,present,unclassified,3,"routes 1,5,6 — docking receptor and site are the answer's own, disclosed as an upper bound; 7 design-level"
schafer2025confounds,unclassified,unclassified,unclassified,present,present,present,unclassified,3,"routes 4,5,6 pipeline — MSA depth tuned on reference-scored results, success and best-model calls vs held references; 7 design-level"
singh2026moredata,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,design-level only,0,"NOT APPLICABLE — no pipeline; route 7 weakly, viral families chosen by known data situation"
singhal2025fksteering,clean / not applicable,clean / not applicable,clean / not applicable,unclassified,clean / not applicable,clean / not applicable,clean / not applicable,0,"routes 1,2,3,5,6,7 NOT APPLICABLE — no target structure; route-4 analogue present (potentials and schedules compared on the reporting benchmarks)"
skrinjar2026generalization,present,unclassified,unclassified,present,present,present,unclassified,4,"routes 1,4,5,6 — AF3 templates on, per-method iPTM thresholds, success and best/worst curves set against references"
stein2022speachaf,unclassified,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — inputs genuinely oracle-free; filtering, TM adjudication and target selection use held structures"
sun2026kinconfbench,unclassified,unclassified,present,present,present,present,unclassified,4,"routes 3,4,5,6 — KinCoRe cluster labels at construction, reference-scored success and best-model calls; 7 design-level"
suzuki2026conforflux,unclassified,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — hyperparameters tuned on evaluation targets, best-of-500 against deposited references, targets chosen for two known states"
suzuki2026pairscaling,present,unclassified,unclassified,unclassified,unclassified,present,unclassified,2,"R1-R6 — beta range tuned on the evaluation benchmarks, best-of-500 vs held references, explicit oracle-selector arm disclosed"
swapna2025memorization,unclassified,unclassified,unclassified,present,present,present,present,4,"routes 4,5,6,7 — route 7 dominant, targets chosen for known deposited states; template is generated, not deposited"
tang2026steeraf,clean / not applicable,clean / not applicable,clean / not applicable,present,present,present,present,4,"routes 4,5,6,7 — hyperparameters swept on eval set, best-of-N scored to held references; routes 1-3 clean"
tejero2024opsin,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,present,1,"NOT APPLICABLE, no prediction pipeline; route 7 only — experiment designed so active state is the answer"
tran2026nanogs,present,unclassified,unclassified,unclassified,unclassified,unclassified,unclassified,1,"NOT APPLICABLE as leakage; design built on deposited β2AR-GαsCT structures (PDB 3SN6 and 6E67, which disagree on the R131 contact) and their prior MD - now recorded under structural_priors_used"
vo2026fiducials,present,unclassified,clean / not applicable,unclassified,unclassified,unclassified,unclassified,1,"routes 1,2,4,7 present, 5 partial (co-folding scored to own new structures), 6 under-specified; route 3 none"
wallner2023afsample,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,clean / not applicable,0,NONE FOUND — genuinely blind CASP15 submission with databases frozen before the season
waymentsteele2024cluster,unclassified,unclassified,present,present,unclassified,unclassified,unclassified,2,"routes 3,4 — success predicate and ""top five"" display both scored against held crystal structures; inputs clean"
waymentsteele2025reply,clean / not applicable,clean / not applicable,present,present,present,present,present,5,"routes 3,4,5,6,7 — displayed clusters and TM cutoffs chosen against known states; routes 1-2 clean"
wohlwend2024boltz1,unclassified,unclassified,unclassified,present,unclassified,present,unclassified,2,route 4 (hyperparameters swept on test set) and route 6 (oracle-of-5 reporting); no target state exists to leak
wu2023tds,unclassified,unclassified,unclassified,present,clean / not applicable,unclassified,design-level only,1,"route 4 present — particles, twist scale and motif rotations swept against benchmark success rate; route 7 design-level; route 5 NONE FOUND (success is self-consistency, not RMSD to a held answer)"
yang2025statespecific,present,present,clean / not applicable,present,present,present,present,6,"routes 1,2,4,5,6,7 — state-matched templates at conditioning, deposited state annotation at evaluation; route 3 absent"
ye2026multistatebias,unclassified,unclassified,unclassified,unclassified,present,unclassified,present,2,"routes 5,7 — post hoc RMSD scoring to held references, input conditions chosen with expected state declared"
yu2026domainmotion,partial,partial,partial,partial,partial,partial,partial,0,"route 5 only (evaluation-side) + route 7 design-level. Routes 1,2,3,4,6 ALL CLEAN - no templates, defaults, uniform budget, full distributions not best-of-N"
zhang2026generalization,unclassified,unclassified,unclassified,unclassified,present,present,present,3,"routes 5,6,7 — prediction step clean, but pose triage, docking boxes and best-model reporting are oracle-informed"
