citekey,design_class,control_class,design_text,control_text
heo2022multistate,held-out or post-cutoff set exists,run and analysed,"**PRESENT and explicit — a post-cutoff benchmark set, n = 68.** p10: ""The set was composed of human GPCRs that were experimentally first determined after May 01, 2018 and before January 05, 2022. Since AF25 was trained protein structures determined by April 30, 2018, thus, none of the GPCR structure","**RUN, in the sense that every headline number is measured on the post-cutoff set — but no pre-cutoff-versus-post-cutoff contrast arm was ever run, and the template side is not held out.** Three qualifications, all load-bearing: 1. There is **no paired arm** on pre-cutoff receptors, so the size of a"
hilger2020gcgr,not applicable (nothing trained),not applicable (nothing trained),"**NOT APPLICABLE — no model is trained, so there is no training set to hold out from.** The nearest analogue is the cryo-EM half-map split, which is a validation split of the *data*, not of prior structural knowledge: ""FSC curves were calculated between the resulting model and the half map used for ","**NOT APPLICABLE**, same reason. The half-map cross-validation was genuinely run (p.12) and is the correct control against starting-model bias from PDB 5YQZ/5VAI, but it is not an anti-memorisation control in the sense this field means."
ingraham2023chroma,not reported,not reported,**NOT EXTRACTED.**,"**NOT EXTRACTED.** The experimental characterisation of novel designs is a strong argument against pure memorisation, but the paper's own training-set-overlap analysis, if any, was not read."
jedryszek2026probing,none,none run,"**NONE, with respect to the model under study.** There is no post-cutoff set, no training-date cutoff, and no statement anywhere about whether the 486 evaluation proteins are in Boltz-1's training data. The word ""cutoff"" does not appear. What does exist is a **probe-level** held-out design, which is","**NONE RUN against Boltz-1's training set.** No arm compares proteins Boltz-1 could have seen against proteins it could not. The one leakage control that *was* run is again probe-level, and it is well done and worth recording: all-vs-all BLOSUM62 global alignment between training-fold and held-out p"
jung2026boltzperturb,held-out or post-cutoff set exists,run but unpowered,"**YES, and it is the whole evaluation, n = 62.** - Diagnostic five: ""five recent PDB complexes absent from the Boltz-2 training data set"" (p5); ""The 5 complexes were selected from PDB depositions after the RnP benchmark curation date and Boltz-2 training cutoff"" (p15, §B.2). - RnP subset: ""we select","**RUN — but as a similarity stratification, not a held-out arm; and UNPOWERED where it matters most.** The analysis actually run is the SuCOS-pocket stratification, Figure 3 (p7): success counts binned by ""ligand pocket shape similarity"", ""where lower scores indicate less similar pockets and ligands"
junker2026peptidedesign,held-out or post-cutoff set exists,partial,"**YES — a per-method training-cutoff split, defined carefully, covering the full 113-dimer set.** - Cutoff dates, p6: **AF2IG 2021/10/30; Boltz-2 2023/01/06; RF3 2024/01/01.** - Split sizes, Fig 4 caption p7: ""36/113 dimers were flagged pre AF2 training cutoff, 68/113 dimers were flagged pre Boltz-2","**RUN AND ANALYSED for Arm 1 — this is one of the paper's two headline results. NONE RUN for Arm 2.** Not `UNPOWERED` at the dimer level for AF2IG (77) or Boltz-2 (45); the RF3 post-cutoff arm (25 dimers × 50 seeds) is the thinnest and should be quoted with that n attached. - Result, verbatim p5–p6:"
kalakoti2025afsample2,none,run but unpowered,"**NONE as a set.** No held-out split, no post-cutoff set, and **no AF2 training cutoff date is stated anywhere in the paper.** The closest thing is a single-target case study whose target is asserted to be outside AF2's training data: the engineered temperature-dependent S6 fold switcher (refs 23–24","**UNPOWERED (n = 1).** A comparison arm *was* actually run on the one putatively unseen target — 1,000 AFsample2 models and 1,000 AFcluster models on the S6 switcher, with both folds scored and the alternate fold recovered at TM > 0.8 but at lower confidence (0.75 vs 0.88) (pp9–10, Fig 9 p11). So th"
kalakoti2026afsample3,none,none run,"**NONE.** There is no held-out set, no post-cutoff set, and no training-date cutoff is stated for AF2 or AF3 anywhere in the paper. The whole 238-target Cfold set is deposited PDB structures of unstated vintage. The authors flag the gap and explicitly leave it open: ""recent studies have attributed t","**NONE RUN.** No post-cutoff arm, no decoy arm, no shuffled/scrambled-MSA arm, no sequence-identity-to-training analysis. n for such an arm is 0."
khaleq2026hyaline,partial / weak,partial,"**Two mechanisms, of unequal strength.** 1. **Temporal split (the headline arm).** ""HYALINE was trained exclusively on structures deposited in the Protein Data Bank before January 2023 (n = 1,312) and evaluated on structures deposited between January 2023 and December 2024 (n = 278)"" (p4); restated ","**RUN — for the temporal arm; NONE RUN for a sequence- or family-held-out arm.** - The temporal arm was actually executed and analysed, not merely constructed: AuROC 0.991 (95% CI 0.984–0.997), accuracy 96.4%, sensitivity 97.8%, specificity 92.1% (p4–p5, Table 1). It was also stratified by class (Ta"
kim2023refining,none,none run,**NONE.**,**NONE RUN.**
kim2026mac1,held-out or post-cutoff set exists,run and analysed,"**YES, and it is the paper's strongest feature. n = 557 ligand–Mac1 complexes, none previously disclosed, all determined after the models' training cutoffs.** Cutoff definition, verbatim from Methods p17: ""Tanimoto coefficients (TC) were used to identify, for each test ligand, the most similar compo","**RUN AND ANALYSED — not merely a held-out set that exists.** Three distinct control analyses: (1) **Similarity–accuracy correlation, n = 550.** ""We measured the correlation between AF3 ligand RMSD, and either the Tc (ECFP4) or %MCS of the most similar ligand within the training set, finding no mean"
kohlhoff2014gpcr,not applicable (nothing trained),not applicable (nothing trained),**NOT APPLICABLE** — no learned model.,**NOT APPLICABLE.**
krishna2024rfaa,held-out or post-cutoff set exists,run and analysed,"**YES — several post-cutoff held-out sets exist. But the CUTOFF DATE IS NEVER STATED, and that is the finding.** **The cutoff, exactly, quoted with its page.** The paper refers to its own cutoff exactly once, and without a date — p6, verbatim: **""To evaluate the ability of the model to generalize to","**CONTROL ARMS WERE ACTUALLY RUN AND ANALYSED — this is not a `NONE RUN` paper, and the arms are well powered.** Four distinct memorisation controls: 1. **Sequence-novelty split on the recent-PDB set** (p6, Fig 2F p15–p16): ""The network performs better for clusters with overlap with the training set"
ku2026promise,none,none run,"**NONE.** There is no held-out set, no post-cutoff set and no training-date cutoff defined anywhere in the paper; the benchmark is drawn from the PDB with no temporal filter (p2 §2.1.1, p12–13 A.2). What exists instead is an *estimate of training exposure per system*: ""we estimated model-specific tr","**NO HELD-OUT ARM RUN; a correlational memorization analysis WAS run.** No arm partitions the benchmark by training-set membership and re-reports success. What was run: (i) Train_holo vs the post-distogram shift, with MSA held neutral — ""we"
lam2026metadiffusion,none,none run,"**NONE.** There is no held-out set, no temporal split, no post-cutoff structure set, and no training-cutoff date is mentioned anywhere for Boltz-2 or for BioEmu. Full-text grep confirms ""held-out"", ""cutoff"" and ""training set"" do not appear. The 256 ATLAS proteins are randomly selected from a public ","**NONE RUN.** No arm of any kind tests whether the results depend on the base model having seen the target. The closest thing in the paper is the discussion sentence above (p6), which is a citation, not a control. Not marked `UNPOWERED` because there is no set to be underpowered — the design is simp"
lazou2026cryptic,held-out or post-cutoff set exists,run but unpowered,"**Yes, n = 8.** Cutoff defined as the AF3 training cutoff, 30 September 2021 (p8; note Table 3's column header reads ""September 31 2021""). Construction: ""The CryptoBench dataset, which is comprised of curated apo-holo structure pairs involving cryptic pocket formation, was first filtered to remove s","**RUN and analysed, but UNPOWERED (n = 8 < 10).** It is a full arm, not a set that merely exists: its own Results section, its own figure (Fig 6, p9), its own table (Table 3, p8), and the same with-ligand / without-ligand protocol. Result: ""For five of the eight cases not in the AF3 training set (FT"
lee2025seqassoc,none,none run,"**NONE. Not merely absent — inverted.** The benchmark was deliberately built from proteins expected to be *in* AF2's training set. p2: ""We tested CF-random on 92 fold-switching proteins likely in AF2's training set"". p4: ""AF2 has memorized some alternative conformations of fold switchers, we hypothe","**NONE RUN.** There is no arm, in any form, that separates memorised from non-memorised targets, no post-cutoff arm, and no analysis of prediction success versus deposition date or training-set membership. The closest thing in the paper is a **negative control on the rival mechanism, not on memorisa"
lee2026confornets,partial / weak,run but unpowered,"**ONE set exists — OOD60, n=19 proteins / 38 reference states — and its cutoff is defined against the WRONG model.** p5: ""**OOD60 (N=19): proteins deposited after AF2 training date cutoff and out-of-distribution for BioEmu (but not necessarily for other methods); we treat this as a general-purpose b","**RUN BUT INVALID FOR THIS METHOD — and mark `UNPOWERED`.** - *Run*: OOD60 was executed and analysed as a full arm across all seven methods (Table 1, p6; Tables A3, A4, A6; Figs. A1–A3). ConforNets 60.7±2.8% vs OF3p 45.3±1.9% (Table 1, p6). So this is **not** the common ""held-out set exists but was "
lee2026foldswitch,held-out or post-cutoff set exists,run but unpowered,"**YES, and it is the design.** The whole Figure 3 analysis is run on CFold precisely because CFold is memorization-ablated: ""CFold is a version of the AF2 architecture that has essentially no ability to memorize structures in its training set"" (p. 8); its training set is ""a conformational split of t","**RUN, but UNPOWERED.** The control arm was genuinely executed and analysed — the CFold-vs-clusters comparison *is* the experiment, and it has a positive control (full-MSA CFold) and a negative control (single-sequence CFold). But n = 2 proteins is far below the ~10 threshold, so mark **UNPOWERED**."
lewis2025bioemu,held-out or post-cutoff set exists,run but unpowered,"**YES, and unusually thorough for this corpus — three independent mechanisms, all with stated cutoffs.** 1. **Sequence-similarity filter on the training set, 40%.** Main text, p4: ""Finally, to evaluate generalization, we filter our training set such that no protein has more than 40% sequence similar","**RUN — a control arm was actually executed and analysed, which is the rarer answer in this corpus — but PARTIALLY UNPOWERED per benchmark cell.** The arm is **Table S4 (p33)**, which splits every multi-conformation success rate by whether the reference structure predates or postdates the AF2 monome"
li2026embedding,none,none run,"**NONE.** There is **no held-out set, no post-cutoff set, and no training-cutoff date anywhere in the 29 pages** — the words ""training set"", ""held-out"", ""cutoff"" (in the temporal sense) and ""memorisation"" do not occur. The only selection filter is a *within-benchmark* redundancy filter with no refer","**NONE RUN.** No arm addresses memorisation. Two arms are adjacent but answer different questions and must not be mistaken for it: (i) the **unguided prior arm**, present throughout, which shows what the model produces without steering but says nothing about whether it has seen the target; (ii) the "
liu2026ensembletests,held-out or post-cutoff set exists,run and analysed,"**PRESENT, two screens on ATLAS-82 plus one on Lockbox-36** (p20, p14). No time-based cutoff is used; the cutoffs are sequence-identity based. - Frozen protocol screen: ""exact sequence matching and k-mer-Jaccard overlap (k = 3, Jaccard ≥ 0.3) against a combined ATLAS training profile, **flagging 4 o","**RUN AND ANALYSED — not `NONE RUN`, and not `UNPOWERED`.** - ATLAS-82: p20, ""On these same proteins the screened-minus-unscreened paired differences are small and **every 95% bootstrap interval includes zero**; the oracle-to-floor separation changes by **−0.004 (95% CI, −0.013 to 0.000)**."" Restate"
lu2026twostages,none,none run,"**NONE.** There is no post-cutoff set, no date-based holdout, and no training-cutoff discussion for any of the three models. Model training cutoffs are never stated. What *does* exist is ordinary train/test hygiene for the probes, which is a different thing: 400 training / 200 evaluation proteins fo","**NONE RUN.** No arm of this paper tests whether the effects survive on structures the models cannot have seen. Given that the entire dataset is X-ray PDB entries culled up to 2025-02-19 (p16), essentially every protein used is plausibly in-training for all three models. Whether the two-stage struct"
masters2025physics,partial / weak,run but unpowered,"**Yes, but n = 1 and no date cutoff.** One out-of-training-set system was deliberately selected: > ""MEK1 was selected as an additional test case since it was not included in the training set of any of the tested co-folding models and has low similarity in terms of ligand and pocket shape. The system","**RUN, and UNPOWERED (n = 1).** The MEK1 arm is not merely declared — it is executed as a full parallel challenge battery (wild type, removal, packing, inversion × 4 models) and analysed in its own figure (Fig. 2, p.4) and its own paragraph (pp.3–4). The result is that memorisation of *that specific"
matic2023gpcrome,none,none run,"**NONE.** There is no held-out set, no post-cutoff set, and no cutoff of any kind defined against AlphaFold's training data. The only date in the pipeline is the database download date — ""The databases required to run AlphaFold-Multimer were downloaded on 12 January 2023."" (p.13) — and the PDB harve","**NONE RUN.** The templates-off arm (n = 125, `--max_template_date=01-01-1900`, p.13) is the nearest thing and it is a genuine, analysed control arm — but it ablates *template lookup*, not *weight memorization*, and the authors do not claim otherwise. With the training cutoff unstated, the 0.645 mea"
mattsson2026leakage,held-out or post-cutoff set exists,run and analysed,"**YES — this is the paper's contribution.** The **Novelty-Tiered Affinity Benchmark**, built on ChEMBL 36, with two stacked barriers (p7–8, detailed p12–13): 1. **Temporal split by ChEMBL source-document publication year**: ""assays from ≥ 2023 in test, 2022 in val, and < 2022 in train"" (p7). The val","**RUN, and analysed — but on the baseline only, never on the models under criticism.** The ligand-only baselines are run across all five novelty tiers (Fig 4, p8), against a temporal-split-only benchmark (""our best ligand-only method achieved r = 0.32, indicating that a temporal split alone is insuf"
miglionico2026atlas,held-out or post-cutoff set exists,run and analysed,"**Present and explicitly defined.** Cutoff = **30 September 2021**, defined as AF3's own training cutoff and applied simultaneously to the template set: ""We considered only templates released before 30 September 2021 (the same cutoff used for the training of AlphaFold 3)"" (p19). Held-out set: ""we co","**RUN AND ANALYSED — as a figure panel, not merely reported.** Arm 1: DockQ of the AF3 model against the post-cutoff experimental interface, n = 213, median 0.73, 98.6% ≥ 0.23, plotted as Figure 1B (""KDE plot of the DockQ of the AlphaFold 3 predictions with respect to the experimental structures rel"
migliorini2026pairsae,held-out or post-cutoff set exists,partial,"**Held-out splits exist and are specified; no post-cutoff or time-based set exists anywhere.** Two things must be kept apart: - **SAE/probe level — design present, n given.** p9: threshold set 7,680 complexes, validation set 2,560, test set 5,120 ""randomly selected complexes""; concepts restricted to","**RUN at the SAE/probe level; NONE RUN at the backbone level.** - Run and analysed: test-set F1 is what Table 1 and Fig 2 report (p4); test R² = 0.528 / 0.367 and test Spearman ρ = 0.805 / 0.706 are reported alongside train (Table B.2, p10); the feature-3888 group difference is **replicated on the P"
mitjavila2026afsample2t,none,none run,"**NONE.** No held-out set, no post-cutoff set, no train/test split, no cutoff date defined anywhere. The opposite is stated: ""it should also be noted that structures of 4 out of the 10 GPCRs in our benchmarking set were used in the training of AF2, and our approach may therefore not perform equally ","**NONE RUN, and `UNPOWERED` even if it had been.** The 4-in-training / 6-not split is acknowledged (p.8) but never analysed: no arm splits AUC, RMSF, volume or enrichment by training membership, and no per-target training-status column appears in Table 1 (p.6) or Table 2 (p.7). n = 10 targets total "
nittinger2025cofolding,not reported,none run,**NOT REPORTED** in the retrieved text. No temporal cutoff is described.,**NONE RUN.**
obendorf2026statespecific,partial / weak,none run,"**Partial, informal, undefined cutoff.** The benchmark is asserted to be post-training: ""We curated a benchmark of kinases and Class A GPCRs spanning distinct functional states absent from all model training sets"" (p4), and ""For kinases, we selected structures that were recently solved"" (p4). n = 6 ","**Effectively NONE RUN — UNPOWERED.** The seen system (ALK2–AMPPNP, 6UNQ) is included and commented on twice (p7, p15), but no seen-vs-unseen contrast is analysed: there is no arm, no grouped comparison, no statistic. The only mention of its performance is descriptive and confounded — ""in two condit"
paajanen2026activation,held-out or post-cutoff set exists,run and analysed,"**YES — a temporally held-out set of 345 structures, defined by deposition/annotation after the model was frozen.** ""After training the model, the GPCRdb query was rerun, adding new structures published during the training phase to the analysis and updating some of the labels. The selection was kept","**RUN and analysed, not merely existing; adequately powered (n = 345), but reported with no number.** The frozen model was applied to the new structures and the result is a figure: ""Supplementary Fig. 5 summarizes the analysis of the new structures."" (p.10); Supp. Fig. 5 caption: ""Results of the dat"
pandyszekeres2024gproteindb,none,none run,"**NONE.** A template date cutoff exists — ""Structural templates were included up to 1 January 2023."" (p.3) — but it is a **data freeze on template availability, not a held-out evaluation set**: no complexes are set aside, no post-cutoff subset is defined, and n = 0. AlphaFold2 v2.3.1's own training ","**NONE RUN.** No arm of any kind is run on recent, post-cutoff or held-out structures. There is no accuracy evaluation to run one in."
parikh2026allosteric,partial / weak,none run,"**Partial, asymmetric, and stated only for the orthosteric side.** In the **Orthosteric Datasets** section: ""The datasets were filtered to include only complexes deposited in the Protein Data Bank after 2020, ensuring they post-date model training sets. Complexes with >30% sequence identity to train","**NONE RUN.** No arm compares pre-cutoff to post-cutoff complexes, on either stratum. No arm compares high- to low-sequence-identity-to-training complexes. The asymmetry in (c) above is never named, never tested, and never discussed. This is the single largest gap between what the paper claims — ""Th"
passaro2025boltz2,held-out or post-cutoff set exists,run and analysed,"**PRESENT and multi-layered. This is the authoritative record of the Boltz-2 cutoff.** **THE TRAINING CUTOFF, VERBATIM:** > ""We use every PDB structure up to the **training date cutoff of 06/01/2023**."" — **p16** (Appendix A.1.1, first bullet). Restated twice more, in ISO form: > ""The experimental d","**RUN, and analysed — three arms.** This is not merely a held-out set existing. 1. **Compound-similarity stratification on FEP+** — Fig 10, p38: per-assay Pearson R plotted in four maximum-Tanimoto bins with n printed, **N = 289 / 288 / 108 / 182**. Conclusion, p38 caption: ""We observe no strong dep"
protenix2025,held-out or post-cutoff set exists,run and analysed,"**YES — a stated cutoff and a post-cutoff, homology-filtered held-out set. This is the authoritative value for the corpus.** **THE TRAINING CUTOFF, VERBATIM (p3):** > ""Protenix is trained using experimental structures curated from the Protein Data Bank (PDB) > [17] with a **cutoff date of September ","**RUN AND ANALYSED — this paper is unusual in the corpus for actually running the arm, and for reporting a result that cuts against itself.** Three distinct control analyses: 1. **Homology-stratified success rate, both cutoffs (Figure 2D, p5).** PoseBusters V2 targets binned by protein sequence homo"
protenix2026v2,held-out or post-cutoff set exists,partial,"**YES — a training cutoff plus three distinct held-out constructions.** **THE TRAINING CUTOFF, VERBATIM, p2 (§2 Methods, second paragraph of the section):** > ""To ensure rigorous evaluation and prevent data leakage, **Protenix-v2 is trained without wwPDB > [3] entries released on or after 2021-09-30","**RUN, on the ligand arm and on the design arm; NOT RUN on the antibody-antigen structure arm. Design arm is UNPOWERED at the target level.** - **Run and analysed (ligand):** the entire §5.1 comparison is executed on the post-cutoff PXM-22to25-Ligand set (n = 623 entries / 250 clusters) with results"
purnomo2026cafe,none,none run,"**NONE — no post-cutoff set, no date filter, no training-overlap analysis, and Boltz-2's training cutoff is never stated.** Every reference structure, fragment parent and blocker is a deposited PDB entry with no deposition-date constraint; the PDB IDs listed on p3–4 span 1T49 (2004) to 9C1W (2024) w","**NONE RUN for memorization in the training-data sense; two strong arms run for blocker-dependence, which is a different thing.** No arm anywhere compares pre- vs post-cutoff structures, high- vs low-identity-to-training targets, or holo-present vs holo-absent PDB entries. What *was* run and analyse"
richman2025conformix,none,none run,"**NONE.** No temporal cutoff, no held-out split, no post-cutoff set, no sequence-identity stratification. The paper instead makes the opposite admission explicitly, p6: ""we note that **many of the evaluated proteins were held out of training for BioEmu but were likely present in the Boltz training s","**NONE RUN.** With no design there is no arm. The BioEmu comparison (Fig S2, p21) is a cross-model comparison confounded in the direction the authors themselves name in the sentence above, and is not framed or analysed as a memorization control."
roehrig2026docking,held-out or post-cutoff set exists,run and analysed,"**YES — inherited wholesale from RNP, and it is the axis of the whole paper.** - **Temporal held-out set**: 2,600 systems / 3,047 proper ligands ""released between the training cutoff date for the co-folding methods (October 1, 2021) and before January 9, 2025"" (p3). The cutoff is **the co-folding mo","**RUN AND ANALYSED — this is the paper's central experiment, not a held-out set left sitting.** Three independent analyses of the stratified arm: 1. **1-D stratification by overall similarity**, 8 bins, Fig 5A (RNP, 2,448 cases) and Fig 5B (RNP-F, 854 cases), p14, with **bootstrap 95% confidence int"
schafer2025confounds,partial / weak,run but unpowered,"**Present but borrowed and thin.** There is no held-out or post-cutoff set constructed by these authors. They import one from ref. 4: ""a recent benchmarking study showed that both AF2 and AF-cluster failed to predict the correct conformations of sequence-diverse RfaH homologs and two fold-switching ","**RUN, but UNPOWERED and unreported.** The arm exists — CF-random was evaluated on that out-of-training-set set — but the entire result is delivered in three words: *""So does CF-random.""* (p5, following the sentence quoted above). No n, no RMSDs, no confidences, no per-target breakdown, no figure or"
singh2026moredata,held-out or post-cutoff set exists,run and analysed,"**PRESENT IN THE RE-PRESENTED ARM.** The design is a **temporal split at the Boltz-2 training-data cutoff, 2023-06-01**, stated on the Figure 4B chart title (p22): ""PDB Entries Before/After Boltz-2 data cutoff **2023-06-01**"". n, read from the printed bar labels in Figure 4B (p22): SARS-CoV-2 Mpro *","**RUN AND ANALYSED — in the re-presented arm only, and it is the piece's single strongest empirical point.** The before/after-cutoff structure counts (Fig 4B) are not merely tabulated; they are set against the Fig 4A performance and the comparison is what generates the conclusion, p8: ""Picornavirus "
singhal2025fksteering,none,none run,**NONE.** Not a concept the paper engages with.,**NONE RUN.**
skrinjar2026generalization,held-out or post-cutoff set exists,run and analysed,"**this is the paper's entire construction, and it is the strongest in the corpus.** Two nested post-cutoff sets, with per-complex similarity annotation: - **Cutoff definition.** The primary cutoff is **30 September 2021**, taken as the stated structural training cutoff shared by AlphaFold3, Chai-1, ","**RUN, analysed, and the analysis is the paper's result — not a held-out set that merely exists.** Six distinct control arms were executed on the post-cutoff set: 1. **Similarity-stratified accuracy for all four methods** (Fig 1A–E, p4) — the primary arm. Success rate rises monotonically from ~8–25%"
