citekey,fig_no,page,gist,plot_type,data_shape,form,slot_facet,slot_vary,slot_series,slot_measure,slot_mark,slot_n,slot_rows,slot_cols,slot_value,slot_views,slot_overlay,panels,hides,reuse
abramson2024af3,4E,6,Interface DockQ scores between the four chains of 7T82,heatmap,"`MATRIX \| rows: chain (4: A, C, D, F) \| cols: chain (4) \| value: interface DockQ score \| facet: none (1)`",MATRIX,,,,,,,,,,,,"1 panel (d), 4×4 with empty non-contacting cells",—,as above
abramson2024af3,4F,6,Predicted aligned error matrix for the same 7T82 prediction,heatmap,"`MATRIX \| rows: residue index (~880) \| cols: residue index (~880) \| value: expected position error (Å, 0–30+) \| facet: none (1)`",MATRIX,,,,,,,,,,,,1 panel (e) with dashed chain boundaries and chain colour bars,"Colour scale saturates at 30 Å, so all badly-placed pairs render identically",as above
abramson2024af3,5A,7,"Top-ranked antibody–antigen interface quality as a function of seeds per target, AF3 vs AF-M 2.3, at two DockQ thresholds",line,"`PLOT \| facet: accuracy threshold (2: DockQ > 0.23 ""correct"", DockQ > 0.8 ""very high accuracy"") \| vary: seeds per target, 1–1,000 (continuous, log axis) \| series: model (2: AF3, AF-M 2.3) \| measure: % of low-homology antibody interface clusters \| mark: line with 95% bootstrap band \| n: 65 clusters per panel; each point = mean over 1,000 resamples with replacement out of 1,200 seeds`",PLOT,,,,,,,,,,,,2 panels inside a,"Both panels' y-axes start above 0 and **the two panels use different y-ranges** (≈15–65 and 0–40), so the AF3/AF-M gap looks similar in both when it is not; the x-axis stops at 1,000 with the curve still rising, which the text concedes (""keep improving … even at as many as 1,000"")",as above
abramson2024af3,5B,7,"Three failure modes rendered against ground truth: chirality inversion on 7CTM, hallucinated order in a nuclear pore complex with 1,854 unresolved residues (7F60, AF-M 2.3 vs AF3), overlapping chains in a trinucleosome (7PEU)",structure render,"`RENDER \| facet: failure mode (3: chirality, hallucination/disorder, clashes) × model where shown (2 for 7F60: AF-M 2.3, AF3) \| views: 1 \| overlay: 1 prediction on 1 reference (grey), 0 references for 7PEU \| axis: none`",RENDER,,,,,,,,,,,,"3 lettered panels (b, d, e); d has 3 sub-renders","**The paper's only evidence for three of its four stated limitations is one hand-picked render each**, with no rate attached except the 4.4% chirality figure in the text; 7PEU is shown without a ground-truth overlay",as above
abramson2024af3,5C,7,"Cereblon in open (apo, 8CVP) and closed (holo mezigdomide, 8D7U) ground-truth conformations, with AF3 predictions of both apo (10 overlaid samples) and holo — all closed",structure render,"`RENDER \| facet: ligand condition (2: apo, holo) \| views: 1 \| overlay: 10 predictions (apo) and NOT REPORTED predictions (holo) on 1 reference each \| axis: none`",RENDER,,,,,,,,,,,,1 lettered panel (c) containing 4 renders; vary by ligand condition and by prediction-vs-truth,"**This is the paper's entire quantitative case for its conformational limitation and it carries no quantitative panel at all** — no inter-domain distance value, no threshold, no count of how many of the 10 apo samples were closed, no confidence values, and n = 1 system. Split from row 5B because `overlay` differs (10 vs 1) — see `unresolved` on whether the v3 split rule licenses that",as above
abramson2024af3,ED1A,12,"One CAID 2 disordered protein (DP02376) predicted by AF-M 2.3, AF3, and AF3 trained without the cross-distillation set, coloured by pLDDT",structure render,"`RENDER \| facet: model (3: AF-M 2.3, AF3, AF3 no cross-distillation) \| views: 1 \| overlay: 1 prediction on 0 references \| axis: none`",RENDER,,,,,,,,,,,,3 renders in panel a,"No ground truth shown (there is none for a disordered protein), so ""hallucination"" is judged by compactness by eye; 1 protein of 151",as above
abramson2024af3,ED1B,12,"ROC curves for residue-level disorder detection on CAID 2, by RASA and by pLDDT, for three models",line (ROC),"`PLOT \| facet: none (1) \| vary: false positive rate, 0–1 (continuous) \| series: model × score (6: AF-M 2.3 RASA 0.94, AF-M 2.3 pLDDT 0.93, AF3 RASA 0.95, AF3 pLDDT 0.91, AF3 no cross-distill RASA 0.67, AF3 no cross-distill pLDDT 0.89) \| measure: true positive rate (AUC annotated in legend) \| mark: line \| n: 151 proteins / 46,093 residues per curve`",PLOT,,,,,,,,,,,,1 panel,"Five of the six curves are near-superimposed in the top-left corner, so only the ablated RASA curve is visually separable; no CI on any AUC",as above
abramson2024af3,ED2,13,Training curves with 90% and 97% crossing lines — same shape as Fig. 2d,line + scatter,"`PLOT \| facet: none (1) \| vary: optimizer steps (continuous) \| series: metric type (8) \| measure: LDDT on the evaluation set \| mark: point + line (median filter, width 9) \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,1 panel (figure image not extractable as text; caption carries the structure),Same evaluation-set-as-training-monitor issue as Fig. 2D,as above
abramson2024af3,ED3,14,"Three PoseBusters targets where Vina and Gold were inaccurate and AF3 was not (8BTI 0.65 Å, 7KZ9 1.3 Å, 7XFA 0.44 Å)",structure render,`RENDER \| facet: target (3) \| views: 1 \| overlay: 1 prediction on 1 reference (grey) \| axis: none`,RENDER,,,,,,,,,,,,3 lettered panels,**Cases selected by the baseline's failure** (route 7 design-level selection); no matching panel of cases where AF3 failed and the baselines did not,as above
abramson2024af3,ED4A-E,15,"PoseBusters success bars: V1 method comparison by privilege class, V2 Vina-vs-AF3, V2 by homology stratum, V2 by ligand familiarity, V2 accuracy-with-validity",bar,"`PLOT \| facet: analysis (5: V1 all methods, V2 head-to-head, V2 homology strata, V2 ligand class, V2 validity) \| vary: method or stratum (13 / 2 / 3 / 2 / 9 bars) \| series: validity (2: RMSD < 2 Å, RMSD < 2 Å and PB-valid — in d and e only) \| measure: % r.m.s.d. < 2 Å \| mark: bar with exact-binomial 95% CI \| n: 428 (427 RFAA) V1; 308 V2; homology bins 38 / 83 / 187; ligand classes 50 / 258`",PLOT,,,,,,,,,,,,5 lettered panels (a–e) sharing one measure; a and e carry privilege-class dividers,"Panel **c is the anti-memorization control and its bar values are not printed** (only e and d print numbers), so the most reusable result in the figure must be read off pixel heights; the n = 38 low-homology bin has a visibly wide CI that the text never quantifies",as above
abramson2024af3,ED4F,15,"Per-check physical-validity pass rates, DiffDock vs AF3 2019, across 18 PoseBusters checks",bar,"`PLOT \| facet: check category (3: chemical validity and consistency, intramolecular validity, intermolecular validity) \| vary: validity check (18) \| series: method (2: DiffDock, AF3 2019 cutoff) \| measure: % of all outputs passing check \| mark: bar \| n: 308 targets per bar`",PLOT,,,,,,,,,,,,1 wide panel with 3 dashed category dividers,"**~12 of 18 checks sit at or near 100% for both methods** (numeric saturation — cross-reference `metric_saturation`), so most of the panel's width carries no information; no CIs drawn on the bars",as above
abramson2024af3,ED5A,16,"Per-target CASP15 RNA accuracy for AlphaFold 3, AIchemy_RNA and RoseTTAFold2NA, in LDDT, TM-score and GDT",bar,"`PLOT \| facet: metric (3: RNA LDDT, RNA TM score, RNA GDT) \| vary: CASP15 target (10: R1116, R1117, R1126, R1128, R1136, R1138, R1189, R1190, R1107, R1108) \| series: method (3: AlphaFold3, AIchemy_RNA, RoseTTAFold2NA) \| measure: LDDT / TM score / GDT \| mark: bar \| n: 1 prediction per bar (top-1 ranked)`",PLOT,,,,,,,,,,,,3 stacked panels sharing an x-axis,"Missing bars are annotated as ""No results from AIchemy_RNA"" / ""No results from RoseTTAFold2NA"" for 4 of 10 targets, so **the per-method means are over different target sets**; R1136's score is against ""the closest state"" of multiple ground truths (p10) and the panel does not mark this",as above
abramson2024af3,ED5B,16,"Nucleic-acid-only accuracy, AF3 vs RF2NA, for RNA-only and DNA-only complexes",box,"`PLOT \| facet: none (1) \| vary: complex type (2: PDB RNA-only n = 29, PDB DNA-only n = 63) \| series: method (2: AlphaFold 3, RoseTTAFold2NA) \| measure: LDDT \| mark: box (25–75%, median, 5–95% whiskers, outlier points) \| n: 29 and 63 structures per box`",PLOT,,,,,,,,,,,,"1 panel, 2 grouped pairs","Medians are not printed; the caption warns that ""some DNA structures in this set may not be duplexes"" while RF2NA ""was only trained and evaluated on duplexes"" — an acknowledged out-of-regime comparison shown at equal weight",as above
abramson2024af3,ED5C-D,16,"A mycobacteriophage immunity repressor on dsDNA (7R6R) coloured by pLDDT and by chain, with its PAE matrix",structure render + heatmap,"`RENDER \| facet: colouring (2: pLDDT, chain) \| views: 1 \| overlay: 1 prediction on 0 references \| axis: none`; companion `MATRIX \| rows: residue (~260) \| cols: residue (~260) \| value: predicted aligned error (Å) \| facet: none (1)`",RENDER,,,,,,,,,,,,2 renders (c) + 1 matrix (d),"""Note the disordered N-terminus not entirely shown"" — part of the prediction is cropped out of the render",as above
abramson2024af3,ED6A,17,"Accuracy on common phosphorylation residues, AF3 with vs without modelling the modification",bar,"`PLOT \| facet: none (1) \| vary: condition (2: phosphorylation modelled, parent residue substituted) \| series: none (1) \| measure: accuracy on structures containing SEP/TPO/PTR/NEP/HIP \| mark: bar with exact-binomial 95% CI \| n: 76 clusters, paired two-sided Wilcoxon P = 1.6 × 10⁻⁴`",PLOT,,,,,,,,,,,,1 panel,The measure's units are not stated in the caption (the y-axis label is not extractable); the effect is reported as a P value with no effect size in the text,as above
abramson2024af3,ED6B-D,17,"Four modified-residue examples rendered against ground truth, with and without the modification modelled (7Z1K, 7US1, 7TNZ, 7SDW), coloured by pLDDT",structure render,"`RENDER \| facet: system (4) × modification modelled (2: yes, no — for b and c only) \| views: 1 \| overlay: 1 prediction on 1 reference (grey) \| axis: none`",RENDER,,,,,,,,,,,,3 lettered panels containing 6 renders; per-render mean pocket-aligned RMSDCα printed in the caption (2.104 vs 10.261 Å; 0.424 vs 9.706 Å; 0.840 Å; 0.502 Å),Two hand-picked pairs carry the qualitative claim that pLDDT drops when the modification is omitted; no distribution,as above
abramson2024af3,ED7A,18,"Single-chain LDDT against MSA depth (median per-residue Neff), AF3 vs AF-M 2.3",scatter + line,"`PLOT \| facet: none (1) \| vary: median per-residue Neff for the chain, 10⁰–10⁴ (continuous, log axis) \| series: model (2: AlphaFold 3, AlphaFold-Multimer 2.3) \| measure: single-chain LDDT \| mark: point (raw) + line (Gaussian kernel smoothing, window 0.2 log units) with 95% bootstrap band \| n: every protein chain in the low-homology recent PDB set with <20 chains and <2,560 tokens; count NOT REPORTED`",PLOT,,,,,,,,,,,,1 panel,"The two smoothed curves are near-indistinguishable across the whole range, which **is** the result (""very similar dependence"", p5), but the point cloud is drawn in one colour family so the two models' raw points cannot be separated by eye; n never stated",as above
abramson2024af3,ED7B,18,"Ranked accuracy vs number of seeds, for seven molecule-type classes",line,"`PLOT \| facet: none (1) \| vary: seeds per target, 1–30 (continuous) \| series: interface class (7: protein-intra, dna-intra, rna-intra, protein-dna, protein-rna, protein–protein antibody=False, protein–protein antibody=True) \| measure: LDDT or iLDDT \| mark: line with 95% bootstrap band (1,000 samples) \| n: clusters per series printed (386, 875, 78, 307, 102, 697, 58)`",PLOT,,,,,,,,,,,,1 panel,"**Two different measures (LDDT and iLDDT) share one y-axis** with the label ""LDDT or iLDDT"", so intra-chain and interface curves are not comparable despite being drawn together; the axis starts at 0 but the curves occupy only the 28–85 band, compressing the one curve that actually moves (antibody, n = 58)",as above
abramson2024af3,ED8,19,"Accuracy vs chain-pair ipTM for ion, bonded-ligand and bonded-glycan interfaces, as stacked r.m.s.d. bands",bar (stacked),"`PLOT \| facet: interface type (3: ion–protein, bonded ligand–protein, bonded glycan–protein) \| vary: chain pair ipTM band (5) \| series: pocket RMSD threshold band (5: 0–0.5, 0.5–1.0, 1.0–2.0, 2.0–5.0, 5.0+ Å) \| measure: % of interface clusters below threshold \| mark: bar (stacked to 100%) \| n: printed per bar (ions 34/48/175/332/377; bonded ligands 0/0/2/30/49; glycans 0/1/1/16/12)`",PLOT,,,,,,,,,,,,3 panels,"**Full-height bars are drawn on n = 1 and n = 2 clusters** in the bonded-ligand and glycan panels, and empty bands on n = 0, with no CI anywhere — a 100% bar on one cluster reads identically to a 100% bar on 377. This set is also unfiltered for homology (p5)",as above
abramson2024af3,ED9,20,"DockQ against iLDDT for protein–protein interfaces, one point per cluster, with a Huber fit and translated thresholds",scatter,"`PLOT \| facet: none (1) \| vary: iLDDT (continuous) \| series: none (1) \| measure: DockQ \| mark: point + fitted line (Huber regressor, epsilon 1) \| n: 1 per mark; 4,182 clusters per panel`",PLOT,,,,,,,,,,,,1 panel,"Heavy overplotting at 4,182 points with no density encoding; the derived equivalences (0.23 → 23.6, 0.8 → 77.6) are quoted in the caption without a residual or R²",as above
abramson2024af3,EDT1,21,"The full accuracy table: task × dataset × metric × privilege class × method, with N, mean and 95% CI",table (not a plot),"`SCHEMATIC \| tabulated per-arm accuracy with N and 95% confidence intervals across ligands, nucleic acids, covalent modifications and proteins \| no data` (a rendered table, not a data graphic)",SCHEMATIC,,,,,,,,,,,,"1 table, ~60 rows, 4 task blocks","The table is **an image in the PDF and does not extract as text** — it had to be rendered to be read, which is why a corpus quoting AF3's numbers so often quotes Fig. 1c instead. The privilege class (""Holo protein struct. given"", ""Pocket residues specified"") is a `Notes` column that is easy to miss when quoting a row",as above
aureli2026epath,1,,Schematic comparison of the original PATH CV and the Euclidean variant,schematic,`SCHEMATIC \| PATH vs EPATH CV construction \| no data`,SCHEMATIC,,,,,,,,,,,,—,—,"**CC-BY 4.0, no ND — redrawing permitted with attribution**"
aureli2026epath,2–4,,"Free-energy surfaces and ΔG convergence for apo-ADRB1 and apo-MOR, old vs Euclidean CV, with mean and s.d. bands across replicas",free-energy surface + line,"`PLOT \| facet: receptor and CV variant \| vary: path progress CV (continuous) \| series: method (2: OLD, Euclidean) \| measure: free energy (kcal/mol) \| n: 8 replicas`",PLOT,,,,,,,,,,,,NOT EXTRACTED,—,as above
aureli2026epath,"S5, S8",,Microswitch rearrangements and cavity hydration along the activation coordinate,NOT EXTRACTED,NOT EXTRACTED,,,,,,,,,,,,,—,—,as above
bret2025boltz2docking,(unnumbered in retrieved text),,"ROC AUC for classifying true actives vs true inactives, wild type against mutant, across ten target sets",NOT EXTRACTED,"`PLOT \| facet: none \| vary: target set (10) \| series: sequence (2: WT, mutant) \| measure: ROC AUC \| n: 943 hits total`",PLOT,,,,,,,,,,,,—,—,ACS/HAL author version; check the published licence before adapting
bret2025boltz2docking,(unnumbered),,ΔROC AUC against increasing number of mutations at randomly chosen positions,NOT EXTRACTED,"`PLOT \| facet: mutation region (2: binding site, outer shell) \| vary: mutation rate (continuous) \| series: target (10) \| measure: ΔROC AUC \| n: NOT REPORTED`",PLOT,,,,,,,,,,,,—,—,as above
bret2025boltz2docking,S6,,ROCK1 Met153→Pro hinge mutation,NOT EXTRACTED,NOT EXTRACTED,,,,,,,,,,,,,—,—,as above
bryant2024cfold,1A,2,"Cfold schema: PDB → structural clusters → conformational split → training (one MSA, one structure) vs inference (many coevolutionary representations from MSA clustering → alternative conformations)",schematic,`SCHEMATIC \| pipeline from PDB structural clustering to training and to MSA-clustering inference \| no data`,SCHEMATIC,,,,,,,,,,,,"1 (panel a), containing cartoon structures and a two-track Evoformer block",,"CC BY 4.0, no ND clause (p.12)"
bryant2024cfold,1B,2,TM-score distributions for the seen (train) and unseen (test) conformations under the two sampling strategies,violin with inner box,"`PLOT \| facet: conformation partition (2: train conf, test conf) \| vary: strategy (2) \| series: strategy (2: MSA clustering, dropout) \| measure: TM-score (best of ~100 samples per target) \| n: 154 targets per clustering violin, 145 per dropout violin; 2 violins per panel`",PLOT,,,,,,,,,,,,"1 panel letter (b), internally split into two partition groups of two violins","Shows only the **best** sample per target — ""The best TM-score was selected for each method out of approximately 100 samples"" (caption, p.2) — so the violin is an oracle-selected upper envelope, not the sampling distribution","CC BY 4.0, no ND (p.12)"
bryant2024cfold,1C,2,"2D density of TM-score to the train conformation vs TM-score to the unseen conformation, for the 52 targets recovered on both",heatmap / 2D kernel density,"`MATRIX \| rows: TM-score to test conformation, 0.6–1.0 (binned continuous) \| cols: TM-score to train conformation, 0.6–1.0 (binned continuous) \| value: density of sampled predictions \| facet: none (1)`",MATRIX,,,,,,,,,,,,"1 panel letter (c). The letter also carries two inset structure renders (4AVA/4AVB, blue/grey) with no axes — noted here rather than split into a separate row, since the renders are illustrative insets carrying no measured quantity","Restricted to the 52 targets that succeeded on **both** states (""Only structures that could be predicted with a TM-score >0.8 for both train and test conformations among the samples taken are displayed"", caption p.2), so the panel cannot show failures; both axes are truncated to 0.6–1.0","CC BY 4.0, no ND (p.12)"
bryant2024cfold,2,3,Native structure pairs illustrating the three categories of conformational change,structure render,"`RENDER \| facet: conformational change type (3: hinge motion, rearrangement, fold switch) \| views: 1 \| overlay: 0 predictions on 2 reference(s) per facet \| axis: none`",RENDER,,,,,,,,,,,,"3 panels, one per change type, each a deposited pair (7WHM/7WHN, 7W01/7W02, 3NSJ/7PAG)","Caption carries the class counts (n = 180, m = 62, n = 3) but no quantitative panel; the counts also disagree with the body text on p.3 (63 hinge)","CC BY 4.0, no ND (p.12)"
bryant2024cfold,3A-B,4,ΔTM-score to the test conformation vs difference between the internal embeddings of the two selected predictions,scatter,"`PLOT \| facet: embedding type (2: single-sequence cosine similarity, pair-embedding L2) \| vary: embedding difference (continuous; 0.99825–0.99975 for cosine, ~15–50 for pair L2) \| series: none (1) \| measure: Δ TM-score (0 to −0.22) \| n: 1 per point, 52 per panel`",PLOT,,,,,,,,,,,,"2 panels (a, b); same mark and measure, differing only in which embedding is on the independent axis, so one row","Both panels sit on a near-degenerate independent axis — cosine similarity spans only 0.99825–0.99975, a range of 0.0015, which makes ""no relationship"" hard to distinguish from ""no dynamic range""; the correlation is annotated as R = −0.02 in both legends while the text (p.4) says Spearman R = 0.02","CC BY 4.0, no ND (p.12)"
bryant2024cfold,3C,4,Predicted structure ensembles coloured by secondary structure for two example targets,structure render,"`RENDER \| facet: system (2: 4AVA/4AVB, 5LE6/5LE3) \| views: 1 \| overlay: NOT REPORTED predictions on 0 explicit reference(s) \| axis: none`",RENDER,,,,,,,,,,,,"1 panel letter (c), 2 systems, superposed sampled models coloured helix/loop/sheet",,"CC BY 4.0, no ND (p.12)"
bryant2024cfold,4A,5,"Prediction accuracy against the magnitude of the conformational change, with a running average",scatter + line,"`PLOT \| facet: none (1) \| vary: TM-score between native conformations, 0.2–0.6 (continuous) \| series: none (1) \| measure: test-conformation TM-score, 0.4–1.0 \| n: 1 per point, 155 per panel; running-average line uses a 0.02 TM-score step`",PLOT,,,,,,,,,,,,1 panel (a),"Independent axis starts at 0.2 (the dataset inclusion cutoff) and dependent axis at 0.4 — the truncation is by construction but not labelled as such; the running-average line is drawn with no band or per-bin n, and thins to very few points above 0.45","CC BY 4.0, no ND (p.12)"
bryant2024cfold,4B,5,Prediction accuracy split by category of conformational change,strip plot,"`PLOT \| facet: none (1) \| vary: conformational change type (3: hinge, rearrangement, fold switch) \| series: none (1) \| measure: test-conformation TM-score, ~0.4–1.0 \| n: 1 per point; 40 hinge, 114 rearrangement, 1 fold switch per panel (155 total)`",PLOT,,,,,,,,,,,,1 panel (b),"The fold-switch column contains a **single point** and no summary statistic, n or error is drawn on any column, yet the caption asserts ""The hinge motions are less accurately predicted than the rearrangements and fold switches"" — a three-group claim resting on n = 1 in one group","CC BY 4.0, no ND (p.12)"
bryant2024cfold,5A,6,"plDDT against TM-score, testing confidence as a conformation selector",scatter,"`PLOT \| facet: none (1) \| vary: TM-score, 0.4–1.0 (continuous) \| series: none (1) \| measure: plDDT, 0.4–1.0 \| n: 1 per point, ~155 per panel (NOT REPORTED exactly)`",PLOT,,,,,,,,,,,,"1 panel (a), R = 0.52 annotated",Per-panel n never stated in caption or legend,"CC BY 4.0, no ND (p.12)"
bryant2024cfold,5B,6,"Train- vs test-conformation TM-score for every sampled prediction, coloured by plDDT",scatter,"`PLOT \| facet: none (1) \| vary: train-conformation TM-score, 0.6–1.0 (continuous) \| series: plDDT, 0.45–0.95 (continuous colour) \| measure: test-conformation TM-score, 0.6–1.0 \| n: 1 per point, 5408 per panel over 52 structures`",PLOT,,,,,,,,,,,,1 panel (b),Same 52-structure survivor restriction and 0.6–1.0 axis truncation as 1C; failures are outside the plotted range by construction,"CC BY 4.0, no ND (p.12)"
bryant2024cfold,5C,6,"Predicted conformation pairs coloured by plDDT, superposed on the native, for six example targets",structure render,"`RENDER \| facet: system (6: 4AVA/4AVB, 1L5T/1BKA, 1IGV/4ICB, 3ZSF/2YLN, 7OHG/6S2U, 6O1X/6O1Z) \| views: 1 \| overlay: 2 predictions on 1 reference (grey) per system \| axis: none`",RENDER,,,,,,,,,,,,"1 panel letter (c), 6 systems, discrete plDDT colour bins [0–50, 50–70, 70–90, 90–100]","Systems are hand-picked exemplars out of 52; no criterion for their selection is given. Panel labels 1L5T/1BKA and 1IGV/4ICB do not both match the body text, which cites 1L5T/2BKA (p.5)","CC BY 4.0, no ND (p.12)"
bryant2024cfold,6,7,The full PDB data-selection workflow from raw structures to 245 annotated alternative-conformation sequences,schematic,"`SCHEMATIC \| flowchart of PDB filtering, 30% sequence clustering, 0.8 TM structural clustering, 90% sequence re-clustering and manual annotation \| no data`",SCHEMATIC,,,,,,,,,,,,1 flow diagram,"Caption states ""In total, 245 such sequences were found"" where the abstract, body and Methods partition counts all say 244","CC BY 4.0, no ND (p.12)"
bryant2024cfold,7A-B,8,Distributions of sequence length and of inter-conformation TM-score across the benchmark,histogram (bar),"`PLOT \| facet: quantity (2: sequence length, inter-conformation TM-score) \| vary: length 0–1600 residues / TM-score 0.35–0.8 (continuous, binned) \| series: none (1) \| measure: count of alternative conformations \| n: ~245 per panel (NOT REPORTED exactly in caption)`",PLOT,,,,,,,,,,,,"2 panels (a, b); same mark (bar) and same measure (count), so one row","Panel b's independent axis terminates exactly at the 0.8 inclusion cutoff with the modal bin adjacent to it — the truncation is the dataset criterion, so the figure cannot show how far the distribution would extend if the cutoff were relaxed; per-panel n not printed","CC BY 4.0, no ND (p.12)"
