citekey,binary predicate,continuous coordinate,RMSD-to-reference,visual only,no state metric,n_kinds,window
mitjavila2026afsample2t,0,1,1,0,0,2,"**Dual, and neither half is a conformational-state call.** Recorded honestly rather than forced into a state reading: - **RMSD-to-reference, thresholded** — symmetry-aware side-chain (and backbone) RMSD of binding-site residues (those within 5 Å of the bound ligand) to the corresponding deposited st"
nittinger2025cofolding,0,0,0,0,1,0,**NOT APPLICABLE for protein conformational state.** Ligand-pose RMSD to reference plus site-identification success. The receptor's conformation is never assessed.
obendorf2026statespecific,1,0,1,1,0,3,"dual and asymmetric. - Quantitative: RMSD-to-reference — ligand RMSD (MDAnalysis, after alignment) and protein backbone RMSD (PyMOL, restricted to the folded receptor core for GPCRs) — pp23–24. - State recovery itself: **visual / binary predicate on named markers, judged by eye.** Kinases: orientati"
paajanen2026activation,1,1,0,0,0,2,"**Dual — continuous coordinate + binary predicate. And the descriptors are LEARNED, not the classical TM6/DRY/NPxxY geometry.** This matters, because the paper is a candidate source for a state predicate."
pandyszekeres2024gproteindb,0,0,0,0,1,0,"**NOT REPORTED — and this is the single most important negative in the note.** The resource **does not assign, annotate, or verify a receptor activation state for any of its 5,595 (or 1,121) models**, and offers no criterion by which one could be called."
parikh2026allosteric,1,0,1,1,0,3,"**RMSD-to-reference + binary predicate**, with a third, unacknowledged **visual** component."
passaro2025boltz2,1,1,0,0,0,2,"**continuous coordinate + binary predicate.** Dual, and both halves are used for headline claims."
protenix2025,0,0,0,0,1,0,"**NOT APPLICABLE — the paper defines no conformational-state predicate of any kind.** There is no active/inactive call, no state coordinate, no state-classification arm, and no discussion of alternative protein conformations anywhere in 21 pages."
protenix2026v2,0,0,0,0,1,0,"**NOT APPLICABLE — no conformational state is ever called, by any means.** For completeness, the predicates actually used, since they are the closest analogues and are worth having in the corpus:"
purnomo2026cafe,1,0,1,0,0,2,"**binary predicate + RMSD-to-reference (dual) — and both are about *ligand placement*, not conformational state. Recorded as measured; a conformational reading would be a fabrication."
richman2025conformix,1,1,1,0,0,3,"**RMSD-to-reference + continuous coordinate + binary predicate** (triple, and the schema's dual join is insufficient here). Continuous: Cα RMSD to each deposited reference, TM-score (Fig S4, p24), and the fill-ratio metric imported from Kalakoti et al. (Fig S5, p25)."
roehrig2026docking,1,1,0,0,0,2,"**binary predicate + continuous coordinate.** Dual, and both halves are used."
schafer2025confounds,1,0,1,1,0,3,"**RMSD-to-reference + binary predicate**, with a **third, visual** component that the dual form cannot hold and that is recorded here rather than dropped."
singh2026moredata,0,0,0,0,1,0,**NOT APPLICABLE — no conformational state is scored anywhere.
singhal2025fksteering,0,0,0,0,1,0,"**NOT APPLICABLE for conformational state.** The metrics used are GenEval prompt fidelity, ImageReward, HPS, perplexity, linguistic acceptability and toxicity-classifier scores."
skrinjar2026generalization,1,1,0,0,0,2,"**continuous coordinate + binary predicate**, and both are used throughout, so the dual value is required."
stein2022speachaf,0,1,1,1,0,3,"**`RMSD-to-reference + continuous coordinate + visual only` — all three, and the third is the one that decides the headline result.**"
sun2026kinconfbench,1,1,1,0,0,3,"**binary predicate + continuous coordinate** (with RMSD-to-reference used as a pre-filter, not as the state call)."
suzuki2026conforflux,1,1,0,0,0,2,"**binary predicate + continuous coordinate, both anchored on distance to a deposited reference.**"
suzuki2026pairscaling,1,1,0,0,0,2,"continuous coordinate + binary predicate, both anchored on RMSD-free structural similarity to deposited references."
swapna2025memorization,0,0,1,1,0,2,**dual — RMSD-to-reference + visual only.**
tang2026steeraf,1,1,0,0,0,2,"**continuous coordinate + binary predicate, dual.** Continuous: TM-score and Cα RMSD to each reference, reported as best-of-N (§5.4, p20), and distance-based PCA coordinates (PC1/PC2) used throughout Figures 3 and 5."
tejero2024opsin,0,1,0,1,0,2,**DUAL — `continuous coordinate` + `visual only`.**
tran2026nanogs,0,1,0,0,0,1,"**continuous coordinate, no threshold, no fitted structural coordinate.** Two independent readouts: 1. **Bimane fluorescence** at C265^6.27 in lower TM6: bathochromic shift of λmax plus decrease in fluorescence intensity (p.5, Figure 2B)."
vo2026fiducials,0,1,0,1,0,2,**Dual: `visual only` + `continuous coordinate`.**
wallner2023afsample,0,0,0,0,1,0,"**NOT APPLICABLE — no conformational state predicate exists.** The quality metric is **DockQ, a continuous reference-dependent interface score** (Basu and Wallner 2016), averaged over interfaces where there are several: ""In the case of multiple interfaces, DockQ is calculated for each interface and "
waymentsteele2024cluster,1,0,1,1,0,3,"**RMSD-to-reference with a binary 3 Å predicate**, plus TM-score in one arm and visual/PCA assignment elsewhere."
waymentsteele2025reply,1,1,0,1,0,3,"**DUAL — continuous coordinate + binary predicate**, with an explicitly admitted **visual** component in how the predicate was set."
wohlwend2024boltz1,0,0,0,0,1,0,"**NOT APPLICABLE — no conformational state is scored, so there is no state metric of any kind (binary, continuous, RMSD-to-reference or visual).** The paper's metrics are accuracy-to-a-single-reference metrics. Recorded here for completeness because the corpus will want their exact definitions and t"
wu2023tds,0,0,0,0,1,0,**NOT APPLICABLE for conformational state.** The protein arm uses a designability / success-rate predicate; the vision arm uses conditional-mean estimation error and sample-quality scores.
yang2025statespecific,1,0,1,1,0,3,**binary predicate + RMSD-to-reference + visual only.** All three are in use and none subsumes the others.
ye2026multistatebias,0,1,1,0,0,2,**RMSD-to-reference (primary) + a continuous two-descriptor coordinate for SecA + TM-score as a fold sanity check.**
yu2026domainmotion,0,1,1,0,0,2,"**RMSD-to-reference + continuous coordinate** (dual, and reported both ways). Each model is placed in a 2-D system of RMSD-to-apo-reference against RMSD-to-holo-reference, computed **after aligning the fixed domain**, which is the methodological point: a global RMSD would not resolve a domain hinge."
zhang2026generalization,0,0,1,0,0,1,"**RMSD-to-reference, with every claim binarised by a stated threshold. No conformational-state predicate exists in this paper at all.**"
