# APO-arm equivalent of two_instrument_state_calls.csv (not produced by the tracked script)
# Class A: npxxy_oh<9.082 AND gpcrdb_tm6_tilt>14.932
# Class B: class_b_kink<159.95 AND gpcrdb_tm6_tilt>14.932
# Class F: gpcrdb_tm6_tilt>14.932 only
# Apo arm only; per-receptor call from median over 5 seeds x 5 samples.

## per_receptor_backbone
receptor_slug,receptor_class,backbone,median_npxxy_oh,median_gpcrdb_tm6_tilt,median_class_b_kink,active_call
ADA2A,A,protenix,10.031,11.957,157.176,no
ADRB1,A,boltz,11.52,11.763,158.705,no
ADRB1,A,chai,4.332,18.422,165.753,yes
ADRB1,A,of3,9.159,12.571,160.065,no
ADRB1,A,protenix,10.688,11.851,160.587,no
ADRB2,A,boltz,11.728,11.758,159.101,no
ADRB2,A,chai,4.25,18.579,165.005,yes
ADRB2,A,of3,9.313,12.515,160.554,no
ADRB2,A,protenix,10.625,11.789,162.235,no
AGTR1,A,boltz,3.82,18.991,158.864,yes
AGTR1,A,chai,4.611,19.156,160.068,yes
AGTR1,A,of3,10.89,11.792,154.077,no
AGTR1,A,protenix,10.777,11.256,153.249,no
APJ,A,boltz,17.422,11.787,159.983,no
APJ,A,chai,13.078,11.879,159.972,no
APJ,A,of3,8.956,16.743,165.144,yes
APJ,A,protenix,10.418,11.929,161.954,no
B1B1U5,A,boltz,9.146,10.975,157.46,no
B1B1U5,A,chai,10.201,10.88,157.218,no
B1B1U5,A,of3,8.701,11.139,156.437,no
B1B1U5,A,protenix,9.089,11.202,157.753,no
CCKAR,A,boltz,10.138,12.058,162.587,no
CCKAR,A,chai,3.711,16.825,163.864,yes
CCKAR,A,of3,9.723,12.326,158.887,no
CCKAR,A,protenix,10.162,12.158,165.957,no
CCR5,A,boltz,10.24,16.823,163.776,no
CCR5,A,chai,12.027,11.834,159.46,no
CCR5,A,of3,8.893,18.293,166.216,yes
CCR5,A,protenix,11.472,11.871,160.881,no
CNR1,A,boltz,5.239,14.722,157.73,no
CNR1,A,chai,3.641,17.128,162.715,yes
CNR1,A,of3,5.124,14.572,155.6,no
CNR1,A,protenix,3.656,16.714,161.17,yes
CNR2,A,boltz,10.684,13.451,154.618,no
CNR2,A,chai,2.756,15.876,159.312,yes
CNR2,A,of3,3.824,14.426,155.245,no
CNR2,A,protenix,4.223,13.697,155.487,no
CRHR1,B,boltz,,12.063,169.42,no
CRHR1,B,chai,,21.41,85.076,yes
CRHR1,B,of3,,18.476,106.684,yes
CRHR1,B,protenix,,12.504,154.703,no
CXCR2,A,boltz,10.668,11.964,160.776,no
CXCR2,A,chai,10.304,12.381,162.355,no
CXCR2,A,of3,9.938,12.145,161.347,no
CXCR2,A,protenix,9.769,12.243,162.685,no
CXCR4,A,boltz,14.064,12.785,156.65,no
CXCR4,A,chai,12.768,12.394,156.386,no
CXCR4,A,of3,11.219,13.139,158.432,no
CXCR4,A,protenix,14.565,12.639,157.153,no
DRD2,A,boltz,9.912,11.733,157.838,no
DRD2,A,chai,9.71,11.826,159.313,no
DRD2,A,of3,9.851,12.128,159.468,no
DRD2,A,protenix,9.579,11.906,159.074,no
DRD3,A,boltz,10.303,11.624,160.211,no
DRD3,A,chai,10.203,11.666,162.382,no
DRD3,A,of3,9.947,11.984,160.711,no
DRD3,A,protenix,10.01,11.777,160.182,no
EDNRA,A,boltz,,11.404,153.45,nan_npxxy
EDNRA,A,chai,,11.897,153.398,nan_npxxy
EDNRA,A,of3,,11.651,155.347,nan_npxxy
EDNRA,A,protenix,,11.455,156.82,nan_npxxy
EDNRB,A,boltz,,12.458,154.286,nan_npxxy
EDNRB,A,chai,,11.83,150.712,nan_npxxy
EDNRB,A,of3,,11.535,155.627,nan_npxxy
EDNRB,A,protenix,,11.719,155.328,nan_npxxy
FSHR,A,boltz,3.361,17.645,163.716,yes
FSHR,A,chai,3.645,17.03,167.311,yes
FSHR,A,of3,6.713,13.297,158.926,no
FSHR,A,protenix,3.051,16.242,162.071,yes
FZD4,F,boltz,,14.116,165.214,no
FZD4,F,chai,,14.257,165.606,no
FZD4,F,of3,,16.159,166.362,yes
FZD4,F,protenix,,14.239,166.375,no
FZD6,F,boltz,,16.067,169.264,yes
FZD6,F,chai,,14.151,166.549,no
FZD6,F,of3,,15.973,166.944,yes
FZD6,F,protenix,,16.047,166.767,yes
FZD7,F,boltz,,14.121,162.907,no
FZD7,F,chai,,13.961,164.699,no
FZD7,F,of3,,16.079,163.668,yes
FZD7,F,protenix,,16.144,165.171,yes
GCGR,B,boltz,,12.541,138.345,no
GCGR,B,chai,,12.444,138.056,no
GCGR,B,of3,,20.715,98.462,yes
GCGR,B,protenix,,12.549,159.73,no
GHSR,A,boltz,10.053,12.509,159.825,no
GHSR,A,chai,10.069,12.764,164.872,no
GHSR,A,of3,10.178,12.776,163.047,no
GHSR,A,protenix,10.306,12.526,163.555,no
GLP1R,B,boltz,,12.221,131.665,no
GLP1R,B,chai,,21.527,97.666,yes
GLP1R,B,of3,,22.32,96.431,yes
GLP1R,B,protenix,,12.212,142.213,no
GRPR,A,boltz,,11.409,156.318,nan_npxxy
GRPR,A,chai,,11.608,158.143,nan_npxxy
GRPR,A,of3,,11.798,156.204,nan_npxxy
GRPR,A,protenix,,11.44,158.726,nan_npxxy
HRH1,A,boltz,15.412,12.199,156.486,no
HRH1,A,chai,15.513,13.106,158.237,no
HRH1,A,of3,15.63,12.868,157.796,no
HRH1,A,protenix,15.018,12.439,156.836,no
HRH3,A,boltz,,14.219,158.599,nan_npxxy
HRH3,A,chai,,18.229,165.257,nan_npxxy
HRH3,A,of3,,13.853,159.735,nan_npxxy
HRH3,A,protenix,,13.521,161.015,nan_npxxy
LPAR1,A,boltz,9.117,11.333,158.297,no
LPAR1,A,chai,9.38,11.332,161.178,no
LPAR1,A,of3,5.752,16.718,161.092,yes
LPAR1,A,protenix,9.465,11.198,160.18,no
LSHR,A,boltz,3.389,17.882,164.99,yes
LSHR,A,chai,3.096,18.224,169.589,yes
LSHR,A,of3,6.554,13.527,160.828,no
LSHR,A,protenix,3.081,17.466,164.31,yes
LT4R1,A,boltz,12.608,11.744,158.793,no
LT4R1,A,chai,12.444,11.781,156.598,no
LT4R1,A,of3,11.562,12.111,158.105,no
LT4R1,A,protenix,11.681,12.182,158.44,no
MCHR1,A,boltz,11.201,11.62,159.613,no
MCHR1,A,chai,5.973,17.284,166.297,yes
MCHR1,A,of3,9.501,12.402,159.484,no
MCHR1,A,protenix,10.632,11.546,158.455,no
NPY1R,A,boltz,9.126,12.121,151.829,no
NPY1R,A,chai,8.094,12.403,151.659,no
NPY1R,A,of3,12.961,12.221,152.408,no
NPY1R,A,protenix,12.154,12.113,153.241,no
NPY2R,A,boltz,9.424,12.109,157.111,no
NPY2R,A,chai,9.364,12.058,157.205,no
NPY2R,A,of3,9.727,11.698,157.414,no
NPY2R,A,protenix,9.705,11.747,156.169,no
OPRD,A,boltz,16.153,11.808,160.346,no
OPRD,A,chai,11.369,11.772,159.164,no
OPRD,A,of3,11.224,11.842,159.435,no
OPRD,A,protenix,11.417,11.739,160.387,no
OPRK,A,boltz,11.312,11.528,159.364,no
OPRK,A,chai,5.32,16.569,164.015,yes
OPRK,A,of3,11.321,11.655,158.328,no
OPRK,A,protenix,11.117,11.704,160.106,no
OPRX,A,boltz,12.051,11.814,151.904,no
OPRX,A,chai,11.67,11.743,151.757,no
OPRX,A,of3,11.153,11.803,152.883,no
OPRX,A,protenix,11.179,11.798,152.806,no
OPSD,A,boltz,12.366,15.718,160.764,no
OPSD,A,chai,4.631,17.487,166.025,yes
OPSD,A,of3,13.93,12.586,158.482,no
OPSD,A,protenix,14.072,12.198,157.413,no
OX2R,A,boltz,9.732,12.186,153.559,no
OX2R,A,chai,9.728,12.231,154.476,no
OX2R,A,of3,9.314,12.171,155.471,no
OX2R,A,protenix,9.563,12.006,155.394,no
PTH1R,B,boltz,,22.294,97.246,yes
PTH1R,B,chai,,21.885,95.466,yes
PTH1R,B,of3,,18.491,107.498,yes
PTH1R,B,protenix,,18.543,107.968,yes
SMO,F,boltz,,18.642,165.841,yes
SMO,F,chai,,18.754,164.73,yes
SMO,F,of3,,18.38,166.726,yes
SMO,F,protenix,,18.414,166.733,yes

## class_backbone_summary
receptor_class,backbone,n_receptors_scored,n_active,fraction_active,n_missing_required
A,boltz,36,4,0.111,4
A,chai,36,12,0.333,4
A,of3,36,3,0.083,4
A,protenix,36,3,0.083,4
B,boltz,4,1,0.25,0
B,chai,4,3,0.75,0
B,of3,4,4,1.0,0
B,protenix,4,1,0.25,0
F,boltz,4,2,0.5,0
F,chai,4,1,0.25,0
F,of3,4,4,1.0,0
F,protenix,4,3,0.75,0
