rung,family,accession,len,resid_range,unpaired_depth,note
R6a_da5,G15,P30679,348,1-348,6909,ok
R1_ct11,G12,Q03113,11,371-381,0,ok
R2_ct15,G12,Q03113,15,367-381,0,ok
R3_ct21,G12,Q03113,21,361-381,241,ok
R4_a5helix,G12,Q03113,26,356-381,1303,ok
R5_a5plus,G12,Q03113,36,346-381,2613,ok
R7_full,G12,Q03113,381,1-381,6289,ok
R6a_da5,G12,Q03113,355,1-355,5764,ok
R1_ct11,G13,Q14344,11,367-377,0,ok
R2_ct15,G13,Q14344,15,363-377,18,ok
R3_ct21,G13,Q14344,21,357-377,192,ok
R4_a5helix,G13,Q14344,26,352-377,853,ok
R5_a5plus,G13,Q14344,36,342-377,2640,ok
R7_full,G13,Q14344,377,1-377,6573,ok
R6a_da5,G13,Q14344,351,1-351,6534,ok
