pdb_id,receptor,state,gpcr_class,experimental_method,resolution_A,deposition_date,fusion_partner,engineered_mutation_count,construct_contradicted_by_rcsb,predicate_window_hit,predicate_call,deviation,deviation_class
6BD4,FZD4,inactive,F,X-ray,2.4,2017-10-21,,,,False,expected_fail,False,
8JHB,FZD6,active,F,EM,3.3,2023-05-23,,,,False,expected_pass,False,
8JH7,FZD6,inactive,F,EM,3.2,2023-05-22,,,,False,inactive_passes_predicate,True,curation_error_or_expected_biology
9EW2,FZD7,active,F,EM,3.2,2024-04-03,,,,False,expected_pass,False,
8YY8,FZD7,active,F,,,,,,,False,expected_pass,False,
9EPO,FZD7,inactive,F,,,,,,,False,expected_fail,False,
6XBM,SMO,active,F,EM,3.14,2020-06-06,,,,False,expected_pass,False,
6O3C,SMO,active,F,X-ray,2.8,2019-02-26,,,,False,expected_pass,False,
6XBL,SMO,active,F,EM,3.96,2020-06-06,,,,False,expected_pass,False,
4JKV,SMO,inactive,F,X-ray,2.45,2013-03-11,,,,False,expected_fail,False,
8CXO,SMO,inactive,F,EM,3.7,2022-05-22,,,,False,expected_fail,False,
