receptor	needed	role_gpcrdb	function_raw	ligand_name	ligand_ccd	bound_pdb	is_our_reference	state	resolution	species	smiles	curation_note
ADRB1	antagonist	agonist	Agonist	CHEMBL1615159	P0G	7BU7	yes	Active	2.6	Homo sapiens	Cc1ccccc1CC(C)(C)NC[C@H](O)c1ccc(O)c2c1OCC(=O)N2	placeholder row, no SMILES/PDB
ADRB1	antagonist	antagonist	Antagonist	(S)-Cyanopindolol	P32	4BVN		Inactive	2.1	Meleagris gallopavo	CC(C)(C)NC[C@@H](COC1=CC=CC2=C1CC(=N2)C#N)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	antagonist	Inverse agonist	CHEMBL3799125	CVD	4AMJ		Inactive	2.3	Meleagris gallopavo	COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12	placeholder row, no SMILES/PDB
ADRB1	antagonist	antagonist	Inverse agonist	7-methylcyanopindolol	XTK	5A8E		Inactive	2.4	Meleagris gallopavo	C(C)(C)(C)NC[C@@H](COC1=C2C=C(NC2=C(C=C1)C)C#N)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist (partial)	Dobutamine	Y00	2Y00		Inactive	2.5	Meleagris gallopavo	C[C@H](CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	(S)-Xamoterol	FVK	6H7N		Active	2.5	Meleagris gallopavo	C1COCCN1C(=O)NCCNC[C@@H](COC2=CC=C(C=C2)O)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	LEVISOPRENALINE	5FW	7JJO		Active	2.6	Meleagris gallopavo	CC(C)NC[C@H](O)c1ccc(O)c(O)c1	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist (partial)	Dobutamine	Y00	2Y01		Inactive	2.6	Meleagris gallopavo	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)CCC(=O)O)C)C	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	CARMOTEROL	WHJ	2Y02		Inactive	2.6	Meleagris gallopavo	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	Noradrenaline	E5E	7BU6		Active	2.7	Homo sapiens	C1=CC(=C(C=C1[C@H](C[NH3+])O)O)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	antagonist	Antagonist	CHEMBL1559535	3WC	3ZPR		Inactive	2.7	Meleagris gallopavo	Cc1cc(N2CCNCC2)nc2ccccc12	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	ARFORMOTEROL	H98	6IBL		Active	2.7	Meleagris gallopavo	COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	levosalbutamol	68H	6H7M		Active	2.76	Meleagris gallopavo	OCc1cc(ccc1O)[C@H](CNC(C)(C)C)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	antagonist	Antagonist	CHEMBL200234	XF5	3ZPQ		Inactive	2.8	Meleagris gallopavo	c1cc(N2CCNCC2)c2cc[nH]c2c1	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	(S)-Cyanopindolol	P32	6H7O		Active	2.8	Meleagris gallopavo	CC(C)(C)NC[C@@H](COC1=CC=CC2=C1CC(=N2)C#N)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	(-)-adrenaline	ALE	7BTS		Active	3.13	Homo sapiens	CNC[C@@H](c1ccc(c(c1)O)O)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	agonist	Agonist	Bucindolol	G90	4AMI		Inactive	3.2	Meleagris gallopavo	CC(C)(CC1=CNC2=CC=CC=C21)NC[C@@H](COC3=CC=CC=C3C#N)O	placeholder row, no SMILES/PDB
ADRB1	antagonist	antagonist	Antagonist	Iodocyanopindolol	I32	2YCZ		Inactive	3.65	Meleagris gallopavo	CC(C)(C)NC[C@@H](COC1=CC=CC2=C1C(=C(N2)C#N)I)O	placeholder row, no SMILES/PDB
HRH3	agonist	agonist	Agonist	histamine	HSM	8YN5	yes	Active	2.7	Homo sapiens	NCCc1cnc[nH]1	placeholder row, no SMILES/PDB
HRH3	agonist	agonist	Agonist	imetit	ITF	8YN6		Active	2.77	Homo sapiens	NC(=N)SCCc1cnc[nH]1	placeholder row, no SMILES/PDB
HRH3	agonist	agonist	Agonist	proxyfan	A1LY3	8YN8		Active	2.77	Homo sapiens	C(CCc1cnc[nH]1)OCc1ccccc1	placeholder row, no SMILES/PDB
HRH3	agonist	agonist	Agonist	immepip	A1LY4	8YUV		Active	3.0	Homo sapiens	N1CCC(CC1)Cc1[nH]cnc1	placeholder row, no SMILES/PDB
OPSD	antagonist	antagonist	Inverse agonist	Retinal (11-cis)	RET	7ZBC	yes	Inactive	1.8	Bos taurus	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	other	unknown	B-Nonylglucoside	BNG	4X1H	yes	Active	2.29	Bos taurus	CCCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	Retinal (11-cis)	RET	8A6D		Inactive	1.8	Bos taurus	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	Retinal (all-trans)	RET	5DYS		Active	2.3	Bos taurus	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	COMPOUND SUMMARY	DOK	6FK6		Active	2.36	Bos taurus	CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)N2CCC3(CC2)OC4=CC=CC=C4O3	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	3-[1'-[(2~{S})-2-(4-chlorophenyl)-3-methyl-butanoyl]spiro[1,3-benzodioxole-2,4'-piperidine]-5-yl]propanoic acid	DLB	6FKC		Active	2.46	Bos taurus	CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)N2CCC3(CC2)OC4=C(O3)C=C(C=C4)CCC(=O)O	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	5-chloro-2-(2-oxo-2-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-ylethyl)-3H-pyridin-6-one	DL2	6FKD		Active	2.49	Bos taurus	C1CN(CCC12OC3=CC=CC=C3O2)C(=O)CC4=NC(=O)C(=CC4)Cl	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	(2~{S})-2-(4-chlorophenyl)-3-methyl-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one	DO5	6FK7		Active	2.62	Bos taurus	C[C@H]([C@@H](C1=CC=C(C=C1)Cl)C(=O)N2CCC3(CC2)OC4=CC=CC=C4O3)O	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	(2~{S})-3-methyl-2-phenyl-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one	DNK	6FK9		Active	2.63	Bos taurus	CC(C)[C@@H](C1=CC=CC=C1)C(=O)N2CCC3(CC2)OC4=CC=CC=C4O3	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	other	unknown	B-Octylglucoside	BOG	4J4Q		Active	2.65	Bos taurus	CCCCCCCCO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	(2~{S})-2-(3,4-dichlorophenyl)-3-methyl-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one	DN5	6FKA		Active	2.7	Bos taurus	CC(C)[C@@H](C1=CC(=C(C=C1)Cl)Cl)C(=O)N2CCC3(CC2)OC4=CC=CC=C4O3	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	antagonist	Inverse agonist	Retinal (9-cis)	RET	3AYN		Inactive	2.7	Todarodes pacificus	CC1=C(C(CCC1)(C)C)/C=C/C(=C\C=C\C(=C\C=O)\C)/C	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	(2~{R},3~{S})-3-azanyl-2-(4-chlorophenyl)-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-butan-1-one	DNZ	6FK8		Active	2.87	Bos taurus	C[C@@H]([C@@H](C1=CC=C(C=C1)Cl)C(=O)N2CCC3(CC2)OC4=CC=CC=C4O3)N	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	other	unknown	Nerol	NZZ	6PH7		Active	2.9	Bos taurus	CC(=CCC/C(=C\CO)/C)C	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	other	unknown	Geraniol	64Z	6PGS		Active	2.91	Bos taurus	CC(=CCC/C(=C/CO)/C)C	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	2-(4-Chlorophenyl)-1-spiro[1,3-benzodioxole-2,4'-piperidine]-1'-yl-ethanone	DLH	6FKB		Active	3.03	Bos taurus	C1CN(CCC12OC3=CC=CC=C3O2)C(=O)CC4=CC=C(C=C4)Cl	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	other	unknown	Citronellol	ODM	6PEL		Active	3.19	Bos taurus	C[C@H](CCC=C(C)C)CCO	RETINAL - agonist/antagonist are isomers of one covalent ligand
OPSD	antagonist	agonist	Agonist	10,20-Methanoretinal	7AB	5TE5		Inactive	4.01	Bos taurus	CC1=C(C(CCC1)(C)C)/C=C/C(=C/2\CC/C(=C\C=O)/C=C2)/C	RETINAL - agonist/antagonist are isomers of one covalent ligand
B1B1U5	antagonist	antagonist	Inverse agonist	Retinal (11-cis)	RET	6I9K	yes	Inactive	2.15	Hasarius adansoni	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C	RETINAL - D-H closed on 9EPP, so the reference is settled and the 9EPP agonist (11,20-ethanoretinal, CCD A1H6M) is a DIFFERENT CCD from the 6I9K inverse agonist (11-cis retinal, CCD RET). Residual blocker is policy, not chemistry: amendment C-1 dropped inverse_agonist from Tier 3 and this receptor has no neutral antagonist. Curate by ISOMER, never by CCD (F-11)
B1B1U5	antagonist	agonist	Agonist	11,20-Ethanoretinal	A1H6M	9EPP	yes	Active	4.06	Hasarius adansoni	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C2=C/C(=C/C=O)/CCC2)/C	RETINAL - D-H closed on 9EPP, so the reference is settled and the 9EPP agonist (11,20-ethanoretinal, CCD A1H6M) is a DIFFERENT CCD from the 6I9K inverse agonist (11-cis retinal, CCD RET). Residual blocker is policy, not chemistry: amendment C-1 dropped inverse_agonist from Tier 3 and this receptor has no neutral antagonist. Curate by ISOMER, never by CCD (F-11)
B1B1U5	antagonist	agonist	Agonist	Retinal (11-cis)	RET	9EPR		Active	4.9	Hasarius adansoni	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C\C(=C\C=O)\C)/C	RETINAL - D-H closed on 9EPP, so the reference is settled and the 9EPP agonist (11,20-ethanoretinal, CCD A1H6M) is a DIFFERENT CCD from the 6I9K inverse agonist (11-cis retinal, CCD RET). Residual blocker is policy, not chemistry: amendment C-1 dropped inverse_agonist from Tier 3 and this receptor has no neutral antagonist. Curate by ISOMER, never by CCD (F-11)
