n	slug	uniprot	gpcrdb	gclass	cluster	paralog	organism	active_pdb	active_res	inactive_pdb	inactive_res	worse_res	core32_provisional	qc	postcut	blockc_roles	ligands
41	LPAR1	Q92633	lpar1_human	A	001_004_003	lysophosphatidic	Homo sapiens (Human)	7TD0	2.83	4Z36	2.9	2.9	yes	I:fus+mut3	C P	3	sm / sm / C
42	LSHR	P22888	lshr_human	A	001_003_003	glycohormone	Homo sapiens (Human)	7FII	4.3	7FIJ	3.8	4.3	no	—	C	0	prot;sm / **none** / –
43	LT4R1	Q15722	lt4r1_human	A	001_004_002	leukotriene	Homo sapiens (Human)	7VKT	2.9	7K15	2.88	2.9	yes	A:fid+mut1 I:fus	C P	3	sm / sm / C
44	MCHR1	Q99705	mchr1_human	A	001_002_013	melanin_concentrating_hormone	Homo sapiens (Human)	8WWK	2.61	8YNS	3.33	3.33	yes	A:fid I:fus+fid	C P **B** (both)	3	pep / sm / C
45	MTR1A	P48039	mtr1a_human	A	001_005_001		Homo sapiens (Human)	7VGY	3.1	6ME2	2.8	3.1	yes	A:fid I:fus	C	0	sm / **none** / –
46	MTR1B	P49286	mtr1b_human	A	001_005_001		Homo sapiens (Human)	7VH0	3.46	6ME6	2.8	3.46	no	A:fid I:fus+mut11	C P	0	sm / **none** / –
47	NK1R	P25103	nk1r_human	A	001_002_029		Homo sapiens (Human)	8U26	2.5	6E59	3.4	3.4	yes	A:fid I:fus	C P	0	pep / sm / –
48	NPY1R	P25929	npy1r_human	A	001_002_020	npy	Homo sapiens (Human)	7X9A	3.2	5ZBQ	2.7	3.2	yes	I:fus+mut3	C P	3	pep / sm / C
49	NPY2R	P49146	npy2r_human	A	001_002_020	npy	Homo sapiens (Human)	8K6N	3.2	7DDZ	2.8	3.2	no	A:fid	C P	3	pep / sm / C
50	NTR1	P30989	ntr1_human	A	001_002_021		Homo sapiens (Human)	8JPF	3.02	7UL2	2.4	3.02	yes	I:fid	pre-all	0	pep;prot / sm / –
51	OPRD	P41143	oprd_human	A	001_002_022	opioid	Homo sapiens (Human)	6PT2	2.8	4N6H	1.8	2.8	yes	I:fus+mut4	pre-all	3	pep;prot;sm / pep;sm / C
52	OPRK	P41145	oprk_human	A	001_002_022	opioid	Homo sapiens (Human)	8FEG	2.54	6VI4	3.3	3.3	no	A:fid I:fid+mut1	pre-all	3	pep;sm / sm / C
53	OPRM	P42866	oprm_mouse	A	001_002_022		Mus musculus (Mouse)	5C1M	2.07	7UL4	2.8	2.8	no	A:fid I:fid **mouse**	pre-all	0	pep;sm / prot;sm / –
54	OPRX	P41146	oprx_human	A	001_002_022	opioid_nociceptin	Homo sapiens (Human)	8F7X	3.28	5DHH	3.0	3.28	no	A:fid I:fus+mut3	C P	3	pep / sm / C
55	OPSD	P02699	opsd_bovin	A	001_009_001_vert	opsin_vertebrate	Bos taurus (Bovine)	4X1H	2.29	7ZBC	1.8	2.29	yes	**bovine**	pre-all	0	sm / sm / –
56	OX2R	O43614	ox2r_human	A	001_002_023	orexin	Homo sapiens (Human)	7L1V	3.0	7XRR	2.89	3.0	yes	A:fid	C	3	pep;sm / sm / C
57	OXYR	P30559	oxyr_human	A	001_002_032		Homo sapiens (Human)	7RYC	2.9	6TPK	3.2	3.2	yes	A:fid	C P	0	pep / sm / –
58	PD2R2	Q9Y5Y4	pd2r2_human	A	001_004_008		Homo sapiens (Human)	8XXV	2.33	7M8W	2.61	2.61	yes	A:fid I:fus	C P **B**	0	lip / sm / –
59	PE2R4	P35408	pe2r4_human	A	001_004_008		Homo sapiens (Human)	8GDB	3.1	5YHL	4.2	4.2	no	A:fid I:fid+mut5	pre-all	0	lip;sm / sm / –
60	S1PR1	P21453	s1pr1_human	A	001_004_004		Homo sapiens (Human)	7TD4	2.6	3V2Y	2.8	2.8	yes	I:fus+mut2	C	0	pep;sm / sm / –
61	S1PR5	Q9H228	s1pr5_human	A	001_004_004		Homo sapiens (Human)	7EW1	3.4	7YXA	2.2	3.4	no	A:fid I:fus	C	0	sm / sm / –
62	SSR2	P30874	ssr2_human	A	001_002_028		Homo sapiens (Human)	7T10	2.5	7XN9	2.6	2.6	yes	A:fid	C P	0	pep;prot;sm / pep / –
63	TA2R	P21731	ta2r_human	A	001_004_008		Homo sapiens (Human)	8XJN	3.06	6IIU	2.5	3.06	no	A:fus+fid I:fus+mut1	C P **B**	0	sm / sm / –
64	TSHR	P16473	tshr_human	A	001_003_003		Homo sapiens (Human)	7UTZ	2.4	7T9M	3.1	3.1	yes	A:fid	C P	0	prot / prot / –
