slug	tier	gpcr_class	accession	gpcrdb_entry	canon_len	tm1_start_uniprot	tm1_start_gpcrdb	tm1_start_used	tm7_end_uniprot	h8_gpcrdb	c_anchor_used	c_anchor_source	signal	trim_start	trim_end	cap_start	signal_peptide_removed	n_removed_signal	signal_residues_retained	trim_len	n_removed_nterm	n_removed_cterm	n_removed_total	pct_removed	cap_binds_nterm	cap_binds_cterm	trim_sha256	canon_sha256
ADA1A	C1|C1r|H-protenix|H-boltz2|H-boltz2-both	A	P35348	ada1a_human	466	28	20	20	329	330-342	342	GPCRdb H8 end	none	1	442	1	none	0	0	442	0	24	24	5.2	no	yes	7a7ac0d79fae033ee367db9dc4c01d75448630d973994dad387aab43f485f4b0	1e43c78d6315a3dc0ad9dc09a01362cc3af4e2b1d92c816a8b74702648515890
ADA2A	C1|C1r|H-protenix	A	P08913	ada2a_human	465	48	46	46	443	445-458	458	GPCRdb H8 end	none	1	465	1	none	0	0	465	0	0	0	0.0	no	no	0153dbebb226a1e5b5f70a1ca9add9fc132e086045e02ee6797b928c3f08547d	0153dbebb226a1e5b5f70a1ca9add9fc132e086045e02ee6797b928c3f08547d
ADRB1	C1|C1r	A	P08588	adrb1_human	477	58	50	50	377	380-392	392	GPCRdb H8 end	none	1	477	1	none	0	0	477	0	0	0	0.0	no	no	18fcd61221ac38d04dac6ba1884d8ecd1c47c0e94922905c5b51382d95849c3a	18fcd61221ac38d04dac6ba1884d8ecd1c47c0e94922905c5b51382d95849c3a
ADRB2	C1	A	P07550	adrb2_human	413	30	26	26	326	329-341	341	GPCRdb H8 end	none	1	413	1	none	0	0	413	0	0	0	0.0	no	no	9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5	9abd88979dbbdef02b63e021dea98ae14cb976caa27c39878da46f99f3182fe5
AGRE5	E-scope	B2	P48960	agre5_human	835	553	541	541	789	790-806	806	GPCRdb H8 end	1-20	491	835	491	true	0	0	345	490	0	490	58.7	yes	no	861da8b5a84854d35be28e66d1f279c7f8fffc52903d7724c63981a691c1da40	0136d98f553bd40c5dd5aee99f8c1d9e34e952fcfb31184123f977165783b0bc
AGTR1	C1|C1r	A	P30556	agtr1_human	359	26	24	24	304	306-320	320	GPCRdb H8 end	none	1	359	1	none	0	0	359	0	0	0	0.0	no	no	6dae55828357a7880be08083bf83f85b1cb3d994c509c40dafd65fab164cdd76	6dae55828357a7880be08083bf83f85b1cb3d994c509c40dafd65fab164cdd76
APJ	C1|C1r|H-protenix	A	P35414	apj_human	380	31	29	29	312	313-327	327	GPCRdb H8 end	none	1	380	1	none	0	0	380	0	0	0	0.0	no	no	7c44a5c602ed3747f888e66d3e0d1e9f5f7ad40194536c4cf2fd76611124e520	7c44a5c602ed3747f888e66d3e0d1e9f5f7ad40194536c4cf2fd76611124e520
B1B1U5	C1|H-protenix|H-boltz2	A	B1B1U5	b1b1u5_9arac	372	51	46	46	333	335-346	346	GPCRdb H8 end	none	1	372	1	none	0	0	372	0	0	0	0.0	no	no	ba8fa863e837d8a9d2f25e2b0cae52f22ea2f32a046185d66ef8a83f862dc539	ba8fa863e837d8a9d2f25e2b0cae52f22ea2f32a046185d66ef8a83f862dc539
C5AR1	C1|C1r|H-protenix	A	P21730	c5ar1_human	350	38	34	34	303	305-314	314	GPCRdb H8 end	none	1	350	1	none	0	0	350	0	0	0	0.0	no	no	dc48c194272465c04ae4727f3710ca1c75b6ca77006ea1730ed45ea75035d730	dc48c194272465c04ae4727f3710ca1c75b6ca77006ea1730ed45ea75035d730
CALRL	E-B1	B1	Q16602	calrl_human	461	140	130	130	387	388-413	413	GPCRdb H8 end	1-22	80	461	80	true	0	0	382	79	0	79	17.1	yes	no	7b6f1987033db3a2d86513d5ff1d2849f0b0e1a5c614b1ee4d2650516a170fdb	0570c5d169e261bd58cef982a478372a4db9a32bab2b2e079eafc07bf05f0433
CCKAR	C1|C1r	A	P32238	cckar_human	428	42	39	39	373	374-390	390	GPCRdb H8 end	none	1	428	1	none	0	0	428	0	0	0	0.0	no	no	db51d7d7e7d75f30f42489829f22d751b64154d93bce190aaf7ae6f239a55695	db51d7d7e7d75f30f42489829f22d751b64154d93bce190aaf7ae6f239a55695
CCR2	C1|C1r|H-protenix	A	P41597	ccr2_human	374	43	37	37	309	309-320	320	GPCRdb H8 end	none	1	374	1	none	0	0	374	0	0	0	0.0	no	no	7a8225f899d150aefb4994c9753cd58af00aca868a6f56174a715efaf972a04c	7a8225f899d150aefb4994c9753cd58af00aca868a6f56174a715efaf972a04c
CCR5	C1	A	P51681	ccr5_human	352	31	22	22	301	301-313	313	GPCRdb H8 end	none	1	352	1	none	0	0	352	0	0	0	0.0	no	no	7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85	7474668859b42bd1928b660b8e0f3588621456c10ad704453a6877db09d44e85
CCR6	C1	A	P51684	ccr6_human	374	48	39	39	321	320-335	335	GPCRdb H8 end	none	1	374	1	none	0	0	374	0	0	0	0.0	no	no	b706a0519a8fe544c22e82de1ad7fb5c8582a584f0140b1080323299f16d727c	b706a0519a8fe544c22e82de1ad7fb5c8582a584f0140b1080323299f16d727c
CCR8	C1|C1r|H-protenix|H-boltz2|H-boltz2-both	A	P51685	ccr8_human	355	36	31	31	304	304-317	317	GPCRdb H8 end	none	1	355	1	none	0	0	355	0	0	0	0.0	no	no	5cd8cb49bc5ec7071c501092cf8c0857d3ea53ce9bec9cb06c103a5d4c88e961	5cd8cb49bc5ec7071c501092cf8c0857d3ea53ce9bec9cb06c103a5d4c88e961
CNR1	C1	A	P21554	cnr1_human	472	117	112	112	399	401-413	413	GPCRdb H8 end	none	62	472	62	none	0	0	411	61	0	61	12.9	yes	no	ec6475daeb38ed8e41ae5e53e481528f0bf8f92b9e9d9c7fe38a4729ac7e3079	4cf523e4f20641bd9bbbe1036fb5a523dba1b2bf3127cd5b69b0a6d2e2cc6314
CNR2	C1|C1r	A	P34972	cnr2_human	360	34	29	29	301	303-319	319	GPCRdb H8 end	none	1	360	1	none	0	0	360	0	0	0	0.0	no	no	c497f29417b886ff019812f69b1ed95fa872225c9180283496bec6d9ca65f664	c497f29417b886ff019812f69b1ed95fa872225c9180283496bec6d9ca65f664
CRHR1	E-B1	B1	P34998	crfr1_human	415	114	103	103	365	367-392	392	GPCRdb H8 end	1-23	53	415	53	true	0	0	363	52	0	52	12.5	yes	no	d8dc93ce675ad7caa24054a2e0600fd8f47cffb7b66e6afcae8375c2d25dd690	d606ec68b032c7d9de2b6d7a8c68d6c696b43f51e8f915f992e129af271f0bcd
CXCR2	C1	A	P25025	cxcr2_human	360	49	45	45	315	318-332	332	GPCRdb H8 end	none	1	360	1	none	0	0	360	0	0	0	0.0	no	no	613b62553ee1c01672bb0d7d7977679aa6dc74e730c63cf4daba77360d79c435	613b62553ee1c01672bb0d7d7977679aa6dc74e730c63cf4daba77360d79c435
CXCR3	C1|C1r|H-protenix|H-boltz2|H-boltz2-both	A	P49682	cxcr3_human	368	54	45	45	321	322-336	336	GPCRdb H8 end	none	1	368	1	none	0	0	368	0	0	0	0.0	no	no	82869dc8d22e9b15b07a70848b559bd2159ae74699560deece2b78c7089c132e	82869dc8d22e9b15b07a70848b559bd2159ae74699560deece2b78c7089c132e
CXCR4	C1|H-protenix|H-boltz2	A	P61073	cxcr4_human	352	39	30	30	302	306-318	318	GPCRdb H8 end	none	1	352	1	none	0	0	352	0	0	0	0.0	no	no	745dbb36c09682458fa172f0f7c03032517c82c090ad360605494be94709518b	745dbb36c09682458fa172f0f7c03032517c82c090ad360605494be94709518b
DRD2	C1	A	P14416	drd2_human	443	38	31	31	431	430-442	442	GPCRdb H8 end	none	1	443	1	none	0	0	443	0	0	0	0.0	no	no	8c2b6e1477ff21093d6bdee1a4482a36b1024aaebbd4e968c54262742cefd3e0	8c2b6e1477ff21093d6bdee1a4482a36b1024aaebbd4e968c54262742cefd3e0
DRD3	C1|C1r	A	P35462	drd3_human	400	33	26	26	386	387-399	399	GPCRdb H8 end	none	1	400	1	none	0	0	400	0	0	0	0.0	no	no	0c28b2bbcd26288e922995658ec906ad6b2d7c80ca8acd4f6764079f94edb811	0c28b2bbcd26288e922995658ec906ad6b2d7c80ca8acd4f6764079f94edb811
DRD4	C1|H-protenix|H-boltz2	A	P21917	drd4_human	419	30	31	31	403	404-416	416	GPCRdb H8 end	none	1	419	1	none	0	0	419	0	0	0	0.0	no	no	9a2657fa53c2073146e48e443489559cdbfc220b161c20897cb3ba8a6b9c2fd6	9a2657fa53c2073146e48e443489559cdbfc220b161c20897cb3ba8a6b9c2fd6
EDNRA	C1|H-protenix	A	P25101	ednra_human	427	81	70	70	372	373-386	386	GPCRdb H8 end	1-20	21	427	20	true	1	0	407	19	0	19	4.4	yes	no	f5b3a7b91e0cb481da55e11b67275421263466d38c5a30cb4a26ca049a919c9b	0e420a3caffe9e2fed51346272f4f61da4238fe89ab9d3aac9b8c8852f50f20e
EDNRB	C1|C1r|H-protenix	A	P24530	ednrb_human	442	102	91	91	389	390-403	403	GPCRdb H8 end	1-26	41	442	41	true	0	0	402	40	0	40	9.0	yes	no	f8dd6d741c229fcbe1124d4623ff1b0a7ffdfd2a75986b7ac3a5d4e4a7778b17	f203a5007cc0cf30ec43027c8736358176c0552936baf0844f0941c060996961
FSHR	C1|H-protenix	A	P23945	fshr_human	695	367	362	362	630	630-645	645	GPCRdb H8 end	1-17	312	695	312	true	0	0	384	311	0	311	44.7	yes	no	3afa338eef74ceed96b01df9a4696640e11c956e9df3fb7c90eef106d5734f10	7bbe9f46e81ee1d0334a73f0f90250a0a869534fcfcb48a4ad2c0caf44af2fa3
FZD4	E-scope	F	Q9ULV1	fzd4_human	537	213	212	212	495	497-512	512	GPCRdb H8 end	1-36	162	537	162	true	0	0	376	161	0	161	30.0	yes	no	41023ca59e45ed815ee9fd2d6663be67e1a5b99d497b5ab809019ec6ca963434	c997d9577170e24167d4847a141bf5975bef24849bc4a2ff43163a7860225748
FZD6	E-scope	F	O60353	fzd6_human	706	202	191	191	494	496-512	512	GPCRdb H8 end	1-18	141	612	141	true	0	0	472	140	94	234	33.1	yes	yes	3e4620ef51d50f94d642ebdfc3c0c3bfd4a52fa85321603659b905a728a85729	319dcaff698908768eee5e3389ae1b5ee57c6fb213dc7deac28900f4ebf0d5ab
FZD7	E-scope	F	O75084	fzd7_human	574	257	245	245	549	550-566	566	GPCRdb H8 end	1-32	195	574	195	true	0	0	380	194	0	194	33.8	yes	no	adbeede8efc86a4a53b4abd86ae1948e5a3bb98a7f043ea11c670cb85f9a1890	8ecc09d746ea0a01c7d6990b41faecbfb0e1afee82c84b509dea60851eaecf1c
GHSR	C1	A	Q92847	ghsr_human	366	41	39	39	326	327-342	342	GPCRdb H8 end	none	1	366	1	none	0	0	366	0	0	0	0.0	no	no	73fe68d1fe5d48b8452464bee663af0788bcce6806ae4c02155747ae82b57257	73fe68d1fe5d48b8452464bee663af0788bcce6806ae4c02155747ae82b57257
GLP1R	E-B1	B1	P43220	glp1r_human	463	140	138	138	404	406-431	431	GPCRdb H8 end	1-23	88	463	88	true	0	0	376	87	0	87	18.8	yes	no	9e39e48473cb51b3a674bc2100d9c11fde4c627ed002816002ef2c73d16954a5	8cd3cf61857825c3e48d5f35a6a560478cfecd2c63da46ea537ac8eeb5342796
GCGR	E-B1	B1	P47871	glr_human	477	137	131	131	402	404-429	429	GPCRdb H8 end	1-25	81	477	81	true	0	0	397	80	0	80	16.8	yes	no	0c0d2b1580a10a220de0265b5fa5ed9795d883abbb5231334784bd4d1ffeba23	b236d1c797f666e42b44dfc78e3cbe60c7481442160113a1c25bbf3ee3309d78
GPR52	C1|C1r	A	Q9Y2T5	gpr52_human	361	45	40	40	317	321-341	341	GPCRdb H8 end	none	1	361	1	none	0	0	361	0	0	0	0.0	no	no	dac50f0a84d7dc8a76b3ae92a634c2a38d7f6e37e0820f65f8a9f881abf811b9	dac50f0a84d7dc8a76b3ae92a634c2a38d7f6e37e0820f65f8a9f881abf811b9
GPR6	C1|H-protenix|H-boltz2|H-boltz2-both	A	P46095	gpr6_human	362	75	71	71	331	333-345	345	GPCRdb H8 end	none	21	362	21	none	0	0	342	20	0	20	5.5	yes	no	1c75b0e3f140491155600719438cb679f6d32aea83042129d548dd04478f5550	b453663681613982b7a3629d9428d894ee73622a545445125a310f808a69da97
GRPR	C1|H-protenix	A	P30550	grpr_human	384	39	37	37	325	326-339	339	GPCRdb H8 end	none	1	384	1	none	0	0	384	0	0	0	0.0	no	no	65221c4df869b7962744a9424e56af2329253da769121e160384ea87f7d59624	65221c4df869b7962744a9424e56af2329253da769121e160384ea87f7d59624
HRH1	C1|C1r	A	P35367	hrh1_human	487	30	29	29	469	472-484	484	GPCRdb H8 end	none	1	487	1	none	0	0	487	0	0	0	0.0	no	no	9112bbed27c42f31d518060045f8f075e25408811ec7af9d1b9bb91c91cbd1d2	9112bbed27c42f31d518060045f8f075e25408811ec7af9d1b9bb91c91cbd1d2
HRH2	C1|C1r|H-protenix|H-boltz2	A	P25021	hrh2_human	359	21	10	10	291	292-304	304	GPCRdb H8 end	none	1	359	1	none	0	0	359	0	0	0	0.0	no	no	4388134c63cdaa3d7a98d979102b2054c4fd38d0e8342ea901a0460720c70fa1	4388134c63cdaa3d7a98d979102b2054c4fd38d0e8342ea901a0460720c70fa1
HRH3	C1|C1r|H-protenix|H-boltz2	A	Q9Y5N1	hrh3_human	445	40	36	36	416	416-428	428	GPCRdb H8 end	none	1	445	1	none	0	0	445	0	0	0	0.0	no	no	d9bd4f76c847dbfb30349bd8e54ce8b6d7ca09d13b5792037019772c050843f8	d9bd4f76c847dbfb30349bd8e54ce8b6d7ca09d13b5792037019772c050843f8
LPAR1	C1|C1r|H-protenix	A	Q92633	lpar1_human	364	51	47	47	315	315-327	327	GPCRdb H8 end	none	1	364	1	none	0	0	364	0	0	0	0.0	no	no	932606a6305d90f0ab806da715e889c5dae639689bec63ae1834dd29302474d8	932606a6305d90f0ab806da715e889c5dae639689bec63ae1834dd29302474d8
LSHR	C1	A	P22888	lshr_human	699	364	359	359	627	627-641	641	GPCRdb H8 end	1-26	309	699	309	true	0	0	391	308	0	308	44.1	yes	no	f9081bb52177072866aa26780b9d06c96575ef6f587d7835adb0871ff8084d18	8ab4a7858bf09b303831af5ec18c26247c63143b56cd5172827bec24d6a2d261
LT4R1	C1|C1r|H-protenix	A	Q15722	lt4r1_human	352	20	13	13	289	NA	289	FALLBACK TM7 end (no GPCRdb H8)	none	1	352	1	none	0	0	352	0	0	0	0.0	no	no	44b3d3a6c920fab6d3eee78b5cfcf9fdb22acf721f4e45f7aafbb44646e3df5b	44b3d3a6c920fab6d3eee78b5cfcf9fdb22acf721f4e45f7aafbb44646e3df5b
MCHR1	C1|H-protenix|H-boltz2|H-boltz2-both	A	Q99705	mchr1_human	353	45	106	106	312	384-396	396	GPCRdb H8 end	none	56	353	56	none	0	0	298	55	0	55	15.6	yes	no	e7b3bfb6bb00ebfca4e2b1a2516a926a3ba02cc11f55ed6fa4b615c0d6fbbdbe	9f42fc1aa2a3da7995836475cdd401e9911a26c7aba9aab1672188740a0ff14e
MTR1A	C1	A	P48039	mtr1a_human	350	30	23	23	295	299-315	315	GPCRdb H8 end	none	1	350	1	none	0	0	350	0	0	0	0.0	no	no	61065c51ec32c120c2ab71ea269842512d87fb046f8f9376002eb00fd30f4b61	61065c51ec32c120c2ab71ea269842512d87fb046f8f9376002eb00fd30f4b61
MTR1B	C1|H-protenix	A	P49286	mtr1b_human	362	43	38	38	308	312-328	328	GPCRdb H8 end	none	1	362	1	none	0	0	362	0	0	0	0.0	no	no	994582d1d50e1dfe7147a138b488aab397e57ece95746f0ad9692acbdbbe63f6	994582d1d50e1dfe7147a138b488aab397e57ece95746f0ad9692acbdbbe63f6
NK1R	C1|H-protenix	A	P25103	nk1r_human	407	32	28	28	308	309-320	320	GPCRdb H8 end	none	1	407	1	none	0	0	407	0	0	0	0.0	no	no	c1c101b738eca478ffaa196b2d78ff3e3f458a1c435f855b3daeee103e85eedb	c1c101b738eca478ffaa196b2d78ff3e3f458a1c435f855b3daeee103e85eedb
NPY1R	C1|H-protenix	A	P25929	npy1r_human	384	38	36	36	323	324-335	335	GPCRdb H8 end	none	1	384	1	none	0	0	384	0	0	0	0.0	no	no	b988033ce3865dd511193da531f612e7bfe6b7f6c3b4a73a4e14af316c587916	b988033ce3865dd511193da531f612e7bfe6b7f6c3b4a73a4e14af316c587916
NPY2R	C1|H-protenix	A	P49146	npy2r_human	381	46	48	48	326	329-345	345	GPCRdb H8 end	none	1	381	1	none	0	0	381	0	0	0	0.0	no	no	5405ec4c579e685932a3fbc61764f6be9b73e9cb76180d6825433fe3346bc52b	5405ec4c579e685932a3fbc61764f6be9b73e9cb76180d6825433fe3346bc52b
NTR1	C1	A	P30989	ntr1_human	418	68	59	59	364	368-383	383	GPCRdb H8 end	none	9	418	9	none	0	0	410	8	0	8	1.9	yes	no	5a17a95b86f7a2697bf186806397c1df70400d8015857208f69376f47e59d90b	0b4854a718c538409ae00cdd8962cf9bebc9b4163bef123304539b3b14f435b4
OPRD	C1|C1r	A	P41143	oprd_human	372	48	39	39	321	322-335	335	GPCRdb H8 end	none	1	372	1	none	0	0	372	0	0	0	0.0	no	no	b75060695513d21ac502da540921882c3e99fd716a491e99f6757d7b78b3c62b	b75060695513d21ac502da540921882c3e99fd716a491e99f6757d7b78b3c62b
OPRK	C1	A	P41145	oprk_human	380	58	57	57	333	334-346	346	GPCRdb H8 end	none	7	380	7	none	0	0	374	6	0	6	1.6	yes	no	ebe4f6df631e95ccd92f5103265ff787bfb2de7c7c5bd08edaf86cddd3e98bbd	945340616bafd8d32b4cdb5a4f6a1f13ee9de829fd7daccf5f63fc94149d6b34
OPRM	C1|C1r	A	P42866	oprm_mouse	398	67	65	65	336	340-352	352	GPCRdb H8 end	none	15	398	15	none	0	0	384	14	0	14	3.5	yes	no	ffdc6938597e97e50bbd6960a8f36250bb36ea7edfa3324053d9b6414dbe8980	a3da4c29ab3b06e2d8e0258635a289ae322696ac7666ba53c1a761546bec16dd
OPRX	C1|H-protenix	A	P41146	oprx_human	370	49	48	48	322	323-335	335	GPCRdb H8 end	none	1	370	1	none	0	0	370	0	0	0	0.0	no	no	34c69b7a4be8168c8acba2ed65e2efe153b9ea6487d2fc9bed8b34e4d9fbe7cf	34c69b7a4be8168c8acba2ed65e2efe153b9ea6487d2fc9bed8b34e4d9fbe7cf
OPSD	C1|C1r	A	P02699	opsd_bovin	348	37	33	33	308	310-322	322	GPCRdb H8 end	none	1	348	1	none	0	0	348	0	0	0	0.0	no	no	20e8fc797c8f2615a0ce29e265bc6a5e5adc929a1f25bbfa5c52fdbfd8ea9536	20e8fc797c8f2615a0ce29e265bc6a5e5adc929a1f25bbfa5c52fdbfd8ea9536
OX2R	C1|C1r	A	O43614	ox2r_human	444	55	53	53	366	368-384	384	GPCRdb H8 end	none	3	444	3	none	0	0	442	2	0	2	0.5	yes	no	d4fe73c09b89f6ddc735a10998fbc9a5f4184d5bf096dd537d52c77573a5d9af	e6a80905b838e43a89b0ad4e131b00b60220ad862701cd82a95e3ce4070fa1db
OXYR	C1|H-protenix	A	P30559	oxyr_human	389	36	35	35	329	333-349	349	GPCRdb H8 end	none	1	389	1	none	0	0	389	0	0	0	0.0	no	no	944327688ddc36d8b989373bb6a0330e71536f5f04ee5c813d3ea54643da9293	944327688ddc36d8b989373bb6a0330e71536f5f04ee5c813d3ea54643da9293
PD2R2	C1|C1r|H-protenix|H-boltz2	A	Q9Y5Y4	pd2r2_human	395	34	32	32	308	308-325	325	GPCRdb H8 end	none	1	395	1	none	0	0	395	0	0	0	0.0	no	no	9800e73d5db87c78c7b5350307ddf15012927fada0dd1e50787a7b179a0908ce	9800e73d5db87c78c7b5350307ddf15012927fada0dd1e50787a7b179a0908ce
PE2R4	C1	A	P35408	pe2r4_human	488	20	18	18	332	333-346	346	GPCRdb H8 end	none	1	446	1	none	0	0	446	0	42	42	8.6	no	yes	17adcec012def314ffe97132e59e920542044c455579bc4bf769d50263a97eb1	0c3feb9a2e6d6c63770c9e9d3f4b6664da11f74a182678e68fabb7586f538a97
PTH1R	E-B1	B1	Q03431	pth1r_human	593	187	173	173	462	463-488	488	GPCRdb H8 end	1-26	123	588	123	true	0	0	466	122	5	127	21.4	yes	yes	2d6fc43e163f83f2dfad58a2e658e3ab33f744e48f1fd4c7c445cbd588dd1190	db20616a415dae80fe8a0a66e0a519dbd38fe6443f1fdd61d804d03d78354f04
S1PR1	C1|C1r	A	P21453	s1pr1_human	382	47	42	42	310	315-327	327	GPCRdb H8 end	none	1	382	1	none	0	0	382	0	0	0	0.0	no	no	db9ec94c53b2528bce535764268b67bb99f9c6f0c4d1e45d09c64b7d2913b66e	db9ec94c53b2528bce535764268b67bb99f9c6f0c4d1e45d09c64b7d2913b66e
S1PR5	C1	A	Q9H228	s1pr5_human	398	41	37	37	308	310-322	322	GPCRdb H8 end	none	1	398	1	none	0	0	398	0	0	0	0.0	no	no	955064a6b00ad109bd1ed7e526edbfa9a8cd46814d4d6ba4aa8bea47fa43923e	955064a6b00ad109bd1ed7e526edbfa9a8cd46814d4d6ba4aa8bea47fa43923e
SMO	E-scope	F	Q99835	smo_human	787	230	223	223	537	538-553	553	GPCRdb H8 end	1-27	173	653	173	true	0	0	481	172	134	306	38.9	yes	yes	9e8b88c10f74385c981eae3083e2d2353a60375d4f91abb735be5df30ffe968e	2174c461817c35101eddf5c5ded44c7993684802e2ae40eb8566d574eccf79c1
SSR2	C1|C1r|H-protenix	A	P30874	ssr2_human	369	44	40	40	303	316-328	328	GPCRdb H8 end	none	1	369	1	none	0	0	369	0	0	0	0.0	no	no	6001055d0866d9ee2c225eb36b22f1f56726909686411070689b585515e38d7b	6001055d0866d9ee2c225eb36b22f1f56726909686411070689b585515e38d7b
TA2R	C1|H-protenix|H-boltz2	A	P21731	ta2r_human	343	30	27	27	311	312-331	331	GPCRdb H8 end	none	1	343	1	none	0	0	343	0	0	0	0.0	no	no	b21f1f7568d77ddb23a172b8a3bb4da575c8edeb865254dd2e0a84618bf90080	b21f1f7568d77ddb23a172b8a3bb4da575c8edeb865254dd2e0a84618bf90080
TSHR	C1|H-protenix	A	P16473	tshr_human	764	415	414	414	681	682-696	696	GPCRdb H8 end	1-20	364	764	364	true	0	0	401	363	0	363	47.5	yes	no	dc09d883046387b0ec158bb9590dcae76232f6ca8ed894b4bf0880dc5fdfedb6	abb482de486eda31e5b719a969581bd51545802ae5caf5c38765663b0168752d
