receptor_slug	cluster	worse_res	core32_provisional	core_frozen	tier	exclusion_reason	override_reason	supplied_partner_family	supplied_partner_subtype	supplied_partner_basis	supplied_partner_independence	reference_tip_subtype	reference_tip_family	reference_tip_evidence	annotation_family_set	annotation_verdict	cognate_vs_reference_agree	reverses_blockb_prior	blockb_prior
CCR5	001_003_002	3.9	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
CCR6	001_003_002	3.34	no	no	EXTENSION-census			Gi/o	Go	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Go	Gi/o	STRUCTURE_NEAR	G12/13;Gi/o	cognate_conflicted	yes	no	
CCR8	001_003_002	2.96	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	
CNR1	001_004_005	3.13	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o;Gq/11	cognate_conflicted	yes	no	Gi
CNR2	001_004_005	2.84	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
CXCR2	001_003_002	3.4	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
CXCR3	001_003_002	3.0	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	
CXCR4	001_003_002	3.1	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
DRD2	001_001_004	3.2	no	no	EXTENSION-census			Gi/o	Go	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Go	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
DRD3	001_001_004	2.89	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	Gi
DRD4	001_001_004	3.2	no	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gi/o	Gi1	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gi/o	cognate_confident	n/a	no	
EDNRA	001_002_007	3.21	no	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference, and that reference is CHIMERIC	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	G12/13;Gi/o;Gq/11	cognate_conflicted	n/a	no	Gq
EDNRB	001_002_007	2.8	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o;Gq/11;Gs	cognate_ambiguous	yes	yes	Gq
FSHR	001_003_003	6.0	no	no	EXTENSION-census			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	STRUCTURE_EXACT	Gi/o;Gq/11;Gs	cognate_ambiguous	yes	no	Gs
GHSR	001_002_010	3.3	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gi1	Gi/o	STRUCTURE_EXACT	G12/13;Gi/o;Gq/11	cognate_conflicted	yes	yes	Gq
GPR52	001_010_001	2.8	yes	yes	PRIMARY			Gs	Gs	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gs	Gs	STRUCTURE_NEAR	Gq/11;Gs	cognate_conflicted	yes	no	
GPR6	001_010_001	3.43	no	no	EXTENSION-census			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	STRUCTURE_EXACT	Gi/o;Gs	cognate_ambiguous	yes	no	
GRPR	001_002_003	3.3	yes	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gq/11	cognate_ambiguous	n/a	no	Gq
HRH1	001_001_005	3.0	no	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gq/11	cognate_ambiguous	n/a	no	Gq
HRH2	001_001_005	3.0	no	no	EXTENSION-census			Gs	Gs	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gs	Gs	STRUCTURE_NEAR	Gq/11;Gs	cognate_conflicted	yes	no	
HRH3	001_001_005	2.7	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	Gi
LPAR1	001_004_003	2.9	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	G12/13;Gi/o;Gq/11	cognate_ambiguous	yes	no	Gi
LSHR	001_003_003	4.3	no	no	EXTENSION-census			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	STRUCTURE_NEAR	Gs	cognate_ambiguous	yes	no	Gs
LT4R1	001_004_002	2.9	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o;Gq/11	cognate_ambiguous	yes	no	Gi
MCHR1	001_002_013	3.33	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o;Gq/11;Gs	cognate_ambiguous	yes	no	Gi
MTR1A	001_005_001	3.1	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	
MTR1B	001_005_001	3.46	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	
NK1R	001_002_029	3.4	yes	yes	PRIMARY			Gs	Gs	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gs	Gs	STRUCTURE_NEAR	Gq/11;Gs	cognate_conflicted	yes	no	
NPY1R	001_002_020	3.2	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	Gi
NPY2R	001_002_020	3.2	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
NTR1	001_002_021	3.02	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference	Gi1	Gi/o	CONVENTION_FALLBACK	Gi/o;Gq/11	cognate_conflicted	yes	no	
OPRD	001_002_022	2.8	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	CONVENTION_FALLBACK	Gi/o	cognate_ambiguous	yes	no	Gi
OPRK	001_002_022	3.3	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
OPRM	001_002_022	2.8	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	CONVENTION_FALLBACK	Gi/o	cognate_ambiguous	yes	no	
OPRX	001_002_022	3.28	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	Gi
OPSD	001_009_001_vert	2.29	yes	yes	PRIMARY			Gi/o	Gt1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gt1	Gi/o	PEPTIDE_ENTITY	Gi/o	cognate_ambiguous	yes	no	Gt
OX2R	001_002_023	3.0	yes	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gi/o;Gq/11;Gs	cognate_ambiguous	n/a	no	Gq
OXYR	001_002_032	3.2	yes	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	annotation only -- independent of the structure	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	Gi/o;Gq/11	cognate_ambiguous	n/a	no	
PD2R2	001_004_008	2.61	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_confident	yes	no	
PE2R4	001_004_008	4.2	no	no	EXTENSION-census			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	STRUCTURE_EXACT	G12/13;Gi/o;Gs	cognate_conflicted	yes	no	
S1PR1	001_004_004	2.8	yes	yes	PRIMARY			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	
S1PR5	001_004_004	3.4	no	no	EXTENSION-census			Gi/o	Gi1	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi1	Gi/o	STRUCTURE_EXACT	G12/13;Gi/o	cognate_ambiguous	yes	no	
SSR2	001_002_028	2.6	yes	yes	PRIMARY			Gi/o	Gi3	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gi3	Gi/o	STRUCTURE_EXACT	Gi/o	cognate_ambiguous	yes	no	
TA2R	001_004_008	3.06	no	no	EXTENSION-chimeric-reference	chimeric active reference: engineered alpha5 tip, ineligible for a strict primary panel		Gq/11	Gq	annotation; declared family representative	NOT INDEPENDENT: the coupling recommendation was taken from the deposited reference, and that reference is CHIMERIC	CHIMERIC -- no canonical subtype	CHIMERIC	CHIMERA_SPLIT	G12/13;Gq/11	cognate_conflicted	n/a	no	
TSHR	001_003_003	3.1	yes	yes	PRIMARY			Gs	Gs	structure-read subtype inside the annotated family	annotation only -- independent of the structure	Gs	Gs	STRUCTURE_NEAR	Gs	cognate_ambiguous	yes	no	
