slug	uniprot_acc	canon_len	active_pdb	inactive_pdb	n_present_active	n_present_inactive	n_present_both	n_resolved_active	n_resolved_inactive	n_resolved_both	resolved_both_span	resolved_both_ranges	frac_canon_scoreable	n_canon_never_scoreable
B1B1U5	B1B1U5	372	9EPP	6I9K	327	372	327	323	310	306	20-335	20-256,263-264,269-335	0.8226	66
C5AR1	P21730	350	7Y66	6C1R	330	302	301	281	290	273	34-314	34-233,237-307,313-314	0.78	77
CCKAR	P32238	428	7MBX	7F8U	427	344	344	292	278	277	38-375	38-240,302-375	0.6472	151
CCR2	P41597	374	7XA3	6GPX	313	283	275	285	268	260	36-313	36-144,153-231,242-313	0.6952	114
CCR5	P51681	352	7O7F	6MEO	352	313	313	300	313	298	16-313	16-313	0.8466	54
CCR6	P51684	374	6WWZ	9D3G	373	305	305	310	262	262	38-336	38-150,161-203,208-235,251-281,290-336	0.7005	112
CCR8	P51685	355	8KFX	8TLM	355	355	355	288	266	266	33-314	33-227,237-265,273-314	0.7493	89
CNR1	P21554	472	8GHV	9BA0	472	298	298	280	274	270	104-412	104-301,341-412	0.572	202
CNR2	P34972	360	8GUR	5ZTY	360	285	285	282	279	271	22-312	22-222,243-312	0.7528	89
CXCR2	P25025	360	6LFO	6LFL	360	300	300	307	269	265	46-332	46-199,205-241,250-279,289-332	0.7361	95
CXCR3	P49682	368	8HNM	8K2W	361	347	347	277	263	257	60-330	60-240,255-330	0.6984	111
CXCR4	P61073	352	8U4N	8U4R	351	351	351	283	277	265	36-307	36-66,70-229,234-307	0.7528	87
DRD2	P14416	443	8TZQ	6CM4	443	270	270	270	263	261	36-441	36-139,144-222,364-441	0.5892	182
DRD3	P35462	400	8IRT	3PBL	391	294	294	273	272	270	32-400	32-221,321-400	0.675	130
DRD4	P21917	419	8IRU	5WIU	408	313	313	268	270	261	34-413	34-176,182-227,342-413	0.6229	158
EDNRA	P25101	427	8HCQ	8XVK	387	340	340	303	288	283	74-378	74-191,197-281,298-333,335-378	0.6628	144
EDNRB	P24530	442	8IY5	5GLI	416	323	323	316	304	301	88-395	88-303,311-395	0.681	141
FSHR	P23945	695	8I2G	8I2H	678	682	678	595	568	568	20-643	20-287,344-643	0.8173	127
GHSR	Q92847	366	7NA7	6KO5	366	318	318	291	293	282	39-339	39-243,255-292,301-339	0.7705	84
GPR52	Q9Y2T5	361	8HMP	6LI2	324	295	279	285	286	267	26-324	26-67,71-235,265-324	0.7396	94
GPR6	P46095	362	8TYW	8T1V	362	302	302	264	266	256	72-344	72-256,274-344	0.7072	106
GRPR	P30550	384	8H0Q	7W41	384	282	282	296	282	274	42-337	42-186,191-241,260-337	0.7135	110
HRH1	P35367	487	8YN2	8X5Y	487	275	275	272	270	260	28-481	28-169,174-217,408-481	0.5339	227
HRH2	P25021	359	8YN3	7UL3	308	314	263	280	228	227	16-302	16-158,174-199,245-302	0.6323	132
HRH3	Q9Y5N1	445	8YN5	7F61	445	407	407	288	301	284	34-427	34-236,347-427	0.6382	161
LPAR1	Q92633	364	7TD0	4Z36	339	310	310	290	289	283	23-323	23-232,251-323	0.7775	81
LSHR	P22888	699	7FII	7FIJ	672	672	672	570	561	555	39-644	39-286,338-644	0.794	144
LT4R1	Q15722	352	7VKT	7K15	352	208	208	287	200	198	15-212	15-212	0.5625	154
MCHR1	Q99705	353	8WWK	8YNS	327	316	316	289	271	270	38-326	38-67,76-235,247-326	0.7649	83
MTR1A	P48039	350	7VGY	6ME2	350	305	305	281	290	276	23-313	23-218,234-313	0.7886	74
MTR1B	P49286	362	7VH0	6ME6	362	294	294	273	282	269	38-323	38-231,249-323	0.7431	93
NK1R	P25103	407	8U26	6E59	407	336	336	284	283	279	28-320	28-224,239-320	0.6855	128
NPY1R	P25929	384	7X9A	5ZBQ	340	357	339	309	306	295	28-336	28-241,256-336	0.7682	89
NPY2R	P49146	381	8K6N	7DDZ	341	347	335	301	290	286	48-339	48-250,257-339	0.7507	95
NTR1	P30989	418	8JPF	7UL2	418	348	348	298	255	251	60-378	60-88,100-214,218-255,307-330,334-378	0.6005	167
OPRD	P41143	372	6PT2	4N6H	298	301	298	289	301	289	41-329	41-329	0.7769	83
OPRK	P41145	380	8FEG	6VI4	305	305	305	278	283	268	60-339	60-202,206-216,220-300,307-339	0.7053	112
OPRM	P42866	398	5C1M	7UL4	296	393	296	296	286	281	65-347	65-222,225-347	0.706	117
OPRX	P41146	370	8F7X	5DHH	369	297	297	285	283	277	49-333	49-193,196-244,251-333	0.7486	93
OPSD	P02699	348	4X1H	7ZBC	348	348	348	326	304	304	1-322	1-142,147-229,244-322	0.8736	44
OX2R	O43614	444	7L1V	7XRR	356	331	323	284	309	276	55-378	55-196,205-251,292-378	0.6216	168
OXYR	P30559	389	7RYC	6TPK	389	287	287	285	248	247	35-321	35-65,71-230,266-321	0.635	142
PD2R2	Q9Y5Y4	395	8XXV	7M8W	348	338	338	302	327	301	10-322	10-30,33-171,181-236,238-322	0.762	94
PE2R4	P35408	488	8GDB	5YHL	488	317	317	283	280	276	19-344	19-214,265-344	0.5656	212
S1PR1	P21453	382	7TD4	3V2Y	381	304	304	290	283	270	18-323	18-36,45-148,156-231,253-323	0.7068	112
S1PR5	Q9H228	398	7EW1	7YXA	344	304	304	269	285	253	14-310	14-27,37-63,68-136,147-223,245-310	0.6357	145
SSR2	P30874	369	7T10	7XN9	369	355	355	287	292	284	40-327	40-187,189-239,243-327	0.7696	85
TA2R	P21731	343	8XJN	6IIU	331	306	306	310	300	296	11-320	11-52,59-228,237-320	0.863	47
TSHR	P16473	764	7UTZ	7T9M	694	693	693	600	565	555	29-698	29-288,396-610,619-698	0.7264	209
