receptor_slug	seed_index	seed	salt
CNR1	5	2166365134	20260914
CNR2	1	932027880	20260914
CNR2	2	2146412981	20260914
CNR2	3	2734488590	20260914
CNR2	4	4172816093	20260914
CNR2	5	3971895700	20260914
CXCR2	1	1676140542	20260914
CXCR2	2	2458359357	20260914
CXCR2	3	3946720097	20260914
CXCR2	4	3363120633	20260914
CXCR2	5	292587928	20260914
CXCR3	1	3858469842	20260914
CXCR3	2	2260997922	20260914
CXCR3	3	1173524880	20260914
CXCR3	4	2310870760	20260914
CXCR3	5	1379674758	20260914
CXCR4	1	1170760838	20260914
CXCR4	2	220392271	20260914
CXCR4	3	4148625734	20260914
CXCR4	4	1689381161	20260914
CXCR4	5	2275045274	20260914
DRD2	1	3293885908	20260914
DRD2	2	545803082	20260914
DRD2	3	3936103747	20260914
DRD2	4	1549065632	20260914
DRD2	5	3915264759	20260914
DRD3	1	71705483	20260914
DRD3	2	3840920016	20260914
DRD3	3	1672920858	20260914
DRD3	4	2324697812	20260914
DRD3	5	1896477116	20260914
DRD4	1	3594217631	20260914
DRD4	2	3862224026	20260914
DRD4	3	2751499884	20260914
DRD4	4	652528991	20260914
DRD4	5	1281986430	20260914
EDNRA	1	74222034	20260914
EDNRA	2	1065827689	20260914
EDNRA	3	3277172607	20260914
EDNRA	4	2333197063	20260914
EDNRA	5	2755699152	20260914
EDNRB	1	965388127	20260914
EDNRB	2	2238250529	20260914
EDNRB	3	3029614334	20260914
EDNRB	4	1001501853	20260914
EDNRB	5	577364985	20260914
FSHR	1	3496791934	20260914
FSHR	2	3131207913	20260914
FSHR	3	3325734846	20260914
FSHR	4	2233405407	20260914
FSHR	5	1571394176	20260914
GHSR	1	3055813235	20260914
GHSR	2	458787302	20260914
GHSR	3	2278092257	20260914
GHSR	4	1800568199	20260914
GHSR	5	3635264493	20260914
GPR52	1	4116008608	20260914
GPR52	2	262231885	20260914
GPR52	3	4009047506	20260914
GPR52	4	1494940555	20260914
GPR52	5	2778488806	20260914
GPR6	1	4248776597	20260914
GPR6	2	658019506	20260914
GPR6	3	1420786610	20260914
GPR6	4	3101289460	20260914
GPR6	5	1148126508	20260914
GRPR	1	717050982	20260914
GRPR	2	1018239811	20260914
GRPR	3	1520106177	20260914
GRPR	4	812464833	20260914
GRPR	5	113749102	20260914
HRH1	1	3993374945	20260914
HRH1	2	631236770	20260914
HRH1	3	1195769294	20260914
HRH1	4	2292297413	20260914
HRH1	5	2819845438	20260914
HRH2	1	2931114337	20260914
HRH2	2	3723791955	20260914
HRH2	3	3147257655	20260914
HRH2	4	569290468	20260914
HRH2	5	2259841891	20260914
HRH3	1	4080994210	20260914
HRH3	2	1959025802	20260914
HRH3	3	2772613800	20260914
HRH3	4	3452494068	20260914
HRH3	5	2926014150	20260914
LPAR1	1	4169359571	20260914
LPAR1	2	48810103	20260914
LPAR1	3	1284143093	20260914
LPAR1	4	1854685700	20260914
LPAR1	5	1024976820	20260914
LSHR	1	3459740344	20260914
LSHR	2	2211910618	20260914
LSHR	3	2431446961	20260914
LSHR	4	1281519768	20260914
LSHR	5	1059881314	20260914
LT4R1	1	3568261176	20260914
LT4R1	2	2725769945	20260914
LT4R1	3	313010672	20260914
LT4R1	4	3260065341	20260914
LT4R1	5	380114871	20260914
MCHR1	1	1247729098	20260914
MCHR1	2	3825710753	20260914
MCHR1	3	2553856682	20260914
MCHR1	4	238957340	20260914
MCHR1	5	1762509859	20260914
MTR1A	1	337654384	20260914
MTR1A	2	3665690376	20260914
MTR1A	3	1963315875	20260914
MTR1A	4	3680590479	20260914
MTR1A	5	4200792135	20260914
MTR1B	1	470518573	20260914
MTR1B	2	983373311	20260914
MTR1B	3	2239077783	20260914
MTR1B	4	629714823	20260914
MTR1B	5	3617729209	20260914
NK1R	1	674590875	20260914
NK1R	2	2496728497	20260914
NK1R	3	3036978642	20260914
NK1R	4	2600536538	20260914
NK1R	5	4218686208	20260914
NPY1R	1	3683955856	20260914
NPY1R	2	4000046796	20260914
NPY1R	3	4249888904	20260914
NPY1R	4	4244920634	20260914
NPY1R	5	1695146769	20260914
NPY2R	1	863751302	20260914
NPY2R	2	3904834158	20260914
NPY2R	3	1425920345	20260914
NPY2R	4	3962719321	20260914
NPY2R	5	1027582383	20260914
NTR1	1	1536568866	20260914
NTR1	2	2049851884	20260914
NTR1	3	3690272942	20260914
NTR1	4	3693999912	20260914
NTR1	5	3295240104	20260914
OPRD	1	4248542433	20260914
OPRD	2	1661294908	20260914
OPRD	3	3626726368	20260914
OPRD	4	607562866	20260914
OPRD	5	2985012297	20260914
OPRK	1	102599377	20260914
OPRK	2	2121396257	20260914
OPRK	3	1021765470	20260914
OPRK	4	3916811623	20260914
OPRK	5	1488423279	20260914
OPRM	1	323421856	20260914
OPRM	2	3906694554	20260914
OPRM	3	281898151	20260914
OPRM	4	801043560	20260914
OPRM	5	3248776414	20260914
OPRX	1	2937442512	20260914
OPRX	2	2830921312	20260914
OPRX	3	2325545573	20260914
OPRX	4	3218856537	20260914
OPRX	5	1311420799	20260914
OPSD	1	3819082984	20260914
OPSD	2	4120388384	20260914
OPSD	3	2377258243	20260914
OPSD	4	3179674707	20260914
OPSD	5	1547888109	20260914
OX2R	1	3605700201	20260914
OX2R	2	3962984549	20260914
OX2R	3	2231189691	20260914
OX2R	4	3408612711	20260914
OX2R	5	3522683201	20260914
OXYR	1	42488897	20260914
OXYR	2	3688596478	20260914
OXYR	3	933832747	20260914
OXYR	4	2345902611	20260914
OXYR	5	80967011	20260914
PD2R2	1	1461543251	20260914
PD2R2	2	1945382845	20260914
PD2R2	3	2872922514	20260914
PD2R2	4	2088536279	20260914
PD2R2	5	3101651207	20260914
PE2R4	1	3322962289	20260914
PE2R4	2	2718524646	20260914
PE2R4	3	150216584	20260914
PE2R4	4	3311484405	20260914
PE2R4	5	2579883318	20260914
S1PR1	1	1739818523	20260914
S1PR1	2	622990324	20260914
S1PR1	3	3875599122	20260914
S1PR1	4	128047016	20260914
S1PR1	5	1438739906	20260914
S1PR5	1	2088025999	20260914
S1PR5	2	3020517541	20260914
S1PR5	3	1431726780	20260914
S1PR5	4	159859019	20260914
S1PR5	5	3893833833	20260914
SSR2	1	2232994647	20260914
SSR2	2	120287359	20260914
SSR2	3	1512600725	20260914
SSR2	4	1947455958	20260914
SSR2	5	2049037959	20260914
TA2R	1	439784587	20260914
TA2R	2	2305778109	20260914
TA2R	3	2782312466	20260914
TA2R	4	104292916	20260914
TA2R	5	2376250738	20260914
TSHR	1	3793712062	20260914
TSHR	2	1893648119	20260914
TSHR	3	1864467136	20260914
TSHR	4	3843453119	20260914
TSHR	5	798964016	20260914
