slug,acc,queried_acc,ortholog_note,gtopdb_target_id,gtopdb_name,transducers,effectors,comment_head,status
GRPR,P30550,P30550,,39,BB 2 receptor,G q /G 11 family || G protein (identity unknown),"Phospholipase C stimulation, Phospholipase A 2 stimulation, Phospholipase D stimulation || Adenylyl cyclase stimulation, Phospholipase A 2 stimulation, Phospholipase D stimulation","Receptor activation also results in stimulation of Na/H antiport, activation of numerous tyrosine kinases and transactivation of the EGFR receptor in various tumors.",ok
HRH1,P35367,P35367,,262,H 1 receptor,G q /G 11 family || G q /G 11 family,Adenylyl cyclase stimulation || Phospholipase C stimulation,Stimulation of cAMP accumulation is via G &beta;&gamma; subunits of G q .,ok
HRH2,P25021,P25021,,263,H 2 receptor,G q /G 11 family || G s family,Phospholipase C stimulation || Adenylyl cyclase stimulation,,ok
HRH3,Q9Y5N1,Q9Y5N1,,264,H 3 receptor,G i /G o family,Adenylyl cyclase inhibition,,ok
LPAR1,Q92633,Q92633,,272,LPA 1 receptor,"G i /G o family, G q /G 11 family, G 12 /G 13 family","Adenylyl cyclase inhibition, Phospholipase C stimulation, Phospholipase A 2 stimulation, Other - See Comments","In general LPA 1 is known to induce many responses including cell proliferation and survival, cell migration, and cytoskeletal changes; altered cell-cell contact through serum-response element activation, Ca 2+ mobilization, and adenylyl cyclase inhibition; and activation of mitogen-activated protei",ok
LSHR,P22888,P22888,,254,LH receptor,G s family || G q /G 11 family,Adenylyl cyclase stimulation || Phospholipase C stimulation,,ok
LT4R1,Q15722,Q15722,,267,BLT1 receptor,"G i /G o family, G q /G 11 family","Adenylyl cyclase inhibition, Phospholipase C stimulation, Other - See Comments","Mitogen-activated protein kinase activation. In CHO cells, LTB4-elicited activation of phospholipase C is mediated via BLT1/G&alpha;16 pathway.",ok
MCHR1,Q99705,Q99705,,280,MCH 1 receptor,"G s family, G i /G o family, G q /G 11 family","Adenylyl cyclase inhibition, Phospholipase C stimulation",,ok
MTR1A,P48039,P48039,,287,MT 1 receptor,G i /G o family || G q /G 11 family,"Adenylyl cyclase inhibition || Phospholipase C stimulation, Potassium channel, Calcium channel",,ok
MTR1B,P49286,P49286,,288,MT 2 receptor,G i /G o family || ,"Adenylyl cyclase inhibition, Phospholipase C stimulation || Other - See Comments",,ok
NK1R,P25103,P25103,,360,NK 1 receptor,"G s family, G q /G 11 family","Adenylyl cyclase stimulation, Phospholipase C stimulation",,ok
NPY1R,P25929,P25929,,305,Y 1 receptor,G i /G o family,Adenylyl cyclase inhibition,,ok
NPY2R,P49146,P49146,,306,Y 2 receptor,G i /G o family || G q /G 11 family,"Adenylyl cyclase inhibition, Calcium channel || Phospholipase C stimulation",,ok
NTR1,P30989,P30989,,309,NTS 1 receptor,"G q /G 11 family || G s family, G i /G o family","Phospholipase C stimulation || Guanylate cyclase stimulation, Other - See Comments",,ok
OPRD,P41143,P41143,,317,&delta; receptor,G i /G o family,"Adenylyl cyclase inhibition, Phospholipase C stimulation, Potassium channel, Calcium channel, Other - See Comments","&delta; receptors have been shown to modulate many kinase cascades including ERKs, Akts, JNKs, STAT3, P38 involving Src, Ras, Rac, Raf-1, Cdc42, RTKs.",ok
OPRK,P41145,P41145,,318,&kappa; receptor,"G i /G o family || G i /G o family, G 12 /G 13 family","Adenylyl cyclase inhibition, Potassium channel, Calcium channel || Adenylyl cyclase inhibition, Phospholipase C stimulation, Other - See Comments",,ok
OPRM,P42866,P42866,,319,&mu; receptor,G i /G o family || G q /G 11 family,"Adenylyl cyclase stimulation, Adenylyl cyclase inhibition, Phospholipase C stimulation, Potassium channel, Calcium channel, Phospholipase A 2 stimulation, Phospholipase D stimulation, Other - See Comments || Phospholipase C stimulation",The following systems have also been reported to be activated following G i /G o activation via the &mu; receptor: Epidermal growth factor receptor transactivation and subsequent mitogen activated protein kinase ERK Jun N-terminal kinase (JNK) expression and activity Signal transducer and activator ,ok
OPRX,P41146,P41146,,320,NOP receptor,G i /G o family || G i /G o family,"Adenylyl cyclase inhibition, Potassium channel, Calcium channel, Other - See Comments || Adenylyl cyclase inhibition",NOP receptors have been shown to activate MAP kinase and phospholipase C/[Ca 2+ ] .,ok
OPSD,P02699,P08100,bovine RHO -> human RHO; IUPHAR has no bovine record,2963,Rhodopsin,,,,NO-TRANSDUCTION-RECORD
OX2R,O43614,O43614,,322,OX 2 receptor,G q /G 11 family,"Adenylyl cyclase stimulation, Adenylyl cyclase inhibition, Phospholipase C stimulation, Phospholipase A 2 stimulation, Phospholipase D stimulation","Association with the G q family of transducers leads to phospholipase stimulation ( e.g. phospholipase families A 2 , C and D) and Ca 2+ elevation, and with the G i family to inhibition and with the G s family to stimulation, respectively, of adenylyl cyclase. Ca 2+ /non-selective cation influx also",ok
OXYR,P30559,P30559,,369,OT receptor,"G i /G o family, G q /G 11 family || G i /G o family",Phospholipase C stimulation || Adenylyl cyclase inhibition,,ok
PD2R2,Q9Y5Y4,Q9Y5Y4,,339,DP 2 receptor,G i /G o family,Adenylyl cyclase inhibition,,ok
PE2R4,P35408,P35408,,343,EP 4 receptor,G s family || G i /G o family,Adenylyl cyclase stimulation || Other - See Comments,,ok
S1PR1,P21453,P21453,,275,S1P 1 receptor,G i /G o family,"Adenylyl cyclase inhibition, Phospholipase C stimulation, Calcium channel, Phospholipase D stimulation, Other - See Comments","Involved in ERK phosphorylation and stimulation of the PI3K/PKB and MEK/ERK pathways , and activation of Rac .",ok
S1PR5,Q9H228,Q9H228,,279,S1P 5 receptor,"G i /G o family, G 12 /G 13 family",Adenylyl cyclase inhibition,Activation of MAPK .,ok
SSR2,P30874,P30874,,356,SST 2 receptor,G i /G o family,"Adenylyl cyclase inhibition, Potassium channel, Calcium channel",G protein independent : Inhibition of phosphoinositide 3-kinase activity through direct molecular interactions (and competition) between sst2 first intracellular loop and the regulatory PI3K p85 subunit or filamin-A . G-protein-dependent : activation of ERK and PI3K activity in sst2-transfected CHO ,ok
TA2R,P21731,P21731,,346,TP receptor,G q /G 11 family,Phospholipase C stimulation,,ok
TSHR,P16473,P16473,,255,TSH receptor,G s family || G q /G 11 family,Adenylyl cyclase stimulation || Phospholipase C stimulation,"In the human species, stimulation of the G s regulatory cascade positively controls the function (secretion of thyroid hormones) and the growth of thyrocytes. Continuous basal stimulation of this cascade is required to maintain the differentiation state of the thyroid gland.",ok
