slug,gene,uniprot,receptor_organism,verdict,family_primary,family_compatible_with_all,recommended_family,recommended_basis,family_secondary_annotated,subtype_reported,authority_assaylabs,authority_gproteindb_merged,authority_gtopdb_via_gproteindb,authority_iuphar_direct_primary,authority_iuphar_direct_all,authority_iuphar_text,authority_structure,structure_evidence,structure_construct_notes,active_ref_has_galpha,n_authorities,blockb_prior,blockb_prior_family,blockb_prior_check,blockb_prior_vs_structure,reason
ADA2A,ADRA2A,P08913,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 6 authorities,G12/13;Gq/11;Gs,Gi1(2);Gz(1);GoA(1),Bouvier=Gi/o;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gs,G i /G o family || G s family,Gi/o,9CBL:Gi1/Gi2; 7EJ8:Go,,yes,6,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but G12/13;Gq/11;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
ADRB1,ADRB1,P08588,Homo sapiens (Human),cognate_ambiguous,Gs,Gs,Gs,the only family compatible with all 5 authorities,G12/13;Gi/o;Gq/11,GsL(2),Bouvier=Gs;Martemyanov=Gs,Gs,Gs,Gs,Gs;Gi/o,G s family || G i /G o family,Gs,8DCS:Gs,,yes,5,Gs,Gs,prior consistent,prior matches the deposited partner,"primary agreed (Gs) but G12/13;Gi/o;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
ADRB2,ADRB2,P07550,Homo sapiens (Human),cognate_ambiguous,Gs,Gs,Gs,the only family compatible with all 7 authorities,Gi/o;Gq/11,GsL(4);G15(1),Bouvier=Gs;Lambert=Gs;Martemyanov=Gs;Roth=Gs,Gs,Gs,Gs,Gs;Gi/o,G s family || G i /G o family,Gs,8GG0:Gs,,yes,7,Gs,Gs,prior consistent,prior matches the deposited partner,"primary agreed (Gs) but Gi/o;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
AGTR1,AGTR1,P30556,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11,Gq/11,Gq/11,the only family compatible with all 5 authorities,G12/13,G11(1);Gq(1),Bouvier=Gq/11;Lambert=Gq/11,Gq/11,Gi/o;Gq/11,Gi/o;Gq/11,Gi/o;Gq/11,"G i /G o family, G q /G 11 family",Gq/11,7F6G:G11/Gq,,yes,5,Gq,Gq/11,prior consistent,prior matches the deposited partner,authorities are compatible on Gq/11 but at least one reports a wider set (Gi/o;Gq/11)
APJ,APLNR,P35414,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,G12/13;Gq/11,Gi1(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8XZH:Gi1/Gi2,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but G12/13;Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
B1B1U5,HaRh1,B1B1U5,Hasarius adansoni,cognate_ambiguous,Gi/o;Gq/11,Gi/o;Gq/11,Gq/11,NONE -- plurality of 1 authorities only; needs a PI decision,,,,,,,,,Gi/o;Gq/11,9EPP:G11/Gq; 9EPR:Gi1/Gi2,"9EPP COUPLING CHIMERA (xref-vs-C-terminus): accession is Gi1, alpha5 tip is G11/Gq",yes,1,Gi,Gi/o,prior consistent,prior matches the deposited partner,authorities are compatible on Gi/o;Gq/11 but at least one reports a wider set (Gi/o;Gq/11)
C5AR1,C5AR1,P21730,Homo sapiens (Human),cognate_conflicted,Gi/o;Gq/11,,Gi/o,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",,Gi1(2);G15(1),Bouvier=Gq/11;Lambert=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gq/11,"G i /G o family, G protein (identity unknown) || G q /G 11 family",Gi/o,7Y67:Gi1/Gi2; 7Y66:Gi1/Gi2,,yes,5,,,,,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gi/o vs assay:Bouvier=Gq/11; IUPHAR(direct)=Gi/o vs assay:Bouvier=Gq/11; active reference structure=Gi/o vs assay:Bouvier=Gq/11; assay:Bouvier=Gq/11 vs assay:Lambert=Gi/o
CCKAR,CCKAR,P32238,Homo sapiens (Human),cognate_conflicted,G12/13;Gq/11;Gs,,Gs,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",Gi/o,G12(1);Gq(1),Bouvier=G12/13;Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11;Gs,G q /G 11 family || G s family,Gs,7MBX:Gs,,yes,5,Gq,Gq/11,prior consistent,"PRIOR CONTRADICTS THE DEPOSITED PARTNER (Block B Gq/11, reference supplies Gs)",authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs active reference structure=Gs; GtoPdb(via GproteinDb)=Gq/11 vs assay:Bouvier=G12/13; IUPHAR(direct)=Gq/11 vs active reference structure=Gs; IUPHAR(direct)=Gq/11 vs assay:Bouvier=G12/13; active reference structure=Gs vs assay:Bouvier=G12/13; active reference structure=Gs vs assay:Martemyanov=Gq/11; assay:Bouvier=G12/13 vs assay:Martemyanov=Gq/11
CCR2,CCR2,P41597,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 3 authorities,,,,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,7XA3:Gi1/Gi2,,yes,3,,,,,3 authorities agree on Gi/o and none annotates a further transducer
CCR5,CCR5,P51681,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,Gq/11,Gz(1),Bouvier=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family || G i /G o family,Gi/o,7O7F:Gi1/Gi2; 7F1S:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
CCR6,CCR6,P51684,Homo sapiens (Human),cognate_conflicted,G12/13;Gi/o,,Gi/o,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",Gq/11,G12(1),Bouvier=G12/13,G12/13,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,6WWZ:Go,6WWZ mini-G (250 aa; full subunit is 350-395); fused chain,yes,4,,,,,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gi/o vs assay:Bouvier=G12/13; IUPHAR(direct)=Gi/o vs assay:Bouvier=G12/13; active reference structure=Gi/o vs assay:Bouvier=G12/13
CCR8,CCR8,P51685,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 3 authorities,,,,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8XML:Gi1/Gi2; 8KFX:Gi1/Gi2,,yes,3,,,,,3 authorities agree on Gi/o and none annotates a further transducer
CNR1,CNR1,P21554,Homo sapiens (Human),cognate_conflicted,Gi/o;Gq/11,,Gi/o,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",G12/13;Gs,Gi1(3);GoA(1),Bouvier=Gq/11;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gs,G i /G o family || G s family,Gi/o,8GHV:Gi1/Gi2,,yes,6,Gi,Gi/o,prior consistent,prior matches the deposited partner,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gi/o vs assay:Bouvier=Gq/11; IUPHAR(direct)=Gi/o vs assay:Bouvier=Gq/11; active reference structure=Gi/o vs assay:Bouvier=Gq/11; assay:Bouvier=Gq/11 vs assay:Lambert=Gi/o; assay:Bouvier=Gq/11 vs assay:Martemyanov=Gi/o
CNR2,CNR2,P34972,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,Gq/11;Gs,Gi1(1),Bouvier=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o;Gs,G i /G o family || G s family,Gi/o,8GUR:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
CXCR2,CXCR2,P25025,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,Gq/11,GoB(1),Bouvier=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family || ,Gi/o,6LFO:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
CXCR3,CXCR3,P49682,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 3 authorities,,,,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8HNM:Gi1/Gi2,,yes,3,,,,,3 authorities agree on Gi/o and none annotates a further transducer
CXCR4,CXCR4,P61073,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 5 authorities,Gq/11,Gi2(1);GoA(1),Bouvier=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8U4N:Gi1/Gi2,,yes,5,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
DRD2,DRD2,P14416,Homo sapiens (Human),cognate_ambiguous,Gi/o,Gi/o,Gi/o,the only family compatible with all 6 authorities,Gq/11;Gs,Gi1(2);GoB(1);GoA(1),Bouvier=Gi/o;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,"G i /G o family, G protein independent mechanism || ",Gi/o,7JVR:Gi1/Gi2; 8TZQ:Go,,yes,6,Gi,Gi/o,prior consistent,prior matches the deposited partner,"primary agreed (Gi/o) but Gq/11;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
DRD3,DRD3,P35462,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,,GoA(1),Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,7CMV:Gi1/Gi2; 8IRT:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,4 authorities agree on Gi/o and none annotates a further transducer
DRD4,DRD4,P21917,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,,GoA(1),Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8IRU:Ggust/Gi1/Gi2/Gt1/Gt2,"8IRU COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from Ggust/Gi1/Gi2/Gt1/Gt2",yes,4,,,,,4 authorities agree on Gi/o and none annotates a further transducer
EDNRA,EDNRA,P25101,Homo sapiens (Human),cognate_conflicted,G12/13;Gi/o;Gq/11,,Gq/11,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",Gs,G12(1);Gi1(1);GoA(1),Bouvier=G12/13;Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gq/11,Gq/11,Gq/11,G q /G 11 family,Gq/11,8HCQ:G11/G14/Gq,"8HCQ mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,6,Gq,Gq/11,prior consistent,prior matches the deposited partner,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs assay:Bouvier=G12/13; GtoPdb(via GproteinDb)=Gq/11 vs assay:Lambert=Gi/o; GtoPdb(via GproteinDb)=Gq/11 vs assay:Martemyanov=Gi/o; IUPHAR(direct)=Gq/11 vs assay:Bouvier=G12/13; IUPHAR(direct)=Gq/11 vs assay:Lambert=Gi/o; IUPHAR(direct)=Gq/11 vs assay:Martemyanov=Gi/o; active reference structure=Gq/11 vs assay:Bouvier=G12/13; active reference structure=Gq/11 vs assay:Lambert=Gi/o; active reference structure=Gq/11 vs assay:Martemyanov=Gi/o; assay:Bouvier=G12/13 vs assay:Lambert=Gi/o; assay:Bouvier=G12/13 vs assay:Martemyanov=Gi/o
EDNRB,EDNRB,P24530,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11;Gs,Gi/o,Gi/o,the only family compatible with all 5 authorities,G12/13,Gi1(1);GoA(1),Lambert=Gi/o;Martemyanov=Gi/o,Gi/o,Gi/o;Gq/11;Gs,Gs;Gi/o;Gq/11,Gs;Gi/o;Gq/11,"G s family, G i /G o family, G q /G 11 family",Gi/o,8IY5:Gi1/Gi2,,yes,5,Gq,Gq/11,prior consistent,"PRIOR CONTRADICTS THE DEPOSITED PARTNER (Block B Gq/11, reference supplies Gi/o)",authorities are compatible on Gi/o but at least one reports a wider set (Gi/o;Gq/11;Gs)
FSHR,FSHR,P23945,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11;Gs,Gs,Gs,the only family compatible with all 3 authorities,,,,Gi/o;Gq/11;Gs,Gi/o;Gq/11;Gs,Gs;Gi/o;Gq/11,Gs;Gi/o;Gq/11,"G s family, G i /G o family, G q /G 11 family",Gs,8I2G:Gs,8I2G mini-G (259 aa; full subunit is 350-395),yes,3,Gs,Gs,prior consistent,prior matches the deposited partner,authorities are compatible on Gs but at least one reports a wider set (Gi/o;Gq/11;Gs)
GHSR,GHSR,Q92847,Homo sapiens (Human),cognate_conflicted,G12/13;Gi/o;Gq/11,,Gi/o,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",,G12(1),Bouvier=G12/13,G12/13,Gq/11,Gq/11,Gq/11;Gi/o;G12/13,"G q /G 11 family || G i /G o family, G 12 /G 13 family, G protein independent mechanism",Gi/o,7NA7:Gi1/Gi2; 7NA8:Gi1/Gi2,,yes,4,Gq,Gq/11,prior consistent,"PRIOR CONTRADICTS THE DEPOSITED PARTNER (Block B Gq/11, reference supplies Gi/o)",authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs active reference structure=Gi/o; GtoPdb(via GproteinDb)=Gq/11 vs assay:Bouvier=G12/13; IUPHAR(direct)=Gq/11 vs active reference structure=Gi/o; IUPHAR(direct)=Gq/11 vs assay:Bouvier=G12/13; active reference structure=Gi/o vs assay:Bouvier=G12/13
GPR52,GPR52,Q9Y2T5,Homo sapiens (Human),cognate_conflicted,Gq/11;Gs,,Gs,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",Gi/o,G15(1);GsL(1),Lambert=Gq/11;Martemyanov=Gs,Gs,,,,,Gs,8HMP:Gs,8HMP mini-G (249 aa; full subunit is 350-395),yes,3,,,,,authorities that cannot both be right: active reference structure=Gs vs assay:Lambert=Gq/11; assay:Lambert=Gq/11 vs assay:Martemyanov=Gs
GPR6,GPR6,P46095,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gs,Gs,Gs,the only family compatible with all 3 authorities,,,,Gi/o;Gs,Gi/o;Gs,Gs;Gi/o,Gs;Gi/o,"G s family, G i /G o family",Gs,8TYW:Gs,,yes,3,,,,,authorities are compatible on Gs but at least one reports a wider set (Gi/o;Gs)
GRPR,GRPR,P30550,Homo sapiens (Human),cognate_ambiguous,Gq/11,Gq/11,Gq/11,the only family compatible with all 4 authorities,G12/13;Gi/o,Gq(1),Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11,G q /G 11 family || G protein (identity unknown),Gq/11,7W40:G11/Gq; 8H0Q:G11/G14/Gq,"8H0Q COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,4,Gq,Gq/11,prior consistent,prior matches the deposited partner,"primary agreed (Gq/11) but G12/13;Gi/o is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
HRH1,HRH1,P35367,Homo sapiens (Human),cognate_ambiguous,Gq/11,Gq/11,Gq/11,the only family compatible with all 6 authorities,G12/13;Gi/o;Gs,Gq(3);G15(1),Bouvier=Gq/11;Lambert=Gq/11;Martemyanov=Gq/11,Gq/11,Gq/11,Gq/11,Gq/11,G q /G 11 family || G q /G 11 family,Gq/11,8YN2:G11/G14/Gq,"8YN2 mini-G (246 aa; full subunit is 350-395); COUPLING CHIMERA (two-window): scaffold from one family, alpha5 tip from G11/G14/Gq",yes,6,Gq,Gq/11,prior consistent,prior matches the deposited partner,"primary agreed (Gq/11) but G12/13;Gi/o;Gs is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
HRH2,HRH2,P25021,Homo sapiens (Human),cognate_conflicted,Gq/11;Gs,,Gs,"taken from the deposited active reference, following chiesa2025templatebias p.6302 -- the one precedent in the corpus for picking a single Ga",G12/13;Gi/o,GsL(4),Bouvier=Gs;Lambert=Gs;Martemyanov=Gs,Gs,Gq/11,Gq/11,Gq/11;Gs,G q /G 11 family || G s family,Gs,8YN3:Gs,8YN3 mini-G (246 aa; full subunit is 350-395); fused chain,yes,6,,,,,authorities that cannot both be right: GtoPdb(via GproteinDb)=Gq/11 vs active reference structure=Gs; GtoPdb(via GproteinDb)=Gq/11 vs assay:Bouvier=Gs; GtoPdb(via GproteinDb)=Gq/11 vs assay:Lambert=Gs; GtoPdb(via GproteinDb)=Gq/11 vs assay:Martemyanov=Gs; IUPHAR(direct)=Gq/11 vs active reference structure=Gs; IUPHAR(direct)=Gq/11 vs assay:Bouvier=Gs; IUPHAR(direct)=Gq/11 vs assay:Lambert=Gs; IUPHAR(direct)=Gq/11 vs assay:Martemyanov=Gs
HRH3,HRH3,Q9Y5N1,Homo sapiens (Human),cognate_confident,Gi/o,Gi/o,Gi/o,the only family compatible with all 4 authorities,,GoA(1),Martemyanov=Gi/o,Gi/o,Gi/o,Gi/o,Gi/o,G i /G o family,Gi/o,8YUU:Gi1/Gi2; 8YN5:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,4 authorities agree on Gi/o and none annotates a further transducer
LPAR1,LPAR1,Q92633,Homo sapiens (Human),cognate_ambiguous,G12/13;Gi/o;Gq/11,Gi/o,Gi/o,the only family compatible with all 4 authorities,,Gi1(1),Bouvier=Gi/o,Gi/o,G12/13;Gi/o;Gq/11,Gi/o;Gq/11;G12/13,Gi/o;Gq/11;G12/13,"G i /G o family, G q /G 11 family, G 12 /G 13 family",Gi/o,7TD0:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,authorities are compatible on Gi/o but at least one reports a wider set (G12/13;Gi/o;Gq/11)
LSHR,LHCGR,P22888,Homo sapiens (Human),cognate_ambiguous,Gs,Gs,Gs,the only family compatible with all 3 authorities,Gq/11,,,Gs,Gs,Gs,Gs;Gq/11,G s family || G q /G 11 family,Gs,7FIH:Gs; 7FII:Gs,,yes,3,Gs,Gs,prior consistent,prior matches the deposited partner,"primary agreed (Gs) but Gq/11 is annotated as a further transducer; 'the cognate Ga' is a choice, not a fact"
LT4R1,LTB4R,Q15722,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11,Gi/o,Gi/o,the only family compatible with all 4 authorities,G12/13,GoB(1),Bouvier=Gi/o,Gi/o,Gi/o;Gq/11,Gi/o;Gq/11,Gi/o;Gq/11,"G i /G o family, G q /G 11 family",Gi/o,7VKT:Gi1/Gi2,,yes,4,Gi,Gi/o,prior consistent,prior matches the deposited partner,authorities are compatible on Gi/o but at least one reports a wider set (Gi/o;Gq/11)
MCHR1,MCHR1,Q99705,Homo sapiens (Human),cognate_ambiguous,Gi/o;Gq/11;Gs,Gi/o,Gi/o,the only family compatible with all 3 authorities,,,,Gi/o;Gq/11;Gs,Gi/o;Gq/11;Gs,Gs;Gi/o;Gq/11,Gs;Gi/o;Gq/11,"G s family, G i /G o family, G q /G 11 family",Gi/o,8WWK:Gi1/Gi2,,yes,3,Gi,Gi/o,prior consistent,prior matches the deposited partner,authorities are compatible on Gi/o but at least one reports a wider set (Gi/o;Gq/11;Gs)
