experiment_slug_or_cluster,receptor,receptor_class,backbone,partner_type,n,n_pass,pass_rate,n_active,n_inactive,n_borderline,frac_active,median_d_tm6,median_d_npxxy,median_plddt_at_anchors
outputs/boltz_bidirectional_arrestin,HRH1,A,boltz,arrestin,5,5,100.0%,0,4,1,0.00,10.88,17.45,77.32
outputs/boltz_bidirectional_arrestin,HRH3,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,9.01,18.33,93.00
outputs/boltz_bidirectional_arrestin,NK1R,A,boltz,arrestin,5,5,100.0%,0,0,0,0.00,8.84,17.66,91.88
outputs/boltz_bidirectional_arrestin,OPRM,A,boltz,arrestin,5,5,100.0%,0,4,0,0.00,8.91,17.85,95.68
outputs/boltz_bidirectional_arrestin,OXYR,A,boltz,arrestin,5,5,100.0%,0,5,0,0.00,9.15,18.68,90.48
outputs/multimer_antag_ga_full,5HT1B,A,boltz,antagonist,5,5,100.0%,2,0,3,0.40,17.83,15.30,92.85
outputs/multimer_antag_ga_full,5HT2A,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,13.47,15.23,96.75
outputs/multimer_antag_ga_full,AA1R,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,15.35,17.75,82.94
outputs/multimer_antag_ga_full,AA2AR,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,9.74,17.91,86.25
outputs/multimer_antag_ga_full,ACM2,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,15.39,13.84,91.78
outputs/multimer_antag_ga_full,ACM4,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,15.94,13.80,92.61
outputs/multimer_antag_ga_full,ADA1A,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,15.79,16.28,90.49
outputs/multimer_antag_ga_full,ADRB2,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,18.16,14.04,86.24
outputs/multimer_antag_ga_full,CCKAR,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,13.99,14.11,91.00
outputs/multimer_antag_ga_full,CCR2,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.67,15.01,93.10
outputs/multimer_antag_ga_full,CCR5,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.86,16.49,92.67
outputs/multimer_antag_ga_full,CNR1,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.34,14.99,84.88
outputs/multimer_antag_ga_full,CXCR4,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,13.53,18.98,90.58
outputs/multimer_antag_ga_full,DRD2,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,13.66,16.64,91.89
outputs/multimer_antag_ga_full,DRD4,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,15.00,16.33,74.27
outputs/multimer_antag_ga_full,EDNRA,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,12.34,18.53,86.66
outputs/multimer_antag_ga_full,EDNRB,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,12.64,17.39,84.30
outputs/multimer_antag_ga_full,GHSR,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.04,13.86,97.66
outputs/multimer_antag_ga_full,HRH1,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,16.45,14.30,83.98
outputs/multimer_antag_ga_full,HRH2,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,17.71,16.61,85.61
outputs/multimer_antag_ga_full,HRH3,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.71,18.21,84.74
outputs/multimer_antag_ga_full,NK1R,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,13.25,16.08,94.25
outputs/multimer_antag_ga_full,NPY2R,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.72,14.15,96.67
outputs/multimer_antag_ga_full,OPRK,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,14.68,14.56,96.75
outputs/multimer_antag_ga_full,OPRM,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,14.51,14.37,97.43
outputs/multimer_antag_ga_full,OX2R,A,boltz,antagonist,5,5,100.0%,5,0,0,1.00,13.42,15.74,95.40
outputs/multimer_antag_ga_full,OXYR,A,boltz,antagonist,5,5,100.0%,4,0,1,0.80,17.87,15.67,86.80
outputs/multimer_antag_ga_full,PD2R2,A,boltz,antagonist,5,5,100.0%,3,0,2,0.60,15.49,19.14,89.29
outputs/multimer_antag_ga_full,S1PR5,A,boltz,antagonist,5,5,100.0%,2,0,3,0.40,14.25,17.22,90.70
outputs/multimer_antag_noga_full,5HT1B,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.06,17.16,90.55
outputs/multimer_antag_noga_full,5HT2A,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.30,18.39,97.21
outputs/multimer_antag_noga_full,AA1R,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,7.90,17.99,97.20
outputs/multimer_antag_noga_full,AA2AR,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,7.69,17.93,94.83
outputs/multimer_antag_noga_full,ACM2,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.75,17.10,88.86
outputs/multimer_antag_noga_full,ACM4,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,8.71,18.34,89.13
outputs/multimer_antag_noga_full,ADA1A,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,7.14,18.40,85.67
outputs/multimer_antag_noga_full,ADRB2,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,11.00,17.85,86.17
outputs/multimer_antag_noga_full,CCKAR,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.23,18.68,90.70
outputs/multimer_antag_noga_full,CCR5,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.26,19.78,84.34
outputs/multimer_antag_noga_full,CNR1,A,boltz,antagonist,5,5,100.0%,1,3,1,0.20,8.03,16.34,81.57
outputs/multimer_antag_noga_full,CXCR4,A,boltz,antagonist,5,5,100.0%,3,0,2,0.60,12.77,21.59,80.14
outputs/multimer_antag_noga_full,DRD2,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,7.59,18.82,91.51
outputs/multimer_antag_noga_full,DRD4,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,10.95,18.50,75.34
outputs/multimer_antag_noga_full,EDNRA,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,7.41,18.27,84.96
outputs/multimer_antag_noga_full,EDNRB,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.39,16.98,79.74
outputs/multimer_antag_noga_full,GHSR,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,8.39,18.19,98.52
outputs/multimer_antag_noga_full,HRH1,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,8.62,17.62,80.60
outputs/multimer_antag_noga_full,HRH2,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.23,17.72,80.26
outputs/multimer_antag_noga_full,HRH3,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,9.35,18.50,91.85
outputs/multimer_antag_noga_full,NK1R,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,8.69,17.61,92.50
outputs/multimer_antag_noga_full,NPY2R,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,8.94,17.77,95.97
outputs/multimer_antag_noga_full,OPRK,A,boltz,antagonist,5,5,100.0%,0,5,0,0.00,8.31,19.54,95.14
outputs/multimer_antag_noga_full,OPRM,A,boltz,antagonist,5,5,100.0%,0,0,0,0.00,14.23,14.20,96.35
outputs/multimer_decoy_alpha5,,,boltz,α5_ct_fragment,10,0,0.0%,0,0,0,0.00,,,
outputs/multimer_decoy_alpha5,5HT2A,A,boltz,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,13.08,15.34,97.87
outputs/multimer_decoy_alpha5,AA2AR,A,boltz,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,8.56,18.06,86.78
outputs/multimer_decoy_alpha5,ACM2,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,15.18,13.73,94.91
outputs/multimer_decoy_alpha5,ACM3,A,boltz,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,15.73,13.63,88.35
outputs/multimer_decoy_alpha5,ADRB2,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,17.81,13.97,86.04
outputs/multimer_decoy_alpha5,CCR8,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,14.03,13.96,94.18
outputs/multimer_decoy_alpha5,CXCR4,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,13.39,19.27,91.15
outputs/multimer_decoy_alpha5,EDNRB,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,13.29,16.28,84.13
outputs/multimer_decoy_alpha5,FSHR,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,17.12,14.44,93.12
outputs/multimer_decoy_alpha5,NK1R,A,boltz,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,13.03,16.03,90.95
outputs/multimer_decoy_alpha5,OPRM,A,boltz,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,14.53,14.44,98.34
outputs/multimer_decoy_alpha5,PD2R2,A,boltz,α5_ct_fragment,5,5,100.0%,0,1,4,0.00,13.82,19.76,93.40
outputs/multimer_decoy_nonga,,,boltz,decoy_random_helix,5,0,0.0%,0,0,0,0.00,,,
outputs/multimer_decoy_nonga,5HT2A,A,boltz,decoy_random_helix,5,5,100.0%,0,5,0,0.00,9.43,18.33,91.38
outputs/multimer_decoy_nonga,AA2AR,A,boltz,decoy_random_helix,5,5,100.0%,0,0,0,0.00,7.26,18.06,92.03
outputs/multimer_decoy_nonga,ACM2,A,boltz,decoy_random_helix,5,5,100.0%,4,0,1,0.80,13.91,14.25,85.68
outputs/multimer_decoy_nonga,ACM3,A,boltz,decoy_random_helix,5,5,100.0%,0,0,0,0.00,8.59,17.65,86.09
outputs/multimer_decoy_nonga,ADRB2,A,boltz,decoy_random_helix,5,5,100.0%,0,5,0,0.00,10.15,17.99,81.19
outputs/multimer_decoy_nonga,CCR8,A,boltz,decoy_random_helix,5,5,100.0%,5,0,0,1.00,14.38,17.45,82.99
outputs/multimer_decoy_nonga,CXCR3,A,boltz,decoy_random_helix,5,5,100.0%,1,0,0,0.20,10.27,19.28,74.87
outputs/multimer_decoy_nonga,CXCR4,A,boltz,decoy_random_helix,5,5,100.0%,0,4,1,0.00,9.07,21.29,78.57
outputs/multimer_decoy_nonga,EDNRB,A,boltz,decoy_random_helix,5,5,100.0%,0,5,0,0.00,9.57,16.64,78.50
outputs/multimer_decoy_nonga,FSHR,A,boltz,decoy_random_helix,5,5,100.0%,5,0,0,1.00,17.06,15.44,75.23
outputs/multimer_decoy_nonga,NK1R,A,boltz,decoy_random_helix,5,5,100.0%,2,0,0,0.40,10.98,17.62,81.00
outputs/multimer_decoy_nonga,OPRM,A,boltz,decoy_random_helix,5,5,100.0%,0,0,0,0.00,13.90,14.11,91.50
outputs/multimer_decoy_nonga,PD2R2,A,boltz,decoy_random_helix,5,5,100.0%,0,5,0,0.00,12.12,20.00,90.82
outputs/multimer_decoy_scrambled,,,boltz,shuffled_ga,10,0,0.0%,0,0,0,0.00,,,
outputs/multimer_decoy_scrambled,5HT2A,A,boltz,shuffled_ga,5,5,100.0%,0,5,0,0.00,9.66,18.30,84.51
outputs/multimer_decoy_scrambled,AA2AR,A,boltz,shuffled_ga,5,5,100.0%,0,0,0,0.00,7.36,18.01,83.97
outputs/multimer_decoy_scrambled,ACM2,A,boltz,shuffled_ga,5,5,100.0%,4,1,0,0.80,15.60,14.02,78.21
outputs/multimer_decoy_scrambled,ACM3,A,boltz,shuffled_ga,5,5,100.0%,0,0,0,0.00,9.41,17.86,81.77
outputs/multimer_decoy_scrambled,ADRB2,A,boltz,shuffled_ga,5,5,100.0%,3,2,0,0.60,15.14,16.94,72.19
outputs/multimer_decoy_scrambled,CCR8,A,boltz,shuffled_ga,5,5,100.0%,5,0,0,1.00,14.73,16.60,84.46
outputs/multimer_decoy_scrambled,CXCR3,A,boltz,shuffled_ga,5,5,100.0%,4,0,0,0.80,14.23,17.25,74.23
outputs/multimer_decoy_scrambled,CXCR4,A,boltz,shuffled_ga,5,5,100.0%,2,3,0,0.40,10.75,21.53,71.48
outputs/multimer_decoy_scrambled,EDNRB,A,boltz,shuffled_ga,5,5,100.0%,1,2,2,0.20,10.97,17.25,71.60
outputs/multimer_decoy_scrambled,FSHR,A,boltz,shuffled_ga,5,5,100.0%,5,0,0,1.00,16.44,14.29,73.19
outputs/multimer_decoy_scrambled,NK1R,A,boltz,shuffled_ga,5,5,100.0%,0,0,0,0.00,9.03,17.29,84.12
outputs/multimer_decoy_scrambled,OPRM,A,boltz,shuffled_ga,5,5,100.0%,0,0,0,0.00,15.13,13.92,83.28
outputs/multimer_decoy_scrambled,PD2R2,A,boltz,shuffled_ga,5,5,100.0%,0,5,0,0.00,11.70,20.05,85.71
outputs/multimer_w8c_wrongagonist,5HT2A,A,boltz,wrong_agonist,5,5,100.0%,0,0,0,0.00,13.29,15.28,95.28
outputs/multimer_w8c_wrongagonist,AA2AR,A,boltz,wrong_agonist,5,5,100.0%,0,0,0,0.00,9.47,15.58,87.31
outputs/multimer_w8c_wrongagonist,ACM2,A,boltz,wrong_agonist,5,5,100.0%,5,0,0,1.00,15.17,13.80,90.79
outputs/multimer_w8c_wrongagonist,DRD2,A,boltz,wrong_agonist,5,5,100.0%,4,0,1,0.80,13.64,16.83,90.97
outputs/multimer_w8d_neutral,AA2AR,A,boltz,neutral_ligand,5,5,100.0%,0,0,0,0.00,9.97,14.73,85.98
outputs/multimer_w8d_neutral,ACM2,A,boltz,neutral_ligand,5,5,100.0%,5,0,0,1.00,15.58,13.79,90.30
outputs/multimer_w8d_neutral,ADRB2,A,boltz,neutral_ligand,5,5,100.0%,5,0,0,1.00,18.10,13.89,85.12
outputs/multimer_w8d_neutral,DRD2,A,boltz,neutral_ligand,5,5,100.0%,5,0,0,1.00,14.10,16.87,91.18
outputs/of3_bidirectional_arrestin,,,of3,arrestin,5,0,0.0%,0,0,0,0.00,,,
outputs/of3_bidirectional_arrestin,5HT2A,A,of3,arrestin,5,5,100.0%,0,5,0,0.00,9.05,16.07,64.32
outputs/of3_bidirectional_arrestin,AA1R,A,of3,arrestin,5,5,100.0%,5,0,0,1.00,16.20,14.29,82.51
outputs/of3_bidirectional_arrestin,ACM2,A,of3,arrestin,5,5,100.0%,4,0,1,0.80,14.61,14.16,80.30
outputs/of3_bidirectional_arrestin,ACM4,A,of3,arrestin,5,5,100.0%,0,5,0,0.00,9.56,18.14,79.29
outputs/of3_bidirectional_arrestin,CCR5,A,of3,arrestin,5,5,100.0%,5,0,0,1.00,15.15,14.57,83.22
outputs/of3_bidirectional_arrestin,CNR1,A,of3,arrestin,5,5,100.0%,5,0,0,1.00,14.73,13.40,72.85
outputs/of3_bidirectional_arrestin,CXCR4,A,of3,arrestin,5,5,100.0%,5,0,0,1.00,14.43,14.47,75.16
outputs/of3_bidirectional_arrestin,DRD2,A,of3,arrestin,5,5,100.0%,1,3,1,0.20,9.48,18.95,75.74
outputs/of3_bidirectional_arrestin,EDNRB,A,of3,arrestin,5,5,100.0%,0,5,0,0.00,7.76,18.66,75.65
outputs/of3_bidirectional_arrestin,HRH1,A,of3,arrestin,5,5,100.0%,0,5,0,0.00,8.36,17.89,80.16
outputs/of3_bidirectional_arrestin,HRH3,A,of3,arrestin,5,5,100.0%,0,5,0,0.00,9.08,17.66,81.29
outputs/of3_bidirectional_arrestin,NK1R,A,of3,arrestin,5,5,100.0%,0,0,0,0.00,8.84,17.70,87.32
outputs/of3_bidirectional_arrestin,OPRM,A,of3,arrestin,5,5,100.0%,0,1,0,0.00,13.71,13.98,77.86
outputs/of3_bidirectional_arrestin,OXYR,A,of3,arrestin,5,5,100.0%,0,5,0,0.00,8.57,18.76,75.77
outputs/of3_multimer_aa2ar_n50,AA2AR,A,of3,cognate_ga,50,50,100.0%,0,0,0,0.00,18.02,16.43,85.08
outputs/of3_multimer_alpha5,,,of3,α5_ct_fragment,5,0,0.0%,0,0,0,0.00,,,
outputs/of3_multimer_alpha5,5HT2A,A,of3,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,12.66,15.93,62.96
outputs/of3_multimer_alpha5,5HT2C,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,13.52,15.57,79.41
outputs/of3_multimer_alpha5,AA2AR,A,of3,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,18.22,16.16,75.67
outputs/of3_multimer_alpha5,ACM2,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,14.75,13.83,88.55
outputs/of3_multimer_alpha5,ADRB2,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,18.07,14.42,86.18
outputs/of3_multimer_alpha5,CCR8,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,14.09,13.86,83.12
outputs/of3_multimer_alpha5,DRD2,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,15.09,14.94,77.53
outputs/of3_multimer_alpha5,EDNRB,A,of3,α5_ct_fragment,5,5,100.0%,0,5,0,0.00,7.57,18.72,73.66
outputs/of3_multimer_alpha5,NK1R,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,13.36,16.83,83.81
outputs/of3_multimer_alpha5,OPRM,A,of3,α5_ct_fragment,5,5,100.0%,0,0,0,0.00,14.79,14.01,92.21
outputs/of3_multimer_alpha5,PD2R2,A,of3,α5_ct_fragment,5,5,100.0%,5,0,0,1.00,15.50,16.27,63.90
outputs/of3_multimer_antag_ga_full,5HT1B,A,of3,antagonist,5,5,100.0%,4,0,1,0.80,18.05,13.78,92.62
outputs/of3_multimer_antag_ga_full,5HT2A,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,12.89,15.45,87.93
outputs/of3_multimer_antag_ga_full,AA1R,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,16.10,14.17,88.27
outputs/of3_multimer_antag_ga_full,AA2AR,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,18.12,13.69,89.50
outputs/of3_multimer_antag_ga_full,ACM2,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,14.47,13.78,93.21
outputs/of3_multimer_antag_ga_full,ACM4,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.43,13.65,90.14
outputs/of3_multimer_antag_ga_full,ADA1A,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,16.80,14.17,84.77
outputs/of3_multimer_antag_ga_full,ADRB2,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,17.95,14.65,88.17
outputs/of3_multimer_antag_ga_full,CCKAR,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.98,14.24,90.71
outputs/of3_multimer_antag_ga_full,CCR2,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.18,14.13,94.67
outputs/of3_multimer_antag_ga_full,CCR5,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.30,14.13,89.89
outputs/of3_multimer_antag_ga_full,CNR1,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,14.41,12.83,86.93
outputs/of3_multimer_antag_ga_full,CXCR4,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.91,14.00,86.76
outputs/of3_multimer_antag_ga_full,DRD2,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.37,14.90,81.16
outputs/of3_multimer_antag_ga_full,DRD4,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,15.67,19.19,71.64
outputs/of3_multimer_antag_ga_full,EDNRA,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.86,19.72,66.88
outputs/of3_multimer_antag_ga_full,EDNRB,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.72,17.11,87.85
outputs/of3_multimer_antag_ga_full,GHSR,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.96,14.37,91.73
outputs/of3_multimer_antag_ga_full,HRH1,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,16.21,17.47,74.07
outputs/of3_multimer_antag_ga_full,HRH2,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,17.99,13.62,88.75
outputs/of3_multimer_antag_ga_full,NK1R,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.39,16.68,87.09
outputs/of3_multimer_antag_ga_full,NPY2R,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,14.94,14.22,90.00
outputs/of3_multimer_antag_ga_full,OPRK,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,14.70,14.66,92.83
outputs/of3_multimer_antag_ga_full,OPRM,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,14.91,14.09,93.63
outputs/of3_multimer_antag_ga_full,OX2R,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.44,14.65,87.23
outputs/of3_multimer_antag_ga_full,PD2R2,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.86,17.09,71.63
outputs/of3_multimer_antag_ga_full,S1PR5,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,15.60,15.45,81.32
outputs/of3_multimer_antag_noga_full,5HT1B,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,8.83,16.98,65.96
outputs/of3_multimer_antag_noga_full,5HT2A,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,8.85,18.17,67.89
outputs/of3_multimer_antag_noga_full,AA1R,A,of3,antagonist,5,5,100.0%,3,2,0,0.60,15.79,14.02,75.34
outputs/of3_multimer_antag_noga_full,AA2AR,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,7.43,17.92,75.35
outputs/of3_multimer_antag_noga_full,ACM2,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.86,17.57,65.29
outputs/of3_multimer_antag_noga_full,ACM4,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.12,17.95,71.32
outputs/of3_multimer_antag_noga_full,ADA1A,A,of3,antagonist,5,5,100.0%,0,0,0,0.00,6.87,18.04,74.20
outputs/of3_multimer_antag_noga_full,ADRB2,A,of3,antagonist,5,5,100.0%,2,1,2,0.40,14.32,15.42,70.82
outputs/of3_multimer_antag_noga_full,CCKAR,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,13.67,13.97,78.93
outputs/of3_multimer_antag_noga_full,CCR2,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,14.62,17.06,68.84
outputs/of3_multimer_antag_noga_full,CCR5,A,of3,antagonist,5,5,100.0%,5,0,0,1.00,14.57,17.31,67.87
outputs/of3_multimer_antag_noga_full,CNR1,A,of3,antagonist,5,5,100.0%,3,0,2,0.60,12.91,13.61,71.10
outputs/of3_multimer_antag_noga_full,CXCR4,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.60,19.73,69.09
outputs/of3_multimer_antag_noga_full,DRD2,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.21,19.00,75.52
outputs/of3_multimer_antag_noga_full,DRD4,A,of3,antagonist,5,5,100.0%,0,4,0,0.00,9.68,18.53,70.80
outputs/of3_multimer_antag_noga_full,EDNRA,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,7.71,19.02,72.10
outputs/of3_multimer_antag_noga_full,EDNRB,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,8.14,18.57,71.24
outputs/of3_multimer_antag_noga_full,GHSR,A,of3,antagonist,5,5,100.0%,1,4,0,0.20,9.49,16.89,68.25
outputs/of3_multimer_antag_noga_full,HRH1,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,8.66,18.10,77.23
outputs/of3_multimer_antag_noga_full,HRH2,A,of3,antagonist,5,5,100.0%,0,4,0,0.00,9.19,17.57,73.92
outputs/of3_multimer_antag_noga_full,HRH3,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.02,17.74,77.35
outputs/of3_multimer_antag_noga_full,NK1R,A,of3,antagonist,5,5,100.0%,1,0,0,0.20,9.26,17.56,72.02
outputs/of3_multimer_antag_noga_full,NPY2R,A,of3,antagonist,5,5,100.0%,0,5,0,0.00,9.15,17.90,71.22
outputs/of3_multimer_antag_noga_full,OPRK,A,of3,antagonist,5,5,100.0%,2,3,0,0.40,8.46,18.76,68.17
outputs/of3_multimer_antag_noga_full,OPRM,A,of3,antagonist,5,5,100.0%,0,2,0,0.00,13.29,14.81,67.86
