receptor,ligand_role,ligand_variant,is_peptide,smiles,inchi,peptide_sequence,iupac_name,bound_pdb,affinity_metric,affinity_value_nM,affinity_source,activity_class,pdb_deposition_date,tautomer_note,protonation_ph74_note,notes,ccd_code,ccd_smiles,smiles_source
AA2AR,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
AA2AR,decoy_lig,,FALSE,COc1cc(Cc2cnc(N)nc2N)cc(C)c1OC,"InChI=1S/C14H18N4O2/c1-8-4-9(6-11(19-2)12(8)20-3)5-10-7-17-14(16)18-13(10)15/h4,6-7H,5H2,1-3H3,(H4,15,16,17,18)",,trimethoprim,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved DHFR-inhibitor antibiotic; no adenosinergic activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=2 parseable): T(4-(2-{7-amino-2-(furan-2-yl)-[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-ylamino}ethyl)phenol [ZM241385])=0.120; T(5'-N-ethylcarboxamidoadenosine [NECA])=0.118; canonical_smiles_sha256=9deb89408d5da96cba7147a366900a993580006749a9bb2e1c286c361fe25d93",,,PubChem:CID5578
AA2AR,neutral_antagonist,,FALSE,c1cc(oc1)c2nc3nc(nc(n3n2)N)NCCc4ccc(cc4)O,"InChI=1S/C16H15N7O2/c17-14-20-15(18-8-7-10-3-5-11(24)6-4-10)21-16-19-13(22-23(14)16)12-2-1-9-25-12/h1-6,9,24H,7-8H2,(H3,17,18,19,20,21,22)",,"4-(2-{7-amino-2-(furan-2-yl)-[1,2,4]triazolo[1,5-a][1,3,5]triazin-5-ylamino}ethyl)phenol [ZM241385]",4EIY,Ki,0.8,Ongini 1999 Naunyn-Schmiedebergs Arch Pharmacol 359:7 PMID:9933145; Liu 2012 Science 337:232 PMID:22798613,neutral_antagonist,2012-05-30,N-H tautomer at 7-amino dominant,triazolotriazine ring neutral; phenol neutral; primary aromatic amine unprotonated at pH 7.4 (aromatic amine pKa~3-4),"SMILES replaced with CCD-authoritative (ZMA @ 4EIY) 2026-09-04 (Step 1.1); InChIKey PWTBZOIUWZOPFT-UHFFFAOYSA-N unchanged (matches prior PubChem CID 176407). Primary-ligand disambiguation: 4EIY also carries CLR/OLA/OLC/OLB/PEG lipids and NA; ZMA is the drug || PRIOR_NOTES: SMILES fixed 2026-09-03 pass-4 — original SMILES encoded wrong ring fusion (triazolo-pyrimidine with -nnn- instead of the correct 1,2,4-triazolo[1,5-a][1,3,5]triazine fusion); corrected form from PubChem CID:176407 (NOT 176408 as originally mis-cited); InChIKey PWTBZOIUWZOPFT-UHFFFAOYSA-N; RDKit round-trip PASS; inchikey_verified=YES. Gold-standard A2A neutral antagonist",ZMA,c1cc(oc1)c2nc3nc(nc(n3n2)N)NCCc4ccc(cc4)O,CCD:4EIY:ZMA
AA2AR,inverse_agonist,,FALSE,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,"InChI=1S/C25H29N9O3/c1-36-13-14-37-19-4-2-18(3-5-19)32-9-11-33(12-10-32)7-8-34-23-20(15-27-34)24-28-22(16-30-25(24)26)17-6-31-35(17)29-23/h2-6,15H,7-14H2,1H3,(H2,26,28,30)",,"2-(furan-2-yl)-7-{2-[4-(4-{2-methoxyethoxy}phenyl)piperazin-1-yl]ethyl}-7H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-amine [preladenant SCH-420814]",,Ki,0.9,Neustadt 2007 Bioorg Med Chem Lett 17:1376 PMID:17197184; Segala 2016 J Med Chem 59:6470 PMID:27253493,inverse_agonist,,pyrazolo-triazolo-pyrimidine core; furan; piperazine chair,piperazine distal N (pKa~7-8) partially protonated at pH 7.4; primary aromatic amine unprotonated; ether/furan neutral,"Step 1.1 (2026-09-04): NO clean preladenant co-crystal in RCSB. Prior bound_pdb 5UIG contains 8D1 (a different A2A triazole antagonist), NOT preladenant. CCD name-search only finds 8E2 = preladenant-PEG-conjugate (PSB-2113) at 7PX4 -- not pure preladenant. bound_pdb blanked; keep PubChem SMILES (CID 10117987, InChIKey DTYWJKSSUANMHD-UHFFFAOYSA-N). ligand_rmsd_to_ref will be NaN. smiles_source=PubChem:CID10117987 || PRIOR_NOTES: SMILES fixed 2026-09-03 post-B2 RDKit parse failure — canonical form from PubChem CID:10117987 (NOT 10154811 as originally mis-cited); InChIKey DTYWJKSSUANMHD-UHFFFAOYSA-N; RDKit round-trip PASS. Classification inverse per Segala 2016 assay; literature sometimes calls preladenant neutral antagonist — flagged",,,PubChem:CID10117987
AA2AR,full_agonist,,FALSE,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,"InChI=1S/C12H16N6O4/c1-2-14-11(21)8-6(19)7(20)12(22-8)18-4-17-5-9(13)15-3-16-10(5)18/h3-4,6-8,12,19-20H,2H2,1H3,(H,14,21)(H2,13,15,16)/t6-,7+,8-,12+/m0/s1",,"(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-N-ethyl-3,4-dihydroxyoxolane-2-carboxamide [5'-N-ethylcarboxamidoadenosine, NECA]",2YDV,Ki,20,Bruns 1986 Mol Pharmacol 29:331 PMID:3005839; Lebon 2011 Nature 474:521 PMID:21593763,full_agonist,2011-04-15,"adenine N9-glycoside; beta-D-ribose stereo (2S,3S,4R,5R per PubChem)",adenine N1 pKa~3.5 unprotonated; ribose OHs neutral; ethylcarboxamide neutral,SMILES replaced with CCD-authoritative (NEC @ 2YDV) 2026-09-04 (Step 1.1); InChIKey JADDQZYHOWSFJD-FLNNQWSLSA-N unchanged (matches prior PubChem CID 448222) || PRIOR_NOTES: SMILES fixed 2026-09-03 pass-4 — original SMILES had wrong ribose stereo (C4' inverted); corrected form from PubChem CID:448222 (NOT 448601 as originally mis-cited); InChIKey JADDQZYHOWSFJD-FLNNQWSLSA-N; RDKit round-trip PASS; inchikey_verified=YES. Canonical A2A full agonist co-crystal (thermostabilised construct),NEC,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)O,CCD:2YDV:NEC
ACM4,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
ACM4,decoy_lig,,FALSE,CN/C(=N/C#N)NCCSCc1ccc(CN(C)C)o1,"InChI=1S/C13H21N5OS/c1-15-13(17-10-14)16-6-7-20-9-12-5-4-11(19-12)8-18(2)3/h4-5H,6-9H2,1-3H3,(H2,15,16,17)",,ranitidine,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved H2-antihistamine; selective, no muscarinic activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=3 parseable): T((1R,2R,4S,5S,7S)-7-{[hydroxy-di(thiophen-2-yl)acetyl]oxy}-9,9-dimethyl-3-oxa-9-azoniatricyclo[3.3.1.02,4]nonane [tiotropium])=0.091; T((3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl (2R,3S)-3-hydroxy-2-phenylpropanoate [atropine])=0.093; T(4,5-dihydro-3-methyl-N-(2-{trimethylammonio}-but-2-ynyl)-1,2,4-oxadiazole [iperoxo])=0.109; canonical_smiles_sha256=ee5b61d8b476270cefd713fa0f6b48ade2e3c8368487dde789eed51c7935b8d7; formal_charge_missmatched=true",,,PubChem:CID3001055
ACM4,neutral_antagonist,,FALSE,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(c4cccs4)(c5cccs5)O)C,"InChI=1S/C19H22NO4S2/c1-20(2)12-9-11(10-13(20)17-16(12)24-17)23-18(21)19(22,14-5-3-7-25-14)15-6-4-8-26-15/h3-8,11-13,16-17,22H,9-10H2,1-2H3/q+1/t11?,12-,13+,16-,17+",,"(1S,2S,4R,5R)-9,9-dimethyl-7-{[hydroxy-di(thiophen-2-yl)acetyl]oxy}-3-oxa-9-azoniatricyclo[3.3.1.02,4]nonane [tiotropium cation]",5DSG,Ki,0.15,Casarosa 2009 J Pharmacol Exp Ther 330:660 PMID:19478138; Thal 2016 Nature 531:335 PMID:26958838,neutral_antagonist,2015-09-16,"ester s-cis; alpha-hydroxy stable; 6,7-epoxy of scopine core retained",quaternary ammonium permanent charge +1; tertiary alcohol OH neutral; ester CH ambiguous stereo,"SMILES replaced with CCD-authoritative (0HK @ 5DSG) 2026-09-04 (Step 1.1); permanent +1 quaternary N preserved. CCD stored InChIKey LERNTVKEWCAPOY-DZZGSBJMSA-N; RDKit-computed key from CCD SMILES yields LERNTVKEWCAPOY-FPISHFTHSA-N (matches prior PubChem CID 5487427). Connectivity match; stereo layer differs between CCD storage and RDKit computation (ester CH ambiguous stereo per PubChem's InChI /t11?); CCD SMILES kept as crystal-authoritative || PRIOR_NOTES: SMILES fixed 2026-09-03 post-B2-flag — original SMILES was MISSING the 6,7-epoxide of the scopine core (encoded simple tropane instead) and mis-cited PubChem CID; corrected from PubChem CID:5487427; InChIKey LERNTVKEWCAPOY-FPISHFTHSA-N; RDKit round-trip PASS; inchikey_verified=YES. M4-selective long-acting antagonist; quaternary amine permanent +1 charge — flag for backbones (Boltz/Chai/OF3/Protenix cation handling)",0HK,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(c4cccs4)(c5cccs5)O)C,CCD:5DSG:0HK
ACM4,inverse_agonist,,FALSE,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(CO)c1ccccc1)C2,"InChI=1S/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-6-3-2-4-5-12/h2-6,13-16,19H,7-11H2,1H3",,"[(1S,5R)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate [atropine]",,Ki,2,Bolden 1992 J Pharmacol Exp Ther 260:576 PMID:1738105,inverse_agonist,,ester s-cis; primary OH free; tropinyl exo-form,tropane tertiary amine protonated (+1) at pH 7.4; pKa~9.8,classified inverse at muscarinic receptors via CAM assays (Bolden 1992); no clean ACM4+atropine co-crystal — bound_pdb empty; ligand_rmsd_to_ref will be NaN. Handoff to A2 flagged. pubchem_cid=174174; inchikey_verified=YES: RKUNBYITZUJHSG-PJPHBNEVSA-N (full stereo match with PubChem authoritative),,,PubChem:CID174174
ACM4,full_agonist,,FALSE,C[N+](C)(C)CC#CCOC1=NOCC1,"InChI=1S/C10H17N2O2/c1-12(2,3)7-4-5-8-13-10-6-9-14-11-10/h6-9H2,1-3H3/q+1",,"4-{(4,5-dihydro-1,2-oxazol-3-yl)oxy}but-2-yn-1-yl-trimethylazanium [iperoxo]",7TRP,Ki,5,Schrage 2016 Nat Commun 7:11289 PMID:27045019; Wang 2022 Nature 604:770 PMID:35418683,full_agonist,2022-01-25,"4,5-dihydro-1,2-oxazol-3-yl ether tautomer",quaternary ammonium permanent charge +1; oxazoline neutral,"SMILES replaced with CCD-authoritative (IXO @ 7TRP) 2026-09-04 (Step 1.1); permanent +1 quaternary N preserved. Primary-ligand disambiguation: 7TRP also carries IUE (heavier fw 0.312, a thieno[2,3-b]pyridine positive allosteric modulator); IXO is the orthosteric agonist. Orthosteric-preferred rule applied. InChIKey WXXOCGISBCTWPW-UHFFFAOYSA-N unchanged (matches prior PubChem CID 10104167) || PRIOR_NOTES: SMILES fixed 2026-09-03 pass-4 — original SMILES encoded WRONG core scaffold (aromatic 1,2,4-oxadiazole with direct C-C to butynyl) instead of the correct 4,5-dihydro-1,2-oxazol-3-yl ether linked via O-CH2 to the butynyl-trimethylammonium; corrected form from PubChem CID:10104167 (NOT 44144464 as originally mis-cited); InChIKey WXXOCGISBCTWPW-UHFFFAOYSA-N; RDKit round-trip PASS; inchikey_verified=YES. High-efficacy muscarinic super-agonist; permanent +1 cation — flag for A3 backbone cation-handling probe",IXO,C[N+](C)(C)CC#CCOC1=NOCC1,CCD:7TRP:IXO
OX2R,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
OX2R,decoy_lig,,FALSE,COc1ccc(CC(C)(C#N)CCCN(C)CCc2ccc(OC)c(OC)c2)cc1,"InChI=1S/C25H34N2O3/c1-25(19-26,18-21-7-10-22(28-3)11-8-21)14-6-15-27(2)16-13-20-9-12-23(29-4)24(17-20)30-5/h7-12,17H,6,13-16,18H2,1-5H3",,verapamil,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved L-type Ca²⁺ channel blocker; no orexin activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=1 parseable): T((danavorexton / TAK-925))=0.096; canonical_smiles_sha256=12bc5ee529573bccb7257ea3e1e6360e89e7dd43b07c31bde242bd4c56173262",,,PubChem:CID2520
OX2R,neutral_antagonist,,FALSE,Cc1ccc(c(c1)C(=O)N2CCN(CC[C@H]2C)c3nc4cc(ccc4o3)Cl)n5nccn5,"InChI=1S/C23H23ClN6O2/c1-15-3-5-20(30-25-8-9-26-30)18(13-15)22(31)29-12-11-28(10-7-16(29)2)23-27-19-14-17(24)4-6-21(19)32-23/h3-6,8-9,13-14,16H,7,10-12H2,1-2H3/t16-/m1/s1",,"[(7R)-4-(5-chloro-1,3-benzoxazol-2-yl)-7-methyl-1,4-diazepan-1-yl]-[5-methyl-2-(2H-1,2,3-triazol-2-yl)phenyl]methanone [suvorexant MK-4305]",4S0V,Ki,0.35,Cox 2010 J Med Chem 53:5320 PMID:20565075; Yin 2016 Nature 519:247 PMID:25533960,neutral_antagonist,2015-01-13,"1,2,3-triazol-2H-tautomer per co-crystal; 1,4-diazepan-7R chair; benzoxazole aromatic",diazepane tertiary N adjacent to amide/benzoxazole — weak base; triazole neutral; benzoxazole neutral; overall neutral molecule at pH 7.4,"SMILES replaced with CCD-authoritative (SUV @ 4S0V) 2026-09-04 (Step 1.1); InChIKey JYTNQNCOQXFQPK-MRXNPFEDSA-N unchanged (matches prior PubChem CID 24965990) || PRIOR_NOTES: SMILES fixed 2026-09-03 post-B2 RDKit parse failure — original had erroneous c2ncccc2C fragment (2-methylpyridine) instead of the correct 2H-1,2,3-triazol-2-yl group; corrected form from PubChem CID:24965990; InChIKey JYTNQNCOQXFQPK-MRXNPFEDSA-N; RDKit round-trip PASS; DORA suvorexant DrugBank DB09034",SUV,Cc1ccc(c(c1)C(=O)N2CCN(CC[C@H]2C)c3nc4cc(ccc4o3)Cl)n5nccn5,CCD:4S0V:SUV
OX2R,inverse_agonist,,FALSE,,,,,,NA,,"NA — no cleanly-classified OX2R inverse agonist in peer-reviewed literature",NA,,,,"NA row per plan sec 6 asymmetry principle; all published DORAs (suvorexant/lemborexant/filorexant/EMPA) act as antagonists at basal activity — no CAM-inverse profile established. Handoff to A2 flagged; P3 (inverse<antag) untestable for OX2R",,,
OX2R,full_agonist,,FALSE,COC(=O)N1CCC[C@@H]([C@@H]1COC2CCC(CC2)c3ccccc3)NS(=O)(=O)C,"InChI=1S/C21H32N2O5S/c1-27-21(24)23-14-6-9-19(22-29(2,25)26)20(23)15-28-18-12-10-17(11-13-18)16-7-4-3-5-8-16/h3-5,7-8,17-20,22H,6,9-15H2,1-2H3/t17-,18-,19-,20-/m0/s1",,"methyl (2R,3S)-3-(methanesulfonamido)-2-{[(4-phenylcyclohexyl)oxy]methyl}piperidine-1-carboxylate [danavorexton, TAK-925]",7SQO,EC50,19,Ishikawa 2020 J Med Chem 63:15080 PMID:33290100; Yin 2022 Nat Struct Mol Biol 29:749 PMID:35915257,full_agonist,2020-12-16,methyl carbamate; sulfonamide N-H present,"piperidine tertiary N acylated (neutral carbamate); sulfonamide N-H acidic (pKa~10, mostly neutral); molecule overall neutral","bound_pdb corrected 7L1U -> 7SQO 2026-09-04 (Step 1.1); 7L1U is OX2R+orexin-B peptide agonist (RCSB title ""OX2R in Complex with G Protein and Natural Peptide-Agonist Orexin B""), NOT danavorexton. 7SQO title 'OX2R bound to TAK-925, Gi and scFv16' contains A6F = danavorexton. SMILES replaced with CCD-authoritative (A6F @ 7SQO); CCD stored InChIKey UXZAJSZFFARTEI-YRPNKDGESA-N vs RDKit-computed UXZAJSZFFARTEI-GUMHCPJTSA-N (both match connectivity of PubChem CID 130310079); CCD SMILES kept as crystal-authoritative || PRIOR_NOTES: SMILES fixed 2026-09-03 pass-4 — original SMILES encoded a COMPLETELY DIFFERENT molecule (a pyrrole-carboxamide-triazole-cyclopropane construct — not even related to TAK-925 chemistry); corrected form from PubChem CID:130310079 (NOT 154701108 as originally mis-cited); InChIKey UXZAJSZFFARTEI-GUMHCPJTSA-N; RDKit round-trip PASS; inchikey_verified=YES. OX2R-selective small-molecule agonist",A6F,COC(=O)N1CCC[C@@H]([C@@H]1COC2CCC(CC2)c3ccccc3)NS(=O)(=O)C,CCD:7SQO:A6F
ACM2,none,,FALSE,,,,,,,,,,,,,in-campaign baseline,,,
ACM2,decoy_lig,,FALSE,CN/C(=N\CCSCc1nc[nH]c1C)NC#N,"InChI=1S/C10H16N6S/c1-8-9(16-7-15-8)5-17-4-3-13-10(12-2)14-6-11/h7H,3-5H2,1-2H3,(H,15,16)(H2,12,13,14)",,cimetidine,,,,decoy_none_known,decoy_lig,,,,"Block C decoy_lig built by scripts/build_block_c_decoys.py (Gate 0.4); source: FDA-approved H2-antihistamine; no muscarinic activity; Morgan(r=2,1024)_max_Tanimoto_vs_real_ligands<0.3 (n=3 parseable): T(3-quinuclidinyl (R)-benzilate [R-(-)-QNB])=0.039; T((3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl (2R,3S)-3-hydroxy-2-phenylpropanoate [atropine])=0.066; T(4,5-dihydro-3-methyl-N-(2-{trimethylammonio}-but-2-ynyl)-1,2,4-oxadiazole [iperoxo])=0.129; canonical_smiles_sha256=fb7f410c45f68825d285310a8fb4cbe9536b47c43b2e798d11a1c127f2f07ef7; formal_charge_missmatched=true",,,PubChem:CID2756
