receptor,coupling,active_pdb,inactive_pdb,d_tm6_active,d_tm6_inactive,d_npxxy_active,d_npxxy_inactive,d_y558_pack_active,d_y558_pack_inactive,d_dry_active,d_dry_inactive,d_tm5_active,d_tm5_inactive
HRH1,Gq,8YN2,8X5Y,17.355491494048795,10.65461665194952,14.37221002490571,17.71277138112496,3.877891437366447,7.491874264828528,19.275070427886902,8.314313741975353,8.83986544015237,8.708962337730036
HRH3,Gi,8YUU,7F61,15.092919432634623,9.198639953819258,13.657098557160673,18.235828854208957,nan,nan,14.807056797351725,8.641328138660166,8.242000606648856,8.704549155470371
LPAR1,unknown,7TD0,4Z36,15.911822931392864,9.109589727314836,14.230004356991609,18.784595630462743,3.1738074925867723,3.485497668913293,nan,nan,8.47031959255373,8.302731237370027
LSHR,Gs,7FIH,7FIJ,17.117156451934424,8.697587998979964,14.516220238064722,18.529817403309725,3.4968176961345807,nan,16.848476756074998,nan,8.598954180596635,7.84051057010958
MC3R,unknown,8IOC,8KIG,18.61919273223198,9.019314275486789,13.5474108965514,19.580339654868098,3.387447564169803,12.286806948918821,nan,nan,9.009084859185181,13.963711648412104
MCHR1,unknown,8WWK,8YNS,15.004265593490395,11.617637367382388,15.266703049447194,18.106175465845908,2.474005052541312,4.21183392360145,nan,nan,8.17361768129634,8.668270127309139
NPY1R,Gi,7X9A,5ZBQ,15.712009769599815,9.977121278204454,14.459823408326955,19.159332190867193,3.223744561841082,3.968151332799691,nan,nan,8.207904178290597,8.351771907804952
OPRD,Gi,6PT2,4N6H,9.802429137718875,9.308649418685823,17.23235985000313,18.476759834992713,5.359266834185441,8.586657906310231,nan,nan,9.864568363593007,9.184687474269335
OPRK,Gi,8FEG,4DJH,14.64586538924894,10.658798947348622,14.92228303578244,19.292105561602135,2.3858654614206607,4.443881749101794,nan,nan,7.949088060903585,8.652746904885175
OPRX,Gi,8F7X,5DHH,15.89603636130719,8.364582296803587,15.043041613982203,19.813422546344693,3.162912107536335,4.45049053476131,nan,nan,8.683309507324962,8.404377906781683
OPSD,Gt,4X1H,7ZBC,14.7211668355467,8.725225382321078,14.341221182312195,19.759162273542874,3.1308599457656974,12.0226779476496,17.879067900760376,3.3781391566511894,8.124707625508751,8.436889730090112
OX2R,Gq,7L1V,5WQC,14.366263640905371,9.149132253935345,14.351179010799092,18.121360103480093,2.8272553828757787,3.8506894187924328,nan,nan,8.414204478142914,8.529433509911431
OXYR,Gq,7RYC,6TPK,18.415824010888024,8.377983110510547,14.609131699043584,18.394173479664694,3.6182378307679084,3.8571755210257153,nan,nan,9.20409821764197,8.75517481264652
PD2R2,unknown,8XXV,7M8W,16.924666791402423,11.406958314993531,14.781004837290327,19.702189751395665,nan,nan,nan,nan,8.547505250071506,8.498253644131841
PE2R4,unknown,8GCP,5YWY,13.926291430240871,9.582497899817144,14.183459169046177,18.648156423625366,nan,nan,nan,8.724688017344805,7.783182446788716,8.487304460192293
S1PR5,unknown,7EW1,7YXA,16.426658515961186,11.275822675086726,15.590732471567843,18.082127916813327,2.62661112462428,6.73006129244006,nan,nan,9.0363048864013,8.968094446425061
SMO,unknown,6O3C,8CXO,11.602535067820307,6.817483479994657,18.005023410148624,19.487215142241332,nan,nan,nan,nan,10.616643772869088,10.55250965410598
TA2R,unknown,8XJN,6IIU,12.673155250370764,8.480284016470215,13.073217698791677,16.783606138133727,nan,nan,14.492357330676045,3.804020636116463,8.042602750353884,7.510586262070356
TSHR,Gs,7UTZ,7T9M,17.3305370372646,9.72206814417592,14.411485176760937,19.560526219915452,2.8495178539535533,5.039677965902192,17.98439670937006,6.935147150565733,8.294778236939182,10.764915094881134
