sequence_sha,source,sequence_len,status,timestamp,error
cf709703d5ae80b1,partner:alphas_F376A_L388A_R380A_triple_null,394,cached,2026-09-01T08:05:16.277189Z,ticket=8MTElPf9sQDRF6Jxt167UIAM-FsQe1oq1EbKVA computed
5c6ac55d09af0460,partner:alphas_F376A_L388A_mutant,394,cached,2026-09-01T08:04:00.043590Z,ticket=BKn1CMJVmosC9TYMOkbjRipIxcCDuMVA-Lge1Q computed
61cc7bb7a310e3f2,partner:alphat,350,cached,2026-09-01T08:43:56.826806Z,ticket=xhZ_zFKor2park-uoL1fL7M1GpmsVuhjH9R3Yg computed
c929d6e535ca2db1,partner:alphaz,355,cached,2026-09-01T08:00:32.287958Z,ticket=Uhrl3acKbP2prK7ZcsgCahOqvvTnw4lAYn0q-w computed
7f7135b3c50ca201,partner:arrestin_Ctail,41,cached,2026-09-01T08:27:03.582598Z,ticket=BkqnaAEt1DNatCEwAo3k9BxFwtAs_GAOxEXysg computed
a0a09ab53dbc98a2,partner:arrestin_FL,15,cached,2026-09-01T08:26:20.231387Z,ticket=4mc6FbbKxEUJCr7cwFj97X1Q9FDImexqfGgB6g computed
0b453f9bbe97de92,partner:endothelin1,21,cached,2026-09-01T08:32:28.354471Z,ticket=CYCueM4B20m0SVAKjfthKFMjC678miIC8kJfGw computed
9569a7eb08514dbd,partner:gcn4_leucine_zipper_33,33,cached,2026-09-01T08:02:26.410499Z,ticket=hMjyHSIQgXiTSSpO9YLQndPaOa6S8_tolgOMDA computed
7cd426fc21dc7444,partner:random_helix_40mer,40,cached,2026-09-01T08:02:07.637875Z,ticket=UbH3UGDpqp8bcfb_Gm72Nl73t_HUIq4YnJwvcg computed
7e10bca1b6e43cbe,partner:substanceP,11,failed,2026-09-01T08:32:34.358925Z,ticket 0uiRgFmS2H1CTBdx8-zx4x1QLC-H4P3ud6kPrA did not reach terminal state in 600s
233b4b0b8c461609,partner:ubiquitin,76,cached,2026-09-01T08:05:47.728831Z,ticket=wjBVpOSoLjyTnezC-5gIhSZ3CNvjGdhRq677cg instant_hit
0153dbebb226a1e5,receptor,465,cached,2026-09-01T06:02:53.967569Z,ticket=nWVckdLBG8ihSsSg_gPTiOVG9uBTQ6CLXrl_Cw computed
0bc8c4af6f71c065,receptor,390,cached,2026-09-01T05:39:12.252756Z,ticket=Nc1hHclJVp3sqabSdHWqGKYZxJT5HcmreOT8Ag computed
0c28b2bbcd26288e,receptor,400,cached,2026-09-01T06:46:17.853636Z,ticket=BnRbWCBH34MTkigeio-UpI2tIoQ5dA4eN-Ma-g computed
0e420a3caffe9e2f,receptor,427,cached,2026-09-01T06:48:43.362837Z,ticket=5BQRmVVGOolkbd_WcSr7dqTi8Mae-dpGLVW_NQ computed
1287bf4746a29da7,receptor,326,cached,2026-09-01T05:46:46.968664Z,ticket=BAiqrPFB5qwpD-wL5tFIB6KhY0MaSQf6k6lyyw computed
18e4fe4189d4300e,receptor,466,cached,2026-09-01T05:55:31.529685Z,ticket=Ikvn4wSUjGpXRYAE42vmKnZbU1ApKB6WhQuBew computed
18fcd61221ac38d0,receptor,477,cached,2026-09-01T06:06:03.586026Z,ticket=rhekFYqKNTZ8jNW1z-PaK5yM0FU1UI86bbftQA computed
20e8fc797c8f2615,receptor,348,cached,2026-09-01T07:41:58.338106Z,ticket=0xP3sKGYFUR8SED_76euaN5auYQ6cRm5exd-Bg computed
34c69b7a4be8168c,receptor,370,cached,2026-09-01T07:40:01.281969Z,ticket=FdsWTKYSFuSwbTPfB_bSGgyyiAFXvIukkVCl6Q computed
44b3d3a6c920fab6,receptor,352,cached,2026-09-01T07:22:06.570774Z,ticket=sEE0nwxjjFCDe8gqY2GfXBJjdlLoEWK7DuC8bw computed
4cf523e4f20641bd,receptor,472,cached,2026-09-01T06:31:05.599329Z,ticket=XnumvVVCVIN6SvnFTDoj7BQtVrM9-DVruIUZlg computed
5405ec4c579e6859,receptor,381,cached,2026-09-01T07:30:06.596277Z,ticket=VWUuPEx1TvYc_E5a2B_u5Qv6XHqgdD66mXXnQQ computed
613b62553ee1c016,receptor,360,cached,2026-09-01T06:37:32.588589Z,ticket=8zFhmVtv9jEvJjvSS2jISRhPZCsMN4Jab_TfNQ computed
65221c4df869b796,receptor,384,cached,2026-09-01T07:01:55.942972Z,ticket=B57dxb5KZljBFSsF54WrI45RdhlEzdNGBDLMAg computed
6dae55828357a788,receptor,359,cached,2026-09-01T06:17:02.781066Z,ticket=SeAWfjloxgg2_0vPLSH_OPI-qvd7VMws10nzRQ computed
73fe68d1fe5d48b8,receptor,366,cached,2026-09-01T06:59:30.997868Z,ticket=qpSNyqJ3cQbl6J7rt57HW-X-QW-13X7ud65f5A computed
745dbb36c0968245,receptor,352,cached,2026-09-01T06:39:51.261515Z,ticket=fy0wRnw7iAi_DaFuXm2Gwj1rEzFDSowC6vSyJw computed
7474668859b42bd1,receptor,352,cached,2026-09-01T06:28:52.424433Z,ticket=Syfho_0ppJ0eMwoCJQbv8VDNl69GDrPquVpQQg computed
7bbe9f46e81ee1d0,receptor,695,cached,2026-09-01T06:55:16.359748Z,ticket=MNe8rscGRZT7pZE0KOaqv93StfCzqIQWzlBojw computed
7c44a5c602ed3747,receptor,380,cached,2026-09-01T06:21:15.225638Z,ticket=eCDQkI2hU6Fx9mE_-wTe5FIRJp-kORbEiKi7VQ computed
8ab4a7858bf09b30,receptor,699,cached,2026-09-01T07:20:27.329592Z,ticket=ZNZAdzveO7VQhjJmDIgEYNb9D_CmB4mCduBRsA instant_hit
8bb8e760c142b1a4,receptor,458,cached,2026-09-01T05:42:10.768001Z,ticket=ob-o5aCtUF9fM7dShpaTEXyOYR5mV-YKrgFyWA computed
8c2b6e1477ff2109,receptor,443,cached,2026-09-01T06:43:24.804361Z,ticket=MpiVFUjaSARpFLBfRkfGEqvfoRIkwgpTPkLtXw computed
9112bbed27c42f31,receptor,487,cached,2026-09-01T07:05:51.911303Z,ticket=3h5qTMmiF2W_5hgsuWmaL88sTkP0KDKVoRtMIQ computed
932606a6305d90f0,receptor,364,cached,2026-09-01T07:11:17.096009Z,ticket=9YEcartpFuydlhYaCvY2IHs7XiLJgkfhrcQ1iw computed
945340616bafd8d3,receptor,380,cached,2026-09-01T07:37:01.720379Z,ticket=RtwGrFgBDDOCmqFCJTFGdsGPqA6lUIjLYDRUDQ computed
9abd88979dbbdef0,receptor,413,cached,2026-09-01T06:14:33.038998Z,ticket=DLh8XW2iG01QVXBQb2Q8cpGLHZpgPgqzs_aGTg computed
9f42fc1aa2a3da79,receptor,353,cached,2026-09-01T07:24:14.292465Z,ticket=jhiQCXJPKYrtX0-njbxsbqvhDfqwYQOkfuZexw computed
a9d70e6dd79a9d6d,receptor,460,cached,2026-09-01T05:52:27.342201Z,ticket=nd_PXZ8BQoWtD_ZuV4sq3uq2_0MIrNyZS9GrVQ computed
b75060695513d21a,receptor,372,cached,2026-09-01T07:33:11.810804Z,ticket=PursvphweuNoe7L-ttu5vvPGftBgp1w1OMGPIw computed
b988033ce3865dd5,receptor,384,cached,2026-09-01T07:26:51.253893Z,ticket=5PZI3uxmdE8PuglJulgxKOspSIscVhDrMlrfNQ computed
ba8fa863e837d8a9,receptor,372,cached,2026-09-01T06:23:28.660063Z,ticket=Orlnmv8q3jA7PKD_xdEu1aKIbI2NyW_K8gFsfg computed
c497f29417b886ff,receptor,360,cached,2026-09-01T06:34:10.854153Z,ticket=siwbF40xCwAQdYVzyadw8llcu3Ux9xGPNXpvPA computed
d1707e447ac7d7fc,receptor,412,cached,2026-09-01T05:49:11.174083Z,ticket=WouNCyB_-FIZ2i5N7970EWqSX7IfIDYoiMUkOg computed
d2f2f70ece4e1535,receptor,357,cached,2026-09-01T05:44:40.326883Z,ticket=P5eBc7kZSTuUI9AwqeItdsbBdhbO9odU7P_Qhw computed
d9bd4f76c847dbfb,receptor,445,cached,2026-09-01T07:09:09.075830Z,ticket=g5GbjmtCFUjMc4TBdk-02hwE7Egl2z7sjl-ZpA computed
db51d7d7e7d75f30,receptor,428,cached,2026-09-01T06:26:27.014113Z,ticket=LhQwocIvQbyjAa97orwFpKzL3kygTJxU398Ydg computed
e6a80905b838e43a,receptor,444,cached,2026-09-01T07:45:09.296793Z,ticket=s4udMPCdDmSSzYuA3LeJBENro4Yrhl_EMFW8jQ computed
f203a5007cc0cf30,receptor,442,cached,2026-09-01T06:52:23.156699Z,ticket=6HfPmEJ4IT-afdNc7ywvhyqNslZRhrxDb8dUiQ computed
f70d1259f715e662,receptor,479,cached,2026-09-01T05:58:58.609516Z,ticket=B3sBalkYRnydMTW97kvKcUS_0d_2vhLnnoVEJQ computed
