pdb_sha,pdb_id,uniprot_slug,species,resolved_state,stabilising_elements,provenance_url,provenance_sha256
6d759ff9f5fe924a46fe4cc628d3ac535154082a5f5628c9c076a59dbda33885,5U09,cnr1_human,human,inactive-inverse-agonist,none,https://files.rcsb.org/download/5u09.cif,54b05e4f82be73586a0f17f82bb34793b62500a8b3f8ee6510200b57aab15a28
76aa4579334f50b5bd2ac998444be18f29679aa00f9980f5c70ca19d5e22a40c,8GUR,cnr2_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8gur.cif,2302aa108cb9b81c923946989cd6f4e03482531d5c2f61c4d17328eecf987141
7a2685dcfa99605e85a0871d914ab16e11b21e60239fe368f714aecf66f40935,5ZTY,cnr2_human,human,inactive-antagonist,none,https://files.rcsb.org/download/5zty.cif,f135f72f0c4881091dbf7b6c3f7be2f193bbb26450097028ad88ddad6ef9089c
4dc190a5ea88aa94be5d7c6aede27d6a1efff2ae22e9a1097b162d453fd0933b,6LFO,cxcr2_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6lfo.cif,33e409728012b6524a4953b8e1d759926958324c795759d52d0f08951766dd06
33ca115eca2ee67d20cedade2ef33ea9653c30018f70e17527cf8d832cea4848,6LFL,cxcr2_human,human,inactive-antagonist,none,https://files.rcsb.org/download/6lfl.cif,66b5d5079beb9d0f410dbd39b9b12d6b97fb7ab92a006b28a1f78d04ae91dc9f
338cb4089dd181f5c74b1cec2769b9928cf50d9a596a9d4b6233dba778bbae8a,8HNM,cxcr3_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/8hnm.cif,2511c3a4c1a6aaec8e6193a2e86b344b767961b48ab81f86b88515233e55aaa5
4f7eab62f6eefa7daac268014b2593a9c3ef47b066c3792ffacb7c6bb9e2aa03,8K2W,cxcr3_human,human,Ga-coupled-active,nanobody,https://files.rcsb.org/download/8k2w.cif,8fee3a007dae02cec75a0b24debe9e50dd824e694f48d11a58795cff58a2f087
9a37eab68210ee65771384ed4eddb0c910fd4139d0a31963fef970bdb568f778,8U4N,cxcr4_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8u4n.cif,3b579479ec1d93bbb29676d5564e7b2a1733a91af75461bf29051f7be8d20578
398ddce7a1f7dbe35df064f1b38e70686ba74e30c663bc718fad4cfae24f78f1,3ODU,cxcr4_human,human,inactive-antagonist,T4L,https://files.rcsb.org/download/3odu.cif,50ed4ce8ea3eb6485c642abda7d6919e116bad76e9f2ddfd6776861cdd2ff887
3bb7ab50cbb23220b27ae7977b27ec3cccabb23592aab45f6e899772f5958709,7JVR,drd2_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7jvr.cif,bb30571f9a9db5a3a18d90bfe3c7b679c21995d9c7624fbb1966ea2ed861a90e
2bc7ece5bb43ba5bd4fb0076db428ed343f061eccc11133205554f0c8119fc72,6CM4,drd2_human,human,inactive-inverse-agonist,none,https://files.rcsb.org/download/6cm4.cif,2bb929878072549978cc538d9429eabf5a121810c7e362d29a46fbb337b535c3
8ab84416005c66f7b4157c6af48747d5b4683a8557da63bed71fae9209102107,8IRT,drd3_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8irt.cif,1b6774798094eaa26ab4ac0d158f9e5fc00c42b8670475bbf617661d6dc08485
ad01099584fe8ac8b1d8eb97cd8f10a810f5607c0902921e7749abd07a213586,3PBL,drd3_human,human,inactive-antagonist,T4L,https://files.rcsb.org/download/3pbl.cif,8d93ff06efaf957255c48e5c18b72ae5a43619439d97401805ad740059901488
2d2db6f696ff64bfbc800beac99d7e9faade579edc7d63cfac1803845234f0e4,8IRU,drd4_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8iru.cif,8f7b0f5dd16194e644f48b364e30df92cfc4c09c36a236a7efcee962ced50790
9a3a0e61a8d1f426fb55100e87375e5b781eb832b4efdd2594bb8d3f500ddea6,5WIU,drd4_human,human,inactive-antagonist,none,https://files.rcsb.org/download/5wiu.cif,b26178a181e86e07959b84d29d0c3cf98237101be123ca968618d975fca494e9
2e1a7fc8ba0a7e437e1acd5b9d1212cf49d2fcd7549be6f109bbf043ec2da6b9,8HCQ,ednra_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/8hcq.cif,acc492422d2f52010edf74daa4da7f8cb22f788542c1b57d1119fe0963ce80cc
2fb0293dfa8015d37959ec8cfdf621a3cc6f1a4a6d3b719a81dfa1bf06fd908e,8XVK,ednra_human,human,inactive-antagonist,none,https://files.rcsb.org/download/8xvk.cif,31ee8f3d2cce22521c590cbb0cb0d982325ce6e1591018551514823b3b317369
7999131498df1ed8360b213c8750ac18c0864913dcae1e2b00007707a4382c71,8IY5,ednrb_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/8iy5.cif,494de03c67c761c440149297c04aead85adab7878b953e159ca3a016d935e4cb
482e8c01da17c36f7bba93491ee4390b00e4f623feae34ef31e080c712669b99,6IGK,ednrb_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6igk.cif,5b7015d9ca71ad2c53ae6d6a4d7c5203cac918fd120aa9ca1e5c78869c7e27a6
23cbe09f749c303b8af3e5fb5d61fe92889cf3a6874267c73e3b0784379587dd,8I2G,fshr_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8i2g.cif,b5721cbcb1298200aa7b247d933d33b2481485fd5aef9bbfbf06e06fbb73a89d
0f5f8592ed0dd5ad10b963854031c88f0333ef222bd748ba991836450901e740,8I2H,fshr_human,human,inactive-antagonist,none,https://files.rcsb.org/download/8i2h.cif,d61fb847e96516d4e507d0e914be209d37756f4a2cb48af3575bbc6ed3d985a4
f335d0eeeacc0777d5a574741da4ff56f3f42f763f16b8d2bc18ed8ee20cf672,7NA7,ghsr_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7na7.cif,cb67e0a6841b908bc145660abcc994df3c59023a99e360ac82df7025f4d7426a
39969560f8f06c0915c002ba4b04bdea25775722e8316f5834ee35b38c84dcc8,7F83,ghsr_human,human,inactive-inverse-agonist,none,https://files.rcsb.org/download/7f83.cif,c30b67e59277575882c8eb67ae928c185996cb272c6adaef8203bd53d2461454
dec93a1446b818300d6699e42dd3cfb7db38463a6fe89db29376f9349b9d0fb3,8HMP,gpr52_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8hmp.cif,b45d600f7ad77758ed40c32a5a2e269908772aaf1d09ee715dc80332d46e2db5
6aac0a92b8574c1ea2132ffa7c768f3b8a52298aa663c08c607a8db4f185c7f8,6LI0,gpr52_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6li0.cif,9e94b6e90a3924ea02106334e711e017620a2f1a7ef19560da82e0dc9b5d317c
b759c8e74ed41ba8551b3cdc8a677c88343cad6842b7dd2a7425d16ce9dcfd58,8TF5,gpr6_human,human,inactive-inverse-agonist,BRIL,https://files.rcsb.org/download/8tf5.cif,a378b40b932176db83ce49266fbf683244254aaa2bc1a0813ca8f49d119e8bb3
720065bb11f022d0656ed20dc602154d020d70e9649de90529583050f00aea44,8T1V,gpr6_human,human,inactive-inverse-agonist,BRIL,https://files.rcsb.org/download/8t1v.cif,0c2acc3b696f6d71c6792f4475aa48b3cdb4dddee4280014a171cf7dd568484c
90461fb82554da4062daf76bb690f25765ae61df87bd1dbe0732dc42e15edfab,7W40,grpr_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/7w40.cif,99ca97d5b36b44b30dfd36d497d24e2aa99669742792b85b7de34598be5c2183
39b7af9ea5c584a3372edeb367339668187ba1ee87f547ed5abb817871376d45,7W41,grpr_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7w41.cif,95e3daef8878200f4b12868fc940cbd37eab3116623a7107d7ec53af64fbedf9
70c069df6b51e92fe978d985ffcc53c5f7ebee3906884ab571129150655338eb,8YN2,hrh1_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/8yn2.cif,05dccd9d6eb5a411909480b2802ef4711f66d4cbf8ef0a906165fc9074e166f4
7056fec544c80f6534553c2d315cc863b1c29b12d6b9008e7dfced485ceee9c9,8X5Y,hrh1_human,human,inactive-antagonist,BRIL,https://files.rcsb.org/download/8x5y.cif,1e87c92a09175fa9be8c90583e43fc45506ad858dd5b42de7f37231e199e447c
0b201d3c03634659b6a6f75ad18a9f7e13546df2d4f18064252d6a7e4170a01d,7UL3,hrh2_human,human,inactive-antagonist,nanobody,https://files.rcsb.org/download/7ul3.cif,a60063b49a5d4be4bb15ef4d04d14e589974ef2df5b53733c59c9f8454f550a5
982763021a15f6edfaa4fb21e46b0a4c240d380232d61ed1a18280d3daf5c21b,8YUU,hrh3_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8yuu.cif,10ecc8dc08c13d25bd787f8160bfa5b89e08c9d66553986947b719a5f2e6968d
5478d370505eeeeb54e1b3e389b9c32bcb08db4641deced527b7a53aa195bf7c,7F61,hrh3_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7f61.cif,7dfe6031b2a2116a35cdb2f5fcdf1105e84bcf8a5a1fc8fc5bbf8f9b625db84b
d0e4252a2702484ccea215cb48105b166d5ea9bd5a1eb3af2e73b2351d6f6c69,7TD0,lpar1_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7td0.cif,a3bbacdb8583f0467b9365147771b90969bfa1af298fb273ebc79b2d31d4972d
f65e99821f2797f374a77a7b835dac8556081fcea0abb612396443f7f8b165d1,4Z36,lpar1_human,human,inactive-antagonist,none,https://files.rcsb.org/download/4z36.cif,c936d28a0391fb007f763ab656e3523ef18815c81ee39b643d15a8f99c6c6517
4c673b7ad6aa179fac53f63f8d6b11dbe015a978b1f07abec3b910dbb733e3f6,7FIH,lshr_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7fih.cif,4d5b3244ba255bdd83b045573041b2f69e05edc8b17c59d074d56d108265a3ec
576b743602269f717a36ca1246ffac9a13be04487a47f5bcb185f36158ccabf3,7FIJ,lshr_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7fij.cif,81dea70425c94a229667f928a07848a98386ccdd96bac6a71d58b93fd887b1fa
236911dfd1d7810de6339c8f8e54ac4f55d28bc935cf25958905c43e13653def,7VKT,lt4r1_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7vkt.cif,5064c98e8075d9627d23bc68d978e45530c3c237181d37d1ea564bc51ee263af
62796e4acebbf7f96502556854ea9c050bb68e7cd9fcd9b7df40c22327d5acce,7K15,lt4r1_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7k15.cif,56d80ca144f04f5946646e99440814218bd2511938802876e761cb63cd1c0f35
f77f4ecd0cb5d644793da112f2ec8ded1b45a31e7fee18b0c99c5d7aefd3ae23,8WWK,mchr1_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8wwk.cif,38df1ea21f6c91133d0da0310d5122262e7aecd9e5e70d35231e233ce4c3b0f4
da71b260959b5b28a0a96060127b0625d099ef027763de15a0f87365c4e176a3,8YNS,mchr1_human,human,inactive-antagonist,none,https://files.rcsb.org/download/8yns.cif,ece3a4d4086580197a23dc85491315c9cbce7457e64d746a0df43d17c8d4dc92
78fb71aff3bd886d1c93e0d2924cf8985a4b5e5c9f3424941c61a90700548b42,7VGY,mtr1a_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7vgy.cif,9f7a29c4d5d8b8a54d30c414cfb788e1475d07cc41ac5a384c41f9d126ebc2f6
db2ca3df47324c8ac1d04ba1d8991c31d23457e36a4bbf6380d2bb2f7dddfdfc,6ME2,mtr1a_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6me2.cif,43a8c8021be2c14ceeb9b12a99f02b7a99be5c9eb631bcd7cb6b0a6af291b60d
5872d60244247b5cf64dcc2210f144e12b90a714522a108f006f1ac0f634cf12,7VH0,mtr1b_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7vh0.cif,2882c73831d71f029fd6084a89aa62cc101660fdf357f6ebe2135c64dd1e2a5d
2fbdeb6a6d4ce5500a06da9ff182c2d83e884c73699e393df5efcab3640795cb,6ME6,mtr1b_human,human,Ga-coupled-active,BRIL,https://files.rcsb.org/download/6me6.cif,5d5dfa644ee03a0d74fd4545158d09dce8b5f8c933b85e92950c62f468bf55f1
5a756e9acf7b1d6f5288e1d82b17ec2ffc8f31495bf74f726882b8747b5daffa,8U26,nk1r_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8u26.cif,1141ae457d63a646c3c9de3d6626625245d54efad0e6089b5594552c4117a991
6f62e2ea39e35f1f4111dd75156f1722a674170fa5cace5fe32cd57ce4d73fbd,7X9A,npy1r_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/7x9a.cif,811ac2371bf08f94fc4cdac3f432da541b20090132af2484166c9bd7dd6ca105
1a523ba75629552b1674f1c96f210befb06a95252e640424adfd9afeb21d2b1b,5ZBQ,npy1r_human,human,inactive-antagonist,none,https://files.rcsb.org/download/5zbq.cif,1843a6ce67605ec75b2759b25ec0174b068393438df62b447585f3ed322d6fde
6cc49b10e439e6e1681c55241c875aad34be4ed3561d9ebf66e5fb623070c744,7YON,npy2r_human,human,Ga-coupled-active,scFv,https://files.rcsb.org/download/7yon.cif,38e7038d26613c77fc09b4de11b0ea25a9ca941bac6bdbbc4b125646a29bebd5
11bfbae6756576d4a767de004e6c33a89fc8918f7d605f3b63594e0f67837607,7DDZ,npy2r_human,human,inactive-antagonist,none,https://files.rcsb.org/download/7ddz.cif,0b460868ae88ffd10f41ac47cec2bf5ed0dbef5ab27f38bd65dcf2a608c35210
825f25c61d802228584fb19b2d62bc4ca37c7137dc33e532d9917eadf99d21b0,6OS9,ntr1_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6os9.cif,d2deebe57036c8b8f756139e7cf8ce8bd7b603e30be5f87a222bcc933a47dd7f
63985e2c5d75b95514d86d5ead95f501c70df8a4d34a5973d46bb704df86ad81,7UL2,ntr1_human,human,inactive-inverse-agonist,nanobody,https://files.rcsb.org/download/7ul2.cif,235deda78ace79f27395d90c4d8f669e524fe9476ff7597b177531f7fc634361
e6baf8baee1533a78f6b6ab176bb5e1dda318b5d7638dcfe7a4b037778539ba7,8FMZ,ntr1_rat,rat,Ga-coupled-active,scFv,https://files.rcsb.org/download/8fmz.cif,84275de9bb5992022014cf8b7e56fca886d7109fc9088ac530ed10e6a9502776
90922e19f5926d7bfed37f8cd7999d8156915ee69c0b14196e115fd97d31ccc1,6YVR,ntr1_rat,rat,Ga-coupled-active,none,https://files.rcsb.org/download/6yvr.cif,91e53935c82517277e565b6147473c214e60e2b1a15ed7cef36ef19004ff15b7
953526b3a54b9031815481d82d9322c8c745c00db140b53f9511c34cc00f38a8,6PT2,oprd_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/6pt2.cif,6e418e9cad265fffc9e53da464dcc729599a5181d0dd05b9716c86d467e88e22
18e733ff070b30b5f69126badda41feeeb292479e68f64f2464703416654f62c,4N6H,oprd_human,human,inactive-antagonist,none,https://files.rcsb.org/download/4n6h.cif,724ed241716a67f98aa14f2ebca67ba53ddcd8416774953cd197258bfbe7ca5a
07abb63e7c666a424b8ae242caf942abb137141a89eb90fdb96bed4a54d0b090,8FEG,oprk_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8feg.cif,9a95421a428de8cfe56a78d38133d049bcff5a7f354be07c24dc8887ea8778be
58dd708a0eb0e656851183b97685f97b655cd7a37a7fde824f729a90b8298bd9,4DJH,oprk_human,human,inactive-antagonist,T4L,https://files.rcsb.org/download/4djh.cif,b2177fad9feffb581ad7e8e9581b28b6ca85ef58b514969aea793b4e404e1013
8d5a935aa0c541a8f91073b5784ac17cfe8f982b5df4274abea198d2d24fd549,4DKL,oprm_mouse,mouse,inactive-antagonist,none,https://files.rcsb.org/download/4dkl.cif,6184d9e0b3037c9166e18e588cd36f448e63ca3f7960448223b64fcdb03e6009
e3777c9791a70723f5c67b5db12d181364b9bb1dd5698839bb2871e4f5405ff9,8F7X,oprx_human,human,Ga-coupled-active,none,https://files.rcsb.org/download/8f7x.cif,e35e5adcb6b861e560eec85e1ee74313d4908984dd7310a2fea3b9e4f1cae69f
8afaddd9c0c7126e17471fe6c4dc0d1e5dd3a2609c2bab4d371c1c5aa0f97279,5DHH,oprx_human,human,inactive-antagonist,none,https://files.rcsb.org/download/5dhh.cif,0bdb1f16c2af47f43351048d54127f4946edd40ac44139f3baab0680b8cdbfb3
