backbone,aggregation,receptor,pearson_r,n_rows,sign
chai,plddt_at_anchors,NPY2R,0.9591919218804824,50,pos
chai,plddt_at_anchors,OPRD,-0.9454010143355918,50,neg
chai,plddt_at_anchors,OPRK,-0.6121016269108277,50,neg
chai,plddt_at_anchors,OPRX,-0.9517913837683397,50,neg
chai,plddt_at_anchors,OPSD,-0.8005514438975724,50,neg
chai,min_plddt_at_anchor,5HT1B,-0.9285232769034523,50,neg
chai,min_plddt_at_anchor,5HT2C,-0.825621874991988,50,neg
chai,min_plddt_at_anchor,5HT5A,-0.7137599882436045,50,neg
chai,min_plddt_at_anchor,AA1R,0.9214111681135119,50,pos
chai,min_plddt_at_anchor,AA2AR,-0.9885933944839899,50,neg
chai,min_plddt_at_anchor,ACM2,-0.9760294706107686,50,neg
chai,min_plddt_at_anchor,ACM4,-0.9581758873514297,50,neg
chai,min_plddt_at_anchor,ADRB2,0.5752559024407183,50,pos
chai,min_plddt_at_anchor,AGTR1,-0.44920605449257606,50,neg
chai,min_plddt_at_anchor,APJ,-0.8070117244881162,50,neg
chai,min_plddt_at_anchor,B1B1U5,0.7445587118341871,50,pos
chai,min_plddt_at_anchor,CCR5,-0.24376675195590616,50,neg
chai,min_plddt_at_anchor,CNR1,-0.09688914571438241,50,neg
chai,min_plddt_at_anchor,CNR2,-0.8383040607733783,50,neg
chai,min_plddt_at_anchor,CXCR2,-0.9881357056534175,50,neg
chai,min_plddt_at_anchor,CXCR4,-0.9915013576900139,50,neg
chai,min_plddt_at_anchor,DRD2,0.9249068614678765,50,pos
chai,min_plddt_at_anchor,EDNRB,0.3670980740780098,50,pos
chai,min_plddt_at_anchor,FSHR,-0.7341173999967961,50,neg
chai,min_plddt_at_anchor,GHSR,-0.9796854328457992,50,neg
chai,min_plddt_at_anchor,GRPR,0.5885547908122415,50,pos
chai,min_plddt_at_anchor,HRH1,-0.940493659645048,50,neg
chai,min_plddt_at_anchor,LPAR1,0.7671844291058537,50,pos
chai,min_plddt_at_anchor,LSHR,-0.9009494599938416,50,neg
chai,min_plddt_at_anchor,LT4R1,0.49984305814482494,50,pos
chai,min_plddt_at_anchor,MCHR1,-0.27585554047676264,50,neg
chai,min_plddt_at_anchor,NPY1R,-0.95690935188284,50,neg
chai,min_plddt_at_anchor,NPY2R,-0.9512238665875837,50,neg
chai,min_plddt_at_anchor,OPRD,-0.9410964633956604,50,neg
chai,min_plddt_at_anchor,OPRK,-0.654200627714077,50,neg
chai,min_plddt_at_anchor,OPRX,-0.9346988696260855,50,neg
chai,min_plddt_at_anchor,OPSD,0.10566928768467253,50,pos
of3,plddt_mean,5HT1B,-0.9593723960430222,50,neg
of3,plddt_mean,5HT2C,-0.962779456086007,50,neg
of3,plddt_mean,5HT5A,-0.8723540449911703,50,neg
of3,plddt_mean,AA1R,0.819650199537442,50,pos
of3,plddt_mean,AA2AR,-0.9499385008834657,50,neg
of3,plddt_mean,ACM2,-0.7658780411164177,50,neg
of3,plddt_mean,ACM4,0.07209545813605515,50,pos
of3,plddt_mean,ADRB2,-0.9424462802413451,50,neg
of3,plddt_mean,AGTR1,-0.5604283274386579,50,neg
of3,plddt_mean,APJ,-0.601237500311258,50,neg
of3,plddt_mean,B1B1U5,-0.6595754102221728,50,neg
of3,plddt_mean,CCR5,-0.9375674245584501,50,neg
of3,plddt_mean,CNR1,-0.8005021461826646,50,neg
of3,plddt_mean,CNR2,-0.8964771946988487,50,neg
of3,plddt_mean,CXCR2,-0.9405510461246305,50,neg
of3,plddt_mean,CXCR4,-0.9711491822264388,50,neg
of3,plddt_mean,DRD2,0.6455577642490113,50,pos
of3,plddt_mean,EDNRB,-0.41678959365425955,50,neg
of3,plddt_mean,FSHR,-0.6852836721744994,50,neg
of3,plddt_mean,GHSR,-0.8470520705588827,50,neg
of3,plddt_mean,GRPR,-0.8954744485103292,50,neg
of3,plddt_mean,HRH1,-0.10869623380506765,50,neg
of3,plddt_mean,LPAR1,-0.7080980505479013,50,neg
of3,plddt_mean,LSHR,-0.8516488036606208,50,neg
of3,plddt_mean,LT4R1,-0.7539937917910265,50,neg
of3,plddt_mean,MCHR1,-0.9376923359724436,50,neg
of3,plddt_mean,NPY1R,-0.8111351048059063,50,neg
of3,plddt_mean,NPY2R,-0.9041411682188376,50,neg
of3,plddt_mean,OPRD,-0.6629674947045318,50,neg
of3,plddt_mean,OPRK,-0.9432091536802729,50,neg
of3,plddt_mean,OPRX,-0.9255266169298176,50,neg
of3,plddt_mean,OPSD,-0.8429150584585792,50,neg
of3,plddt_at_anchors,5HT1B,-0.9579729605208348,50,neg
of3,plddt_at_anchors,5HT2C,-0.9688821217137872,50,neg
of3,plddt_at_anchors,5HT5A,-0.9511507442909707,50,neg
of3,plddt_at_anchors,AA1R,0.9755517922104562,50,pos
of3,plddt_at_anchors,AA2AR,-0.9835116156637408,50,neg
of3,plddt_at_anchors,ACM2,-0.7838251205598212,50,neg
of3,plddt_at_anchors,ACM4,-0.9140365381530675,50,neg
of3,plddt_at_anchors,ADRB2,-0.9472372411242672,50,neg
of3,plddt_at_anchors,AGTR1,-0.5985191957727665,50,neg
of3,plddt_at_anchors,APJ,-0.6043242655547221,50,neg
of3,plddt_at_anchors,B1B1U5,-0.6433027037114625,50,neg
of3,plddt_at_anchors,CCR5,-0.9410178496941131,50,neg
of3,plddt_at_anchors,CNR1,-0.799254932242817,50,neg
of3,plddt_at_anchors,CNR2,-0.8709271650912952,50,neg
of3,plddt_at_anchors,CXCR2,-0.9439420968608998,50,neg
of3,plddt_at_anchors,CXCR4,-0.9718896935783632,50,neg
of3,plddt_at_anchors,DRD2,-0.9321821773091612,50,neg
of3,plddt_at_anchors,EDNRB,-0.4850611215793069,50,neg
of3,plddt_at_anchors,FSHR,-0.9549663470779293,50,neg
of3,plddt_at_anchors,GHSR,-0.8233482419082381,50,neg
of3,plddt_at_anchors,GRPR,-0.914862912736027,50,neg
of3,plddt_at_anchors,HRH1,-0.6220000832351831,50,neg
of3,plddt_at_anchors,LPAR1,-0.7009422885717513,50,neg
of3,plddt_at_anchors,LSHR,-0.9593483716409126,50,neg
of3,plddt_at_anchors,LT4R1,-0.3678447342463925,50,neg
of3,plddt_at_anchors,MCHR1,-0.9682812123108704,50,neg
of3,plddt_at_anchors,NPY1R,-0.8853944261354634,50,neg
of3,plddt_at_anchors,NPY2R,-0.9717089892974111,50,neg
of3,plddt_at_anchors,OPRD,-0.6695640403217387,50,neg
of3,plddt_at_anchors,OPRK,-0.9472292135526503,50,neg
of3,plddt_at_anchors,OPRX,-0.9474077498695096,50,neg
of3,plddt_at_anchors,OPSD,-0.8518542853186803,50,neg
of3,min_plddt_at_anchor,5HT1B,-0.926955967014241,50,neg
of3,min_plddt_at_anchor,5HT2C,-0.9535453908409363,50,neg
of3,min_plddt_at_anchor,5HT5A,-0.4395304530348554,50,neg
of3,min_plddt_at_anchor,AA1R,0.9443311186325227,50,pos
of3,min_plddt_at_anchor,AA2AR,-0.931068621854364,50,neg
of3,min_plddt_at_anchor,ACM2,-0.5641911123965032,50,neg
of3,min_plddt_at_anchor,ACM4,-0.1709441583849992,50,neg
of3,min_plddt_at_anchor,ADRB2,-0.45650020528730045,50,neg
of3,min_plddt_at_anchor,AGTR1,-0.7456515291585373,50,neg
of3,min_plddt_at_anchor,APJ,-0.5417595973099986,50,neg
of3,min_plddt_at_anchor,B1B1U5,-0.6677147628114726,50,neg
of3,min_plddt_at_anchor,CCR5,-0.9443704553657594,50,neg
of3,min_plddt_at_anchor,CNR1,-0.7250971304939865,50,neg
of3,min_plddt_at_anchor,CNR2,-0.6712800914246383,50,neg
of3,min_plddt_at_anchor,CXCR2,-0.9566663035795653,50,neg
of3,min_plddt_at_anchor,CXCR4,-0.9657885444344387,50,neg
of3,min_plddt_at_anchor,DRD2,0.40381334334645747,50,pos
of3,min_plddt_at_anchor,EDNRB,-0.2664186762607868,50,neg
of3,min_plddt_at_anchor,FSHR,-0.885591791305589,50,neg
of3,min_plddt_at_anchor,GHSR,-0.8888961521682914,50,neg
of3,min_plddt_at_anchor,GRPR,-0.9486714640166022,50,neg
of3,min_plddt_at_anchor,HRH1,0.4798492922616219,50,pos
of3,min_plddt_at_anchor,LPAR1,-0.8861903679331465,50,neg
of3,min_plddt_at_anchor,LSHR,-0.7990711245342407,50,neg
of3,min_plddt_at_anchor,LT4R1,-0.60988083680366,50,neg
of3,min_plddt_at_anchor,MCHR1,-0.9592646829285937,50,neg
of3,min_plddt_at_anchor,NPY1R,-0.9240594167734328,50,neg
of3,min_plddt_at_anchor,NPY2R,-0.8358865494042681,50,neg
of3,min_plddt_at_anchor,OPRD,-0.37169616764360525,50,neg
of3,min_plddt_at_anchor,OPRK,-0.9068223414598943,50,neg
of3,min_plddt_at_anchor,OPRX,-0.8802123312251948,50,neg
of3,min_plddt_at_anchor,OPSD,-0.758186720595742,50,neg
protenix,plddt_mean,5HT1B,0.9398302192230846,50,pos
protenix,plddt_mean,5HT2C,0.9843373166470317,50,pos
protenix,plddt_mean,5HT5A,0.9869048677085613,50,pos
protenix,plddt_mean,AA1R,0.9877011026953727,50,pos
protenix,plddt_mean,AA2AR,0.987191638232446,50,pos
protenix,plddt_mean,ACM2,0.9902550754033473,50,pos
protenix,plddt_mean,ACM4,0.9880291637422146,50,pos
protenix,plddt_mean,ADRB2,0.9757941225308097,50,pos
protenix,plddt_mean,AGTR1,0.9179642699011357,50,pos
protenix,plddt_mean,APJ,0.9717036735889307,50,pos
protenix,plddt_mean,B1B1U5,0.9729115064214237,50,pos
protenix,plddt_mean,CCR5,0.9708583200949324,50,pos
protenix,plddt_mean,CNR1,0.4154272376051723,50,pos
protenix,plddt_mean,CNR2,0.844147683050632,50,pos
protenix,plddt_mean,CXCR2,0.5162191423465888,50,pos
protenix,plddt_mean,CXCR4,0.7448280273560012,50,pos
protenix,plddt_mean,DRD2,0.9895158207103474,50,pos
protenix,plddt_mean,EDNRB,0.5514989554910495,50,pos
protenix,plddt_mean,FSHR,0.77416232902325,50,pos
protenix,plddt_mean,GHSR,0.9268002956275867,50,pos
protenix,plddt_mean,GRPR,0.9391023488857182,50,pos
protenix,plddt_mean,HRH1,0.9786107640845046,50,pos
protenix,plddt_mean,LPAR1,0.9841838589137377,50,pos
protenix,plddt_mean,LSHR,0.26073906955420934,50,pos
protenix,plddt_mean,LT4R1,0.9548740485345178,50,pos
protenix,plddt_mean,MCHR1,0.9445866804442223,50,pos
protenix,plddt_mean,NPY1R,0.9346112481389306,50,pos
protenix,plddt_mean,NPY2R,0.961139066562166,50,pos
protenix,plddt_mean,OPRD,0.9680138312029135,50,pos
protenix,plddt_mean,OPRK,0.9608452083500596,50,pos
protenix,plddt_mean,OPRX,0.9861234944277693,50,pos
protenix,plddt_mean,OPSD,0.36899713506623555,50,pos
protenix,plddt_at_anchors,5HT1B,-0.9741828358471624,50,neg
protenix,plddt_at_anchors,5HT2C,0.9154005266220869,50,pos
protenix,plddt_at_anchors,5HT5A,-0.960598377509385,50,neg
protenix,plddt_at_anchors,AA1R,0.9836520587264788,50,pos
protenix,plddt_at_anchors,AA2AR,0.9301407569603237,50,pos
protenix,plddt_at_anchors,ACM2,-0.7282654900427217,50,neg
protenix,plddt_at_anchors,ACM4,-0.1467817464737335,50,neg
protenix,plddt_at_anchors,ADRB2,0.953979893868636,50,pos
protenix,plddt_at_anchors,AGTR1,-0.35544506797568454,50,neg
protenix,plddt_at_anchors,APJ,-0.9199364020287322,50,neg
protenix,plddt_at_anchors,B1B1U5,0.7987171154758613,50,pos
protenix,plddt_at_anchors,CCR5,-0.48385845892074353,50,neg
protenix,plddt_at_anchors,CNR1,-0.49201685000457895,50,neg
protenix,plddt_at_anchors,CNR2,-0.9673229073240699,50,neg
protenix,plddt_at_anchors,CXCR2,-0.9754435322777946,50,neg
protenix,plddt_at_anchors,CXCR4,-0.9027788083647212,50,neg
protenix,plddt_at_anchors,DRD2,0.960966523342287,50,pos
protenix,plddt_at_anchors,EDNRB,-0.9810900118739082,50,neg
protenix,plddt_at_anchors,FSHR,-0.9606049324514832,50,neg
protenix,plddt_at_anchors,GHSR,-0.8003823517913577,50,neg
protenix,plddt_at_anchors,GRPR,0.9275577052490537,50,pos
protenix,plddt_at_anchors,HRH1,0.2420272702979584,50,pos
protenix,plddt_at_anchors,LPAR1,0.9364395047717421,50,pos
protenix,plddt_at_anchors,LSHR,-0.6541613976757319,50,neg
protenix,plddt_at_anchors,LT4R1,-0.9423431665048653,50,neg
protenix,plddt_at_anchors,MCHR1,-0.8290916614961744,50,neg
protenix,plddt_at_anchors,NPY1R,-0.9648586480148118,50,neg
protenix,plddt_at_anchors,NPY2R,0.85789604925728,50,pos
protenix,plddt_at_anchors,OPRD,0.852288826327977,50,pos
protenix,plddt_at_anchors,OPRK,0.870656862305873,50,pos
protenix,plddt_at_anchors,OPRX,0.9681705387036459,50,pos
protenix,plddt_at_anchors,OPSD,-0.9883224797746519,50,neg
protenix,min_plddt_at_anchor,5HT1B,-0.9804157440213415,50,neg
protenix,min_plddt_at_anchor,5HT2C,0.1937131406770651,50,pos
protenix,min_plddt_at_anchor,5HT5A,-0.9903181365201895,50,neg
protenix,min_plddt_at_anchor,AA1R,0.5131409415942345,50,pos
protenix,min_plddt_at_anchor,AA2AR,-0.9702269344410523,50,neg
protenix,min_plddt_at_anchor,ACM2,0.223891853913283,50,pos
protenix,min_plddt_at_anchor,ACM4,0.7838179449401261,50,pos
protenix,min_plddt_at_anchor,ADRB2,0.9852094856033248,50,pos
protenix,min_plddt_at_anchor,AGTR1,-0.935151635232666,50,neg
protenix,min_plddt_at_anchor,APJ,-0.9909214435707685,50,neg
protenix,min_plddt_at_anchor,B1B1U5,0.07456866061620956,50,pos
protenix,min_plddt_at_anchor,CCR5,-0.9853371982324122,50,neg
protenix,min_plddt_at_anchor,CNR1,-0.382049104709415,50,neg
protenix,min_plddt_at_anchor,CNR2,-0.9507055755014487,50,neg
protenix,min_plddt_at_anchor,CXCR2,-0.9902834202448233,50,neg
protenix,min_plddt_at_anchor,CXCR4,-0.9282970153803712,50,neg
protenix,min_plddt_at_anchor,DRD2,0.9819379803362128,50,pos
protenix,min_plddt_at_anchor,EDNRB,-0.9935870107279494,50,neg
protenix,min_plddt_at_anchor,FSHR,-0.9277305335698126,50,neg
protenix,min_plddt_at_anchor,GHSR,-0.8422260862415495,50,neg
protenix,min_plddt_at_anchor,GRPR,0.9383793353826191,50,pos
protenix,min_plddt_at_anchor,HRH1,0.9484193240845038,50,pos
protenix,min_plddt_at_anchor,LPAR1,-0.837245471671507,50,neg
protenix,min_plddt_at_anchor,LSHR,-0.5029972581273864,50,neg
protenix,min_plddt_at_anchor,LT4R1,-0.9802996612322951,50,neg
protenix,min_plddt_at_anchor,MCHR1,0.139644023972351,50,pos
protenix,min_plddt_at_anchor,NPY1R,-0.9907903753550772,50,neg
protenix,min_plddt_at_anchor,NPY2R,-0.9785282051139189,50,neg
protenix,min_plddt_at_anchor,OPRD,-0.6582283955992582,50,neg
protenix,min_plddt_at_anchor,OPRK,0.6990550085432156,50,pos
protenix,min_plddt_at_anchor,OPRX,0.026623887210753646,50,pos
protenix,min_plddt_at_anchor,OPSD,-0.9966334707742633,50,neg
