receptor,backbone,cluster,apo_rate,apo_n,apo_n_nan_np,decoy_rate,decoy_n,decoy_n_nan_np,shuffled_rate,shuffled_n,shuffled_n_nan_np,cognate_rate,cognate_n,cognate_n_nan_np,delta_apo_to_decoy,delta_decoy_to_shuffled,delta_shuffled_to_cognate,ceiling_pinned,floor_pinned,all_nan_np_arm
CXCR2,boltz,chemokine_cxcr,0.0,50,0,0.0,50,0,1.0,50,0,0.98,50,0,0.0,1.0,-0.020000000000000018,True,True,False
CXCR4,boltz,chemokine_cxcr,0.0,50,0,0.0,50,0,0.0,50,0,0.0,50,0,0.0,0.0,0.0,False,True,False
DRD2,boltz,dopamine,0.0,50,0,0.74,50,0,1.0,50,0,1.0,50,0,0.74,0.26,0.0,True,True,False
DRD3,boltz,dopamine,0.0,50,0,0.0,50,0,1.0,50,0,0.92,50,0,0.0,1.0,-0.07999999999999996,False,True,False
EDNRA,boltz,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
EDNRB,boltz,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
FSHR,boltz,glycohormone,0.9,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.09999999999999998,0.0,0.0,True,False,False
GHSR,boltz,ghrelin,0.0,50,0,0.22,50,0,1.0,50,0,1.0,50,0,0.22,0.78,0.0,True,True,False
GRPR,boltz,bombesin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
HRH1,boltz,histamine,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
HRH3,boltz,histamine,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
LPAR1,boltz,lysophosphatidic,0.0,50,0,0.6,50,0,1.0,50,0,1.0,50,0,0.6,0.4,0.0,True,True,False
LSHR,boltz,glycohormone,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
LT4R1,boltz,leukotriene,0.0,50,0,0.02,50,0,1.0,50,0,1.0,50,0,0.02,0.98,0.0,True,True,False
MCHR1,boltz,melanin_concentrating_hormone,0.0,50,0,0.98,50,0,1.0,50,0,1.0,50,0,0.98,0.020000000000000018,0.0,True,True,False
NPY1R,boltz,npy,0.02,50,0,0.32,50,0,0.98,50,0,1.0,50,0,0.3,0.6599999999999999,0.020000000000000018,True,True,False
NPY2R,boltz,npy,0.02,50,0,0.52,50,0,1.0,50,0,1.0,50,0,0.5,0.48,0.0,True,True,False
OPRD,boltz,opioid,0.0,50,0,0.46,50,0,1.0,50,0,0.98,50,0,0.46,0.54,-0.020000000000000018,True,True,False
OPRK,boltz,opioid,0.06,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.94,0.0,0.0,True,False,False
OPRX,boltz,opioid_nociceptin,0.0,50,0,0.0,50,0,1.0,50,0,1.0,50,0,0.0,1.0,0.0,True,True,False
OPSD,boltz,opsin_vertebrate,0.3,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.7,0.0,0.0,True,False,False
OX2R,boltz,orexin,0.0,50,0,0.8,50,0,0.9,50,0,1.0,50,0,0.8,0.09999999999999998,0.09999999999999998,True,True,False
5HT1B,chai,serotonin,0.0,50,0,0.12,50,0,1.0,50,0,1.0,50,0,0.12,0.88,0.0,True,True,False
5HT2C,chai,serotonin,0.0,50,0,0.0,50,0,0.0,50,0,0.0,50,0,0.0,0.0,0.0,False,True,False
5HT5A,chai,serotonin,0.32,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.6799999999999999,0.0,0.0,True,False,False
AA1R,chai,adenosine,0.0,50,0,0.0,50,0,1.0,50,0,0.0,50,0,0.0,1.0,-1.0,False,True,False
AA2AR,chai,adenosine,0.0,50,0,0.9,50,0,1.0,50,0,1.0,50,0,0.9,0.09999999999999998,0.0,True,True,False
ACM1,chai,muscarinic,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
ACM2,chai,muscarinic,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
ACM4,chai,muscarinic,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
ADA2A,chai,adrenergic_alpha,0.98,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.020000000000000018,0.0,0.0,True,False,False
ADRB1,chai,adrenergic_beta,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
ADRB2,chai,adrenergic_beta,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
AGTR1,chai,angiotensin,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
APJ,chai,apelin,0.02,50,0,0.2,50,0,0.24,50,0,1.0,50,0,0.18000000000000002,0.03999999999999998,0.76,True,True,False
B1B1U5,chai,opsin_invertebrate_jsr1,0.0,50,0,0.0,50,0,0.06,50,0,0.0,50,0,0.0,0.06,-0.06,False,True,False
CCKAR,chai,cholecystokinin,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
CCR5,chai,chemokine_ccr,0.0,50,0,0.0,50,0,0.02,50,0,0.0,50,0,0.0,0.02,-0.02,False,True,False
CNR1,chai,cannabinoid,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
CNR2,chai,cannabinoid,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
CXCR2,chai,chemokine_cxcr,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
CXCR4,chai,chemokine_cxcr,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
DRD2,chai,dopamine,0.0,50,0,0.0,50,0,1.0,50,0,1.0,50,0,0.0,1.0,0.0,True,True,False
DRD3,chai,dopamine,0.0,50,0,0.0,50,0,0.0,50,0,1.0,50,0,0.0,0.0,1.0,True,True,False
EDNRA,chai,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
EDNRB,chai,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
FSHR,chai,glycohormone,0.72,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.28,0.0,0.0,True,False,False
GHSR,chai,ghrelin,0.0,50,0,0.0,50,0,0.92,50,0,0.86,50,0,0.0,0.92,-0.06000000000000005,False,True,False
GRPR,chai,bombesin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
HRH1,chai,histamine,0.0,50,0,0.98,50,0,1.0,50,0,1.0,50,0,0.98,0.020000000000000018,0.0,True,True,False
HRH3,chai,histamine,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
LPAR1,chai,lysophosphatidic,0.0,50,0,0.0,50,0,0.1,50,0,0.02,50,0,0.0,0.1,-0.08,False,True,False
LSHR,chai,glycohormone,1.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.0,0.0,0.0,True,False,False
LT4R1,chai,leukotriene,0.0,50,0,0.0,50,0,0.0,50,0,0.0,50,0,0.0,0.0,0.0,False,True,False
MCHR1,chai,melanin_concentrating_hormone,0.88,50,0,0.94,50,0,0.98,50,0,1.0,50,0,0.05999999999999994,0.040000000000000036,0.020000000000000018,True,False,False
NPY1R,chai,npy,0.0,50,0,0.0,50,0,0.04,50,0,1.0,50,0,0.0,0.04,0.96,True,True,False
NPY2R,chai,npy,0.0,50,0,0.0,50,0,0.02,50,0,1.0,50,0,0.0,0.02,0.98,True,True,False
OPRD,chai,opioid,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
OPRK,chai,opioid,0.78,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.21999999999999997,0.0,0.0,True,False,False
OPRX,chai,opioid_nociceptin,0.0,50,0,0.86,50,0,1.0,50,0,1.0,50,0,0.86,0.14,0.0,True,True,False
OPSD,chai,opsin_vertebrate,0.94,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.06000000000000005,0.0,0.0,True,False,False
OX2R,chai,orexin,0.0,50,0,0.0,50,0,0.0,50,0,0.7,50,0,0.0,0.0,0.7,False,True,False
5HT1B,of3,serotonin,0.16,50,0,0.84,50,0,1.0,50,0,1.0,50,0,0.6799999999999999,0.16000000000000003,0.0,True,False,False
5HT2C,of3,serotonin,0.0,50,0,0.0,50,0,0.02,50,0,0.52,50,0,0.0,0.02,0.5,False,True,False
5HT5A,of3,serotonin,0.0,50,0,0.44,50,0,0.98,50,0,1.0,50,0,0.44,0.54,0.020000000000000018,True,True,False
AA1R,of3,adenosine,0.0,50,0,0.02,50,0,0.34,50,0,0.24,50,0,0.02,0.32,-0.10000000000000003,False,True,False
AA2AR,of3,adenosine,0.0,50,0,0.56,50,0,1.0,50,0,1.0,50,0,0.56,0.43999999999999995,0.0,True,True,False
ACM1,of3,muscarinic,0.0,50,0,0.0,50,0,0.08,50,0,0.12,50,0,0.0,0.08,0.039999999999999994,False,True,False
ACM2,of3,muscarinic,0.0,50,0,0.08,50,0,0.8,50,0,1.0,50,0,0.08,0.7200000000000001,0.19999999999999996,True,True,False
ACM4,of3,muscarinic,0.0,50,0,0.4,50,0,0.0,50,0,0.8,50,0,0.4,-0.4,0.8,False,True,False
ADA2A,of3,adrenergic_alpha,0.0,50,0,0.0,50,0,0.52,50,0,1.0,50,0,0.0,0.52,0.48,True,True,False
ADRB1,of3,adrenergic_beta,0.0,50,0,0.28,50,0,0.84,50,0,0.92,50,0,0.28,0.5599999999999999,0.08000000000000007,False,True,False
ADRB2,of3,adrenergic_beta,0.08,50,0,0.44,50,0,0.98,50,0,0.8,50,0,0.36,0.54,-0.17999999999999994,False,False,False
AGTR1,of3,angiotensin,0.3,50,0,0.36,50,0,0.96,50,0,1.0,50,0,0.06,0.6,0.040000000000000036,True,False,False
APJ,of3,apelin,0.58,50,0,0.38,50,0,0.9,50,0,0.92,50,0,-0.19999999999999996,0.52,0.020000000000000018,False,False,False
B1B1U5,of3,opsin_invertebrate_jsr1,0.02,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.98,0.0,0.0,True,True,False
CCKAR,of3,cholecystokinin,0.16,50,0,1.0,50,0,0.96,50,0,0.98,50,0,0.84,-0.040000000000000036,0.020000000000000018,True,False,False
CCR5,of3,chemokine_ccr,0.38,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.62,0.0,0.0,True,False,False
CNR1,of3,cannabinoid,0.48,50,0,1.0,50,0,0.98,50,0,1.0,50,0,0.52,-0.020000000000000018,0.020000000000000018,True,False,False
CNR2,of3,cannabinoid,0.02,50,0,0.96,50,0,1.0,50,0,1.0,50,0,0.94,0.040000000000000036,0.0,True,True,False
CXCR2,of3,chemokine_cxcr,0.02,50,0,0.58,50,0,0.88,50,0,1.0,50,0,0.5599999999999999,0.30000000000000004,0.12,True,True,False
CXCR4,of3,chemokine_cxcr,0.04,50,0,0.4,50,0,1.0,50,0,0.98,50,0,0.36000000000000004,0.6,-0.020000000000000018,True,False,False
DRD2,of3,dopamine,0.02,50,0,0.18,50,0,0.72,50,0,0.98,50,0,0.16,0.54,0.26,True,True,False
DRD3,of3,dopamine,0.0,50,0,0.9,50,0,0.94,50,0,1.0,50,0,0.9,0.039999999999999925,0.06000000000000005,True,True,False
EDNRA,of3,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
EDNRB,of3,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
FSHR,of3,glycohormone,0.3,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.7,0.0,0.0,True,False,False
GHSR,of3,ghrelin,0.0,50,0,0.08,50,0,0.6,50,0,1.0,50,0,0.08,0.52,0.4,True,True,False
GRPR,of3,bombesin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
HRH1,of3,histamine,0.0,50,0,0.02,50,0,0.0,50,0,0.24,50,0,0.02,-0.02,0.24,False,True,False
HRH3,of3,histamine,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
LPAR1,of3,lysophosphatidic,0.92,50,0,0.5,50,0,0.84,50,0,0.9,50,0,-0.42000000000000004,0.33999999999999997,0.06000000000000005,False,False,False
LSHR,of3,glycohormone,0.14,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.86,0.0,0.0,True,False,False
LT4R1,of3,leukotriene,0.04,50,0,0.1,50,0,0.3,50,0,0.08,50,0,0.060000000000000005,0.19999999999999998,-0.21999999999999997,False,False,False
MCHR1,of3,melanin_concentrating_hormone,0.02,50,0,0.9,50,0,0.76,50,0,0.98,50,0,0.88,-0.14,0.21999999999999997,True,True,False
NPY1R,of3,npy,0.02,50,0,0.04,50,0,0.9,50,0,1.0,50,0,0.02,0.86,0.09999999999999998,True,True,False
NPY2R,of3,npy,0.0,50,0,0.16,50,0,0.16,50,0,1.0,50,0,0.16,0.0,0.84,True,True,False
OPRD,of3,opioid,0.14,50,0,0.22,50,0,0.68,50,0,0.98,50,0,0.07999999999999999,0.4600000000000001,0.29999999999999993,True,False,False
OPRK,of3,opioid,0.0,50,0,0.08,50,0,0.36,50,0,0.94,50,0,0.08,0.27999999999999997,0.58,False,True,False
OPRX,of3,opioid_nociceptin,0.08,50,0,0.16,50,0,0.76,50,0,1.0,50,0,0.08,0.6,0.24,True,False,False
OPSD,of3,opsin_vertebrate,0.04,50,0,0.8,50,0,1.0,50,0,1.0,50,0,0.76,0.19999999999999996,0.0,True,False,False
OX2R,of3,orexin,0.0,50,0,0.06,50,0,0.68,50,0,0.88,50,0,0.06,0.6200000000000001,0.19999999999999996,False,True,False
5HT1B,protenix,serotonin,0.06,50,0,0.98,50,0,1.0,50,0,1.0,50,0,0.9199999999999999,0.020000000000000018,0.0,True,False,False
5HT2C,protenix,serotonin,0.0,50,0,0.0,50,0,0.12,50,0,0.1,50,0,0.0,0.12,-0.01999999999999999,False,True,False
5HT5A,protenix,serotonin,0.0,50,0,0.8,50,0,1.0,50,0,1.0,50,0,0.8,0.19999999999999996,0.0,True,True,False
AA1R,protenix,adenosine,0.0,50,0,0.0,50,0,0.8,50,0,1.0,50,0,0.0,0.8,0.19999999999999996,True,True,False
AA2AR,protenix,adenosine,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
ACM1,protenix,muscarinic,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
ACM2,protenix,muscarinic,0.0,50,0,0.18,50,0,1.0,50,0,1.0,50,0,0.18,0.8200000000000001,0.0,True,True,False
ACM4,protenix,muscarinic,0.0,50,0,0.8,50,0,1.0,50,0,1.0,50,0,0.8,0.19999999999999996,0.0,True,True,False
ADA2A,protenix,adrenergic_alpha,0.0,50,0,0.0,50,0,1.0,50,0,1.0,50,0,0.0,1.0,0.0,True,True,False
ADRB1,protenix,adrenergic_beta,0.0,50,0,0.8,50,0,1.0,50,0,1.0,50,0,0.8,0.19999999999999996,0.0,True,True,False
ADRB2,protenix,adrenergic_beta,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
AGTR1,protenix,angiotensin,0.0,50,0,0.6,50,0,1.0,50,0,1.0,50,0,0.6,0.4,0.0,True,True,False
APJ,protenix,apelin,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
B1B1U5,protenix,opsin_invertebrate_jsr1,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
CCKAR,protenix,cholecystokinin,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
CCR5,protenix,chemokine_ccr,0.0,50,0,0.4,50,0,1.0,50,0,1.0,50,0,0.4,0.6,0.0,True,True,False
CNR1,protenix,cannabinoid,0.7,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.30000000000000004,0.0,0.0,True,False,False
CNR2,protenix,cannabinoid,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
CXCR2,protenix,chemokine_cxcr,0.0,50,0,0.26,50,0,1.0,50,0,1.0,50,0,0.26,0.74,0.0,True,True,False
CXCR4,protenix,chemokine_cxcr,0.0,50,0,0.8,50,0,1.0,50,0,1.0,50,0,0.8,0.19999999999999996,0.0,True,True,False
DRD2,protenix,dopamine,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
DRD3,protenix,dopamine,0.0,50,0,0.2,50,0,1.0,50,0,1.0,50,0,0.2,0.8,0.0,True,True,False
EDNRA,protenix,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
EDNRB,protenix,endothelin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
FSHR,protenix,glycohormone,0.92,50,0,1.0,50,0,1.0,50,0,1.0,50,0,0.07999999999999996,0.0,0.0,True,False,False
GHSR,protenix,ghrelin,0.0,50,0,0.4,50,0,1.0,50,0,1.0,50,0,0.4,0.6,0.0,True,True,False
GRPR,protenix,bombesin,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
HRH1,protenix,histamine,0.0,50,0,0.98,50,0,1.0,50,0,1.0,50,0,0.98,0.020000000000000018,0.0,True,True,False
HRH3,protenix,histamine,0.0,50,50,0.0,50,50,0.0,50,50,0.0,50,50,0.0,0.0,0.0,False,True,True
LPAR1,protenix,lysophosphatidic,0.0,50,0,1.0,50,0,0.88,50,0,1.0,50,0,1.0,-0.12,0.12,True,True,False
LSHR,protenix,glycohormone,0.9,50,0,0.98,50,0,1.0,50,0,1.0,50,0,0.07999999999999996,0.020000000000000018,0.0,True,False,False
LT4R1,protenix,leukotriene,0.0,50,0,0.08,50,0,0.4,50,0,1.0,50,0,0.08,0.32,0.6,True,True,False
MCHR1,protenix,melanin_concentrating_hormone,0.0,50,0,1.0,50,0,1.0,50,0,0.96,50,0,1.0,0.0,-0.040000000000000036,False,True,False
NPY1R,protenix,npy,0.0,50,0,0.06,50,0,1.0,50,0,1.0,50,0,0.06,0.94,0.0,True,True,False
NPY2R,protenix,npy,0.0,50,0,0.0,50,0,1.0,50,0,1.0,50,0,0.0,1.0,0.0,True,True,False
OPRD,protenix,opioid,0.0,50,0,1.0,50,0,1.0,50,0,1.0,50,0,1.0,0.0,0.0,True,True,False
OPRK,protenix,opioid,0.0,50,0,0.78,50,0,1.0,50,0,1.0,50,0,0.78,0.21999999999999997,0.0,True,True,False
OPRX,protenix,opioid_nociceptin,0.0,50,0,0.02,50,0,1.0,50,0,1.0,50,0,0.02,0.98,0.0,True,True,False
OPSD,protenix,opsin_vertebrate,0.0,50,0,0.46,50,0,1.0,50,0,1.0,50,0,0.46,0.54,0.0,True,True,False
OX2R,protenix,orexin,0.0,50,0,0.88,50,0,1.0,50,0,1.0,50,0,0.88,0.12,0.0,True,True,False
