receptor,role,pdb_id,method,resolution,stabilising_elements,construct,alpha5_donor_class,active_stabilization_source,activation_class,deviation_class,pending_annotation_correction,correction_note,missing_inactive_flag,notes,ref_source
ACM1,active,6OIJ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,Gq,chimera,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,stabilising_elements=none but RCSB shows chimera (donor=Gq) | CHIMERA α5-CT donor=Gq; scaffold-vs-α5-CT class mismatch — coupling assignment must not rely on UniProt Gα accession of scaffold. | DRY NaN despite E/D at 6.30 in 6OIJ (R3.50 CZ or side-chain carboxyl truncated).,sealed
ACM1,inactive,6ZFZ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,T4L,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
ACM2,active,7T94,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,native,Ga-complexed-native,no_deviation,False,,False,,pinned
ACM2,inactive,5ZKC,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
ACM4,active,7TRP,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,native,Ga-complexed-native,no_deviation,False,,False,,pinned
ACM4,inactive,5DSG,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,T4L,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
ADA2A,active,9CBL,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,DRY NaN despite E/D at 6.30 in 9CBL (R3.50 CZ or side-chain carboxyl truncated).,sealed
ADA2A,inactive,6KUX,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,DRY NaN despite E/D at 6.30 in 6KUX (R3.50 CZ or side-chain carboxyl truncated).,pinned
ADRB1,active,7BU7,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,nanobody,wt,,nanobody,nanobody-stabilised,expected_biology,False,,False,,sealed
ADRB1,inactive,7BVQ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-inverse-agonist,no_deviation,False,,False,,pinned
ADRB2,active,4LDE,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,nanobody,wt,,nanobody,nanobody-stabilised,expected_biology,False,,False,,pinned
ADRB2,inactive,6PS2,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False," | dispatch preload #3: ""missing inactive at scoring time"" — CHECK: blockb_pinned lists 1 inactive ref(s); primary present, so delta_to_inactive/rmsd_to_inactive NOT NaN on this axis.",pinned
AGTR1,active,6OS2,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,nanobody,wt,,nanobody,nanobody-stabilised,pending_curation_error,True,TRV026 β-arrestin-biased — pending annotation correction (commit cda27e2). Inverts on Block C classifier across all 4 backbones.,False,6.30 is neither Glu nor Asp (observed N); DRY ionic-lock reference will be NaN.,pinned
AGTR1,inactive,4ZUD,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,BRIL,wt,,,inactive-inverse-agonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed N); DRY ionic-lock reference will be NaN.,pinned
APJ,active,8XZH,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
APJ,inactive,8S4D,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
B1B1U5,active,9EPR,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,PDB updated 9EPP→9EPR per PREREG §5: 9EPP is a Gi/q chimera (Gαi1 scaffold + Gαq α5-CT graft) that would mis-assign coupling via UniProt lookup; 9EPR is the native Gi heterotrimer from the same Tejero NatCommun 2024 deposition. d_r350_r630_ca_ref regenerated from 9EPR on 2026-09-01 (14.29 Å); provenance_sha256 refreshed accordingly.,pinned
B1B1U5,inactive,6I9K,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-inverse-agonist,no_deviation,False,,False,,pinned
CCKAR,active,7MBX,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,nanobody,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed K); DRY ionic-lock reference will be NaN.,sealed
CCKAR,inactive,7F8Y,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed K); DRY ionic-lock reference will be NaN.,pinned
CCR5,active,7F1S,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
CCR5,inactive,5UIW,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
CNR1,active,5XRA,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,agonist_only,agonist-only-no-partner,expected_biology,False,,False,6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,pinned
CNR1,inactive,5U09,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-inverse-agonist,no_deviation,False,,False,"6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1. | dispatch preload #3: ""missing inactive at scoring time"" — CHECK: blockb_pinned lists 1 inactive ref(s); primary present, so delta_to_inactive/rmsd_to_inactive NOT NaN on this axis.",pinned
CNR2,active,8GUR,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,pinned
CNR2,inactive,5ZTY,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,pending_curation_error,True,R242E at BW 6.30 (TM6 tilt anchor) — pending annotation correction (commit cda27e2). Inverts on Block C classifier across all 4 backbones.,False,6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,pinned
CXCR2,active,6LFO,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed K); DRY ionic-lock reference will be NaN.,pinned
CXCR2,inactive,6LFL,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed K); DRY ionic-lock reference will be NaN.,pinned
CXCR4,active,8U4N,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed K); DRY ionic-lock reference will be NaN.,pinned
CXCR4,inactive,3ODU,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,T4L,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed K); DRY ionic-lock reference will be NaN.,pinned
DRD2,active,7JVR,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,,pinned
DRD2,inactive,6CM4,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-inverse-agonist,no_deviation,False,,False,,pinned
DRD3,active,8IRT,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,,sealed
DRD3,inactive,3PBL,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,T4L,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
EDNRA,active,8HCQ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,7.53 is not Tyr in this receptor (observed L); NPxxY OH-OH not meaningful. | 6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,sealed
EDNRA,inactive,8XVK,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,7.53 is not Tyr in this receptor (observed L); NPxxY OH-OH not meaningful. | 6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
EDNRB,active,8IY5,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,native,Ga-complexed-native,no_deviation,False,,False,7.53 is not Tyr in this receptor (observed L); NPxxY OH-OH not meaningful. | 6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
EDNRB,inactive,6IGK,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,7.53 is not Tyr in this receptor (observed L); NPxxY OH-OH not meaningful. | 6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
FSHR,active,8I2G,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,stabilising_elements=none but RCSB shows mini_G | Intra-Gs engineered construct (Gs subunit alpha + Gs-XLas isoform); α5-CT still Gs class; no scaffold/α5-CT mismatch. | 6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,pinned
FSHR,inactive,8I2H,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,5.58 Y sidechain OH not resolved in 8I2H; 7.53 Y sidechain OH not resolved in 8I2H | 6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.; Y5.58-pack NaN despite Y at 5.58 in 8I2H (side-chain OH truncated or no TM3/6 neighbours resolved).; DRY NaN despite E/D at 6.30 in 8I2H (R3.50 CZ or side-chain carboxyl truncated).,pinned
GHSR,active,7NA7,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed H); DRY ionic-lock reference will be NaN.,pinned
GHSR,inactive,7F83,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-inverse-agonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed H); DRY ionic-lock reference will be NaN.,pinned
GRPR,active,7W40,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,native,Ga-complexed-native,no_deviation,False,,False,7.53 is not Tyr in this receptor (observed L); NPxxY OH-OH not meaningful. | 6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
GRPR,inactive,7W41,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,7.53 is not Tyr in this receptor (observed L); NPxxY OH-OH not meaningful.,pinned
HRH1,active,8YN2,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,,pinned
HRH1,inactive,8X5Y,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,BRIL,wt,,,inactive-antagonist,no_deviation,False,,False,,pinned
HRH3,active,8YUU,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,5.58 is not Tyr in this receptor (observed N); NPxxY OH-OH not meaningful. | 5.58 is not Tyr in this receptor (observed N); Y5.58-pack reference not meaningful.; 6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,sealed
HRH3,inactive,7F61,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,5.58 is not Tyr in this receptor (observed N); NPxxY OH-OH not meaningful. | 5.58 is not Tyr in this receptor (observed N); Y5.58-pack reference not meaningful.; 6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,pinned
LPAR1,active,7TD0,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed M); DRY ionic-lock reference will be NaN.,pinned
LPAR1,inactive,4Z36,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed M); DRY ionic-lock reference will be NaN.,pinned
LSHR,active,7FIH,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,stabilising_elements=none but RCSB shows mini_G | 6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.,pinned
LSHR,inactive,7FIJ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,5.58 Y sidechain OH not resolved in 7FIJ; 7.53 Y sidechain OH not resolved in 7FIJ | 6.30 is Asp (not Glu) in this receptor; DRY reference uses OD1 fallback in place of OE1.; Y5.58-pack NaN despite Y at 5.58 in 7FIJ (side-chain OH truncated or no TM3/6 neighbours resolved).; DRY NaN despite E/D at 6.30 in 7FIJ (R3.50 CZ or side-chain carboxyl truncated).,pinned
LT4R1,active,7VKT,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed S); DRY ionic-lock reference will be NaN.,pinned
LT4R1,inactive,7K15,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed S); DRY ionic-lock reference will be NaN.,pinned
MCHR1,active,8WWK,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed T); DRY ionic-lock reference will be NaN.,pinned
MCHR1,inactive,8YNS,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed T); DRY ionic-lock reference will be NaN.,pinned
NPY1R,active,7X9A,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed T); DRY ionic-lock reference will be NaN.,pinned
NPY1R,inactive,5ZBQ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed T); DRY ionic-lock reference will be NaN.,pinned
NPY2R,active,7YON,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,scFv,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
NPY2R,inactive,7DDZ,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
OPRD,active,6PT2,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,agonist_only,agonist-only-no-partner,expected_biology,False,,False,6.30 is neither Glu nor Asp (observed L); DRY ionic-lock reference will be NaN.,pinned
OPRD,inactive,4N6H,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed L); DRY ionic-lock reference will be NaN.,pinned
OPRK,active,8FEG,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed L); DRY ionic-lock reference will be NaN.,pinned
OPRK,inactive,4DJH,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,T4L,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed L); DRY ionic-lock reference will be NaN.,pinned
OPRX,active,8F7X,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed L); DRY ionic-lock reference will be NaN.,pinned
OPRX,inactive,5DHH,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed L); DRY ionic-lock reference will be NaN.,pinned
OPSD,active,4X1H,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,native,Ga-complexed-native,no_deviation,False,,False,α5-CT peptide of Gαt only (no full Gα subunit); native α5-CT donor class Gt; not a heterotrimer.,pinned
OPSD,inactive,7ZBC,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-inverse-agonist,no_deviation,False,,False,,pinned
OX2R,active,7L1V,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,mini_G,Ga-complexed-chimera-or-miniG,expected_biology,False,,False,stabilising_elements=none but RCSB shows mini_G | 6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,sealed
OX2R,inactive,5WQC,X-ray or cryo-EM (schema lacks explicit method column),not tracked in reference_set schema,none,wt,,,inactive-antagonist,no_deviation,False,,False,6.30 is neither Glu nor Asp (observed R); DRY ionic-lock reference will be NaN.,pinned
