receptor,backbone,axis,x,y,gpcr_class,cluster_id,n_rows_used,included_baseline,included_class_a_only,included_no_holds
HRH3,boltz,npxxy,,,A,HRH,50,False,False,False
LPAR1,boltz,tilt,6.540000999999998,5.756522560967825,A,SINGLETON_LPAR1,50,True,True,True
LPAR1,boltz,npxxy,-5.192592000000001,-4.602421065162702,A,SINGLETON_LPAR1,50,True,True,True
LSHR,boltz,tilt,7.156556000000002,0.329834796546784,A,GLYCOPROTEIN,50,True,True,True
LSHR,boltz,npxxy,,0.3381742903671867,A,GLYCOPROTEIN,50,False,False,False
LT4R1,boltz,tilt,5.9134540000000015,5.6921783140381255,A,SINGLETON_LT4R1,50,True,True,True
LT4R1,boltz,npxxy,-8.16752,-7.751433907221283,A,SINGLETON_LT4R1,50,True,True,True
MCHR1,boltz,tilt,4.580696,5.733083445115934,A,SINGLETON_MCHR1,50,True,True,False
MCHR1,boltz,npxxy,-2.009340999999999,-5.283210317734378,A,SINGLETON_MCHR1,50,True,True,False
NPY1R,boltz,tilt,5.040165999999999,4.961026205042563,A,NPY,50,True,True,True
NPY1R,boltz,npxxy,-5.970039,-5.210688570244227,A,NPY,50,True,True,True
NPY2R,boltz,tilt,5.592457000000001,5.024250499413073,A,NPY,50,True,True,True
NPY2R,boltz,npxxy,-5.801127,-5.473877494829974,A,NPY,50,True,True,True
OPRD,boltz,tilt,3.728368999999999,5.607898731878386,A,opioid,50,True,True,False
OPRD,boltz,npxxy,2.4976699999999994,-11.395183855952824,A,opioid,50,True,True,False
OPRK,boltz,tilt,5.625022000000001,5.67280401113012,A,opioid,50,True,True,True
OPRK,boltz,npxxy,-7.604551,-7.171827540154638,A,opioid,50,True,True,True
OPRX,boltz,tilt,5.977647000000001,5.765084275423259,A,opioid,50,True,True,True
OPRX,boltz,npxxy,-6.683811,-7.100074038259254,A,opioid,50,True,True,True
OPSD,boltz,tilt,4.126431,1.864671054829433,A,OPSIN,50,True,True,True
OPSD,boltz,npxxy,-19.534927,-7.847201881464115,A,OPSIN,50,True,True,True
OX2R,boltz,tilt,,3.527801214789603,A,SINGLETON_OX2R,50,False,False,False
OX2R,boltz,npxxy,,-3.1216377519594127,A,SINGLETON_OX2R,50,False,False,False
PTH1R,boltz,tilt,10.579623000000002,0.1634606041419672,B,CLASS_B,50,True,False,False
PTH1R,boltz,npxxy,,,B,CLASS_B,50,False,False,False
SMO,boltz,tilt,4.872239499999999,0.2227643140391038,F,FZD,50,True,False,False
SMO,boltz,npxxy,,,F,FZD,50,False,False,False
5HT1B,chai,tilt,3.7945300000000017,3.293423480806723,A,5HT,50,True,True,True
5HT1B,chai,npxxy,-8.568625,-9.83438052642263,A,5HT,50,True,True,True
5HT2C,chai,tilt,5.032884000000001,3.7112632618736594,A,5HT,50,True,True,False
5HT2C,chai,npxxy,-1.273892,-2.116006594580897,A,5HT,50,True,True,False
5HT5A,chai,tilt,6.1184840000000005,2.9430619869206893,A,5HT,50,True,True,True
5HT5A,chai,npxxy,-14.608591999999998,-10.53229289436506,A,5HT,50,True,True,True
AA1R,chai,tilt,5.179174,0.5008535590265986,A,SINGLETON_AA1R,50,True,True,True
AA1R,chai,npxxy,-5.755420999999999,2.207879111890758,A,SINGLETON_AA1R,50,True,True,True
AA2AR,chai,tilt,6.1267672859230515,5.9182143865965955,A,ADA_adenosine,50,True,True,True
AA2AR,chai,npxxy,-5.960439922689195,-5.652788481384514,A,ADA_adenosine,50,True,True,True
ACM1,chai,tilt,,4.709382715633703,A,ACM,50,False,False,False
ACM1,chai,npxxy,,-14.375727260229173,A,ACM,50,False,False,False
ACM2,chai,tilt,5.670973,3.4521079517505004,A,SINGLETON_ACM2,50,True,True,True
ACM2,chai,npxxy,-13.623505000000002,-14.794135747361446,A,SINGLETON_ACM2,50,True,True,True
ACM4,chai,tilt,5.897988,3.763101673181138,A,ACM,50,True,True,True
ACM4,chai,npxxy,-12.779903999999998,-14.910417153028334,A,ACM,50,True,True,True
ADA2A,chai,tilt,,0.3906974621664894,A,ADA_a2a,50,False,False,False
ADA2A,chai,npxxy,,0.0815576026217765,A,ADA_a2a,50,False,False,False
ADRB1,chai,tilt,,-0.299920064006006,A,ADR,50,False,False,False
ADRB1,chai,npxxy,,-0.0295311714676813,A,ADR,50,False,False,False
ADRB2,chai,tilt,5.634227103599299,-0.1187940729104504,A,ADR,50,True,True,True
ADRB2,chai,npxxy,-6.5812425650102995,-0.0397959414876183,A,ADR,50,True,True,True
AGTR1,chai,tilt,7.857559,-0.3002626917268465,A,SINGLETON_AGTR1,50,True,True,True
AGTR1,chai,npxxy,-7.732562,-0.1679434969708841,A,SINGLETON_AGTR1,50,True,True,True
APJ,chai,tilt,2.292432999999999,6.612948673785764,A,SINGLETON_APJ,50,True,True,True
APJ,chai,npxxy,-20.58016,-8.602236455499924,A,SINGLETON_APJ,50,True,True,True
B1B1U5,chai,tilt,6.725196,0.1866025015911532,A,SINGLETON_B1B1U5,50,True,True,False
B1B1U5,chai,npxxy,1.3547069999999994,-0.5857557611443198,A,SINGLETON_B1B1U5,50,True,True,False
CCKAR,chai,tilt,,0.358100590570455,A,SINGLETON_CCKAR,50,False,False,False
CCKAR,chai,npxxy,,0.2462227196046202,A,SINGLETON_CCKAR,50,False,False,False
CCR5,chai,tilt,6.79565830202705,0.2366259033043256,A,SINGLETON_CCR5,50,True,True,True
CCR5,chai,npxxy,-7.020236830706299,-0.2916350326477968,A,SINGLETON_CCR5,50,True,True,True
CNR1,chai,tilt,5.543704230842698,0.0665728009404666,A,CNR,50,True,True,False
CNR1,chai,npxxy,-5.950717835566201,0.0497570987023365,A,CNR,50,True,True,False
CNR2,chai,tilt,4.888456,1.212425707343222,A,CNR,50,True,True,True
CNR2,chai,npxxy,-6.8025649999999995,1.077024641223689,A,CNR,50,True,True,True
CRHR1,chai,tilt,7.766566000000001,0.5369850407742476,B,CLASS_B,50,True,False,False
CRHR1,chai,npxxy,,,B,CLASS_B,50,False,False,False
CXCR2,chai,tilt,5.325510000000001,5.428521954796842,A,CXCR,50,True,True,True
CXCR2,chai,npxxy,-4.009462,-5.67332251215892,A,CXCR,50,True,True,True
CXCR4,chai,tilt,4.676210000000001,5.555531803055882,A,CXCR,50,True,True,True
CXCR4,chai,npxxy,-9.579457,-8.432203329341915,A,CXCR,50,True,True,True
DRD2,chai,tilt,6.140034,5.7890674743118335,A,DRD,50,True,True,True
DRD2,chai,npxxy,-5.778296,-5.633461882317839,A,DRD,50,True,True,True
DRD3,chai,tilt,,5.908478233080174,A,DRD,50,False,False,False
DRD3,chai,npxxy,,-5.906956516288565,A,DRD,50,False,False,False
EDNRA,chai,tilt,,0.35232879308343,A,EDN,50,False,False,False
EDNRA,chai,npxxy,,,A,EDN,50,False,False,False
EDNRB,chai,tilt,2.7241669999999996,0.5587571962343283,A,EDN,50,True,True,True
EDNRB,chai,npxxy,,,A,EDN,50,False,False,False
FSHR,chai,tilt,5.272624999999998,0.8489412866035835,A,GLYCOPROTEIN,50,True,True,True
FSHR,chai,npxxy,,0.1660595385652659,A,GLYCOPROTEIN,50,False,False,False
FZD4,chai,tilt,2.894582500000002,,F,FZD,25,False,False,False
FZD4,chai,npxxy,,,F,FZD,25,False,False,False
FZD6,chai,tilt,1.0336879999999995,2.409330278333874,F,FZD,50,True,False,False
FZD6,chai,npxxy,,,F,FZD,50,False,False,False
FZD7,chai,tilt,2.472462,0.0058805253567157,F,FZD,50,True,False,False
FZD7,chai,npxxy,,,F,FZD,50,False,False,False
GCGR,chai,tilt,12.860397999999998,10.147135362831156,B,CLASS_B,50,True,False,False
GCGR,chai,npxxy,,,B,CLASS_B,50,False,False,False
GHSR,chai,tilt,5.291046999999999,4.132314733972347,A,SINGLETON_GHSR,50,True,True,True
GHSR,chai,npxxy,-5.222514,-3.740198897161103,A,SINGLETON_GHSR,50,True,True,True
GLP1R,chai,tilt,10.231247000000002,1.047307481027726,B,CLASS_B,50,True,False,False
GLP1R,chai,npxxy,,,B,CLASS_B,50,False,False,False
GRPR,chai,tilt,5.386479,5.741278725969293,A,SINGLETON_GRPR,50,True,True,True
GRPR,chai,npxxy,,,A,SINGLETON_GRPR,50,False,False,False
HRH1,chai,tilt,5.087273,4.668618099288125,A,HRH,50,True,True,True
HRH1,chai,npxxy,-10.714563000000002,-11.197488480229383,A,HRH,50,True,True,True
HRH3,chai,tilt,,0.0232436032646248,A,HRH,50,False,False,False
HRH3,chai,npxxy,,,A,HRH,50,False,False,False
LPAR1,chai,tilt,6.540000999999998,0.1076198894649245,A,SINGLETON_LPAR1,50,True,True,True
LPAR1,chai,npxxy,-5.192592000000001,0.1843158226122643,A,SINGLETON_LPAR1,50,True,True,True
LSHR,chai,tilt,7.156556000000002,-0.2129698038615046,A,GLYCOPROTEIN,50,True,True,True
LSHR,chai,npxxy,,0.7669246450796714,A,GLYCOPROTEIN,50,False,False,False
LT4R1,chai,tilt,5.9134540000000015,-0.6334149473978048,A,SINGLETON_LT4R1,50,True,True,True
LT4R1,chai,npxxy,-8.16752,-0.782132618114499,A,SINGLETON_LT4R1,50,True,True,True
MCHR1,chai,tilt,4.580696,0.2981523714361671,A,SINGLETON_MCHR1,50,True,True,False
MCHR1,chai,npxxy,-2.009340999999999,-0.621653916425565,A,SINGLETON_MCHR1,50,True,True,False
NPY1R,chai,tilt,5.040165999999999,4.835281689039849,A,NPY,50,True,True,True
NPY1R,chai,npxxy,-5.970039,-4.299643197055674,A,NPY,50,True,True,True
NPY2R,chai,tilt,5.592457000000001,4.576474407684211,A,NPY,50,True,True,True
NPY2R,chai,npxxy,-5.801127,-5.800985491198425,A,NPY,50,True,True,True
OPRD,chai,tilt,3.728368999999999,5.797063987409372,A,opioid,50,True,True,False
OPRD,chai,npxxy,2.4976699999999994,-6.797357518194714,A,opioid,50,True,True,False
OPRK,chai,tilt,5.625022000000001,0.6637917280584773,A,opioid,50,True,True,True
OPRK,chai,npxxy,-7.604551,-0.9113308877046666,A,opioid,50,True,True,True
OPRX,chai,tilt,5.977647000000001,5.619967446824582,A,opioid,50,True,True,True
OPRX,chai,npxxy,-6.683811,-6.924373261206307,A,opioid,50,True,True,True
OPSD,chai,tilt,4.126431,0.1914670002784859,A,OPSIN,50,True,True,True
OPSD,chai,npxxy,-19.534927,-0.0128573147515416,A,OPSIN,50,True,True,True
OX2R,chai,tilt,,2.8785056772761664,A,SINGLETON_OX2R,50,False,False,False
OX2R,chai,npxxy,,-1.2893662240688997,A,SINGLETON_OX2R,50,False,False,False
PTH1R,chai,tilt,10.579623000000002,0.3727002638726517,B,CLASS_B,50,True,False,False
PTH1R,chai,npxxy,,,B,CLASS_B,50,False,False,False
SMO,chai,tilt,4.872239499999999,0.0435743189861739,F,FZD,50,True,False,False
SMO,chai,npxxy,,,F,FZD,50,False,False,False
5HT1B,of3,tilt,3.7945300000000017,4.694194385005556,A,5HT,50,True,True,True
5HT1B,of3,npxxy,-8.568625,-3.0850057226984857,A,5HT,50,True,True,True
5HT2C,of3,tilt,5.032884000000001,3.7030945632898185,A,5HT,50,True,True,False
5HT2C,of3,npxxy,-1.273892,-1.5802511602905387,A,5HT,50,True,True,False
5HT5A,of3,tilt,6.1184840000000005,4.476429209432727,A,5HT,50,True,True,True
5HT5A,of3,npxxy,-14.608591999999998,-9.294357043910283,A,5HT,50,True,True,True
AA1R,of3,tilt,5.179174,0.2139909111872935,A,SINGLETON_AA1R,50,True,True,True
AA1R,of3,npxxy,-5.755420999999999,0.1432598003224772,A,SINGLETON_AA1R,50,True,True,True
AA2AR,of3,tilt,6.1267672859230515,6.390362979684211,A,ADA_adenosine,50,True,True,True
AA2AR,of3,npxxy,-5.960439922689195,-5.201169488473109,A,ADA_adenosine,50,True,True,True
ACM1,of3,tilt,,3.28916101056393,A,ACM,50,False,False,False
ACM1,of3,npxxy,,-0.0861373130962626,A,ACM,50,False,False,False
ACM2,of3,tilt,5.670973,3.6631092928617743,A,SINGLETON_ACM2,50,True,True,True
ACM2,of3,npxxy,-13.623505000000002,-5.855452140888556,A,SINGLETON_ACM2,50,True,True,True
ACM4,of3,tilt,5.897988,6.354181457423106,A,ACM,50,True,True,True
ACM4,of3,npxxy,-12.779903999999998,-6.938064334033159,A,ACM,50,True,True,True
ADA2A,of3,tilt,,6.47408835705882,A,ADA_a2a,50,False,False,False
ADA2A,of3,npxxy,,-5.706915003884317,A,ADA_a2a,50,False,False,False
ADRB1,of3,tilt,,5.540969308466886,A,ADR,50,False,False,False
ADRB1,of3,npxxy,,-4.897138631921007,A,ADR,50,False,False,False
ADRB2,of3,tilt,5.634227103599299,5.646171158615676,A,ADR,50,True,True,True
ADRB2,of3,npxxy,-6.5812425650102995,-5.127057225327733,A,ADR,50,True,True,True
AGTR1,of3,tilt,7.857559,6.932797344809334,A,SINGLETON_AGTR1,50,True,True,True
AGTR1,of3,npxxy,-7.732562,-5.954228847305758,A,SINGLETON_AGTR1,50,True,True,True
APJ,of3,tilt,2.292432999999999,1.1410197829310285,A,SINGLETON_APJ,50,True,True,True
APJ,of3,npxxy,-20.58016,-4.242947890660955,A,SINGLETON_APJ,50,True,True,True
B1B1U5,of3,tilt,6.725196,6.772670451538383,A,SINGLETON_B1B1U5,50,True,True,False
B1B1U5,of3,npxxy,1.3547069999999994,-4.390586620613671,A,SINGLETON_B1B1U5,50,True,True,False
CCKAR,of3,tilt,,4.949162307888919,A,SINGLETON_CCKAR,50,False,False,False
CCKAR,of3,npxxy,,-5.8403663838166935,A,SINGLETON_CCKAR,50,False,False,False
CCR5,of3,tilt,6.79565830202705,-0.3950260828822465,A,SINGLETON_CCR5,50,True,True,True
CCR5,of3,npxxy,-7.020236830706299,-3.9408367391664054,A,SINGLETON_CCR5,50,True,True,True
CNR1,of3,tilt,5.543704230842698,2.6283162368040216,A,CNR,50,True,True,False
CNR1,of3,npxxy,-5.950717835566201,-1.322442018423791,A,CNR,50,True,True,False
CNR2,of3,tilt,4.888456,1.741315540608113,A,CNR,50,True,True,True
CNR2,of3,npxxy,-6.8025649999999995,0.0118379725166826,A,CNR,50,True,True,True
CRHR1,of3,tilt,7.766566000000001,4.072138234980901,B,CLASS_B,50,True,False,False
CRHR1,of3,npxxy,,,B,CLASS_B,50,False,False,False
CXCR2,of3,tilt,5.325510000000001,5.628170142877936,A,CXCR,50,True,True,True
CXCR2,of3,npxxy,-4.009462,-5.435760277667273,A,CXCR,50,True,True,True
CXCR4,of3,tilt,4.676210000000001,4.839908810158748,A,CXCR,50,True,True,True
CXCR4,of3,npxxy,-9.579457,-6.799560215620887,A,CXCR,50,True,True,True
DRD2,of3,tilt,6.140034,5.214553023387229,A,DRD,50,True,True,True
DRD2,of3,npxxy,-5.778296,-5.690275637473654,A,DRD,50,True,True,True
DRD3,of3,tilt,,5.328273387370203,A,DRD,50,False,False,False
DRD3,of3,npxxy,,-5.884293322941215,A,DRD,50,False,False,False
EDNRA,of3,tilt,,4.814160360618894,A,EDN,50,False,False,False
EDNRA,of3,npxxy,,,A,EDN,50,False,False,False
EDNRB,of3,tilt,2.7241669999999996,4.899185056074192,A,EDN,50,True,True,True
EDNRB,of3,npxxy,,,A,EDN,50,False,False,False
FSHR,of3,tilt,5.272624999999998,4.595090610814186,A,GLYCOPROTEIN,50,True,True,True
FSHR,of3,npxxy,,-2.7955278466364355,A,GLYCOPROTEIN,50,False,False,False
FZD4,of3,tilt,2.894582500000002,,F,FZD,25,False,False,False
FZD4,of3,npxxy,,,F,FZD,25,False,False,False
FZD6,of3,tilt,1.0336879999999995,0.1224853234201397,F,FZD,50,True,False,False
FZD6,of3,npxxy,,,F,FZD,50,False,False,False
FZD7,of3,tilt,2.472462,-0.0694404605158638,F,FZD,50,True,False,False
FZD7,of3,npxxy,,,F,FZD,50,False,False,False
GCGR,of3,tilt,12.860397999999998,1.9461263733355272,B,CLASS_B,50,True,False,False
GCGR,of3,npxxy,,,B,CLASS_B,50,False,False,False
GHSR,of3,tilt,5.291046999999999,4.786133380077855,A,SINGLETON_GHSR,50,True,True,True
GHSR,of3,npxxy,-5.222514,-5.045050653432789,A,SINGLETON_GHSR,50,True,True,True
GLP1R,of3,tilt,10.231247000000002,1.0580313299866615,B,CLASS_B,50,True,False,False
GLP1R,of3,npxxy,,,B,CLASS_B,50,False,False,False
GRPR,of3,tilt,5.386479,5.614258299212974,A,SINGLETON_GRPR,50,True,True,True
GRPR,of3,npxxy,,,A,SINGLETON_GRPR,50,False,False,False
HRH1,of3,tilt,5.087273,2.443922050839898,A,HRH,50,True,True,True
HRH1,of3,npxxy,-10.714563000000002,0.1041141786083024,A,HRH,50,True,True,True
HRH3,of3,tilt,,3.8288682207323834,A,HRH,50,False,False,False
HRH3,of3,npxxy,,,A,HRH,50,False,False,False
LPAR1,of3,tilt,6.540000999999998,-0.0185186553281688,A,SINGLETON_LPAR1,50,True,True,True
LPAR1,of3,npxxy,-5.192592000000001,2.9917593156870685,A,SINGLETON_LPAR1,50,True,True,True
LSHR,of3,tilt,7.156556000000002,4.333011963350952,A,GLYCOPROTEIN,50,True,True,True
LSHR,of3,npxxy,,-2.6055921707020477,A,GLYCOPROTEIN,50,False,False,False
LT4R1,of3,tilt,5.9134540000000015,5.904078478607124,A,SINGLETON_LT4R1,50,True,True,True
LT4R1,of3,npxxy,-8.16752,-1.142207735048439,A,SINGLETON_LT4R1,50,True,True,True
MCHR1,of3,tilt,4.580696,5.1915530910696255,A,SINGLETON_MCHR1,50,True,True,False
MCHR1,of3,npxxy,-2.009340999999999,-3.309121165577344,A,SINGLETON_MCHR1,50,True,True,False
NPY1R,of3,tilt,5.040165999999999,4.944548792359518,A,NPY,50,True,True,True
NPY1R,of3,npxxy,-5.970039,-9.083058914873062,A,NPY,50,True,True,True
NPY2R,of3,tilt,5.592457000000001,5.281847497770418,A,NPY,50,True,True,True
NPY2R,of3,npxxy,-5.801127,-3.1214941008888655,A,NPY,50,True,True,True
OPRD,of3,tilt,3.728368999999999,5.492757881851082,A,opioid,50,True,True,False
OPRD,of3,npxxy,2.4976699999999994,-5.998661561410368,A,opioid,50,True,True,False
OPRK,of3,tilt,5.625022000000001,5.629549650660239,A,opioid,50,True,True,True
OPRK,of3,npxxy,-7.604551,-6.087281482773843,A,opioid,50,True,True,True
OPRX,of3,tilt,5.977647000000001,5.646680476778084,A,opioid,50,True,True,True
OPRX,of3,npxxy,-6.683811,-6.146671783156223,A,opioid,50,True,True,True
OPSD,of3,tilt,4.126431,4.993509892278389,A,OPSIN,50,True,True,True
OPSD,of3,npxxy,-19.534927,-9.53016820315939,A,OPSIN,50,True,True,True
OX2R,of3,tilt,,4.3506759262835875,A,SINGLETON_OX2R,50,False,False,False
OX2R,of3,npxxy,,-4.6480088293685995,A,SINGLETON_OX2R,50,False,False,False
PTH1R,of3,tilt,10.579623000000002,4.96003461437158,B,CLASS_B,50,True,False,False
PTH1R,of3,npxxy,,,B,CLASS_B,50,False,False,False
SMO,of3,tilt,4.872239499999999,-2.13971751564058,F,FZD,50,True,False,False
SMO,of3,npxxy,,,F,FZD,50,False,False,False
5HT1B,protenix,tilt,3.7945300000000017,3.793247790018473,A,5HT,50,True,True,True
5HT1B,protenix,npxxy,-8.568625,-1.76920430025228,A,5HT,50,True,True,True
5HT2C,protenix,tilt,5.032884000000001,4.517045730579229,A,5HT,50,True,True,False
5HT2C,protenix,npxxy,-1.273892,-0.7697216293166669,A,5HT,50,True,True,False
5HT5A,protenix,tilt,6.1184840000000005,4.633261998043469,A,5HT,50,True,True,True
5HT5A,protenix,npxxy,-14.608591999999998,-12.551418207629922,A,5HT,50,True,True,True
AA1R,protenix,tilt,5.179174,5.600612396156121,A,SINGLETON_AA1R,50,True,True,True
AA1R,protenix,npxxy,-5.755420999999999,-4.930344703384645,A,SINGLETON_AA1R,50,True,True,True
AA2AR,protenix,tilt,6.1267672859230515,6.025893374648559,A,ADA_adenosine,50,True,True,True
AA2AR,protenix,npxxy,-5.960439922689195,-5.656212217910129,A,ADA_adenosine,50,True,True,True
ACM1,protenix,tilt,,13.523111442849816,A,ACM,50,False,False,False
ACM1,protenix,npxxy,,12.946326765788742,A,ACM,50,False,False,False
ACM2,protenix,tilt,5.670973,6.060901098912911,A,SINGLETON_ACM2,50,True,True,True
ACM2,protenix,npxxy,-13.623505000000002,-6.75181011517088,A,SINGLETON_ACM2,50,True,True,True
ACM4,protenix,tilt,5.897988,5.93341109719171,A,ACM,50,True,True,True
ACM4,protenix,npxxy,-12.779903999999998,-7.108908841112075,A,ACM,50,True,True,True
ADA2A,protenix,tilt,,6.526123808528967,A,ADA_a2a,50,False,False,False
ADA2A,protenix,npxxy,,-5.931751970570974,A,ADA_a2a,50,False,False,False
ADRB1,protenix,tilt,,6.21283313202362,A,ADR,50,False,False,False
ADRB1,protenix,npxxy,,-6.541676834095168,A,ADR,50,False,False,False
ADRB2,protenix,tilt,5.634227103599299,6.366198381773049,A,ADR,50,True,True,True
ADRB2,protenix,npxxy,-6.5812425650102995,-6.4971759074746025,A,ADR,50,True,True,True
AGTR1,protenix,tilt,7.857559,6.7521055260570115,A,SINGLETON_AGTR1,50,True,True,True
AGTR1,protenix,npxxy,-7.732562,-6.875328067090624,A,SINGLETON_AGTR1,50,True,True,True
APJ,protenix,tilt,2.292432999999999,5.743194671574457,A,SINGLETON_APJ,50,True,True,True
APJ,protenix,npxxy,-20.58016,-5.924021700751363,A,SINGLETON_APJ,50,True,True,True
B1B1U5,protenix,tilt,6.725196,6.806497397372638,A,SINGLETON_B1B1U5,50,True,True,False
B1B1U5,protenix,npxxy,1.3547069999999994,-4.583486112585552,A,SINGLETON_B1B1U5,50,True,True,False
