receptor,active_pdb,inactive_pdb,pocket_ca_rmsd_A,delta_ref_npxxy_A,delta_ref_tilt_A,pocket_ca_rank_of_40,cif_source_note,n_pocket,n_common_tm,tm_kabsch_rmsd_A,status,pocket_missing
B1B1U5,9EPR,6I9K,1.546,-3.2124,6.7252,30,"release/panel/refs/pdb (active=9epr.cif, inactive=6i9k.cif)",12,241,2.9806,ok,
CCKAR,7MBX,7F8Y,1.4784,-4.8379,4.4725,28,"release/panel/refs/pdb (active=7mbx.cif, inactive=7f8y.cif)",12,228,1.938,ok,
CCR5,7F1S,5UIW,0.9872,-5.9314,6.5556,9,"release/panel/refs/pdb (active=7f1s.cif, inactive=5uiw.cif)",12,227,2.6075,ok,
CNR1,5XRA,5U09,1.5554,-3.5111,5.9188,32,"release/panel/refs/pdb (active=5xra.cif, inactive=5u09.cif)",12,217,2.8157,ok,
CNR2,8GUR,5ZTY,0.7796,-3.583,4.8885,3,"release/panel/refs/pdb (active=8gur.cif, inactive=5zty.cif)",12,223,2.3442,ok,
CXCR2,6LFO,6LFL,1.7341,-4.9376,5.3255,37,"release/panel/refs/pdb (active=6lfo.cif, inactive=6lfl.cif)",12,222,2.3904,ok,
CXCR4,8U4N,3ODU,1.4742,-9.0565,4.6762,27,"release/panel/refs/pdb (active=8u4n.cif, inactive=3odu.cif)",12,228,2.4544,ok,
DRD2,7JVR,6CM4,1.4894,-5.3361,6.14,29,"release/panel/refs/pdb (active=7jvr.cif, inactive=6cm4.cif)",12,224,2.4108,ok,
DRD3,8IRT,3PBL,1.0949,-5.1672,5.4241,16,"release/panel/refs/pdb (active=8irt.cif, inactive=3pbl.cif)",12,218,2.2283,ok,
EDNRA,8HCQ,8XVK,1.6771,-2.6432,3.7538,35,"release/panel/refs/pdb (active=8hcq.cif, inactive=8xvk.cif)",12,237,2.6485,ok,
EDNRB,8IY5,6IGK,0.8199,-0.7425,2.7242,5,"release/panel/refs/pdb (active=8iy5.cif, inactive=6igk.cif)",12,244,1.7302,ok,
FSHR,8I2G,8I2H,0.7976,-0.3657,5.2726,4,"release/panel/refs/pdb (active=8i2g.cif, inactive=8i2h.cif)",12,218,2.5584,ok,
GHSR,7NA7,7F83,1.7103,-3.7935,5.291,36,"release/panel/refs/pdb (active=7na7.cif, inactive=7f83.cif)",12,232,2.996,ok,
GRPR,7W40,7W41,1.3159,-4.6465,5.3865,24,"release/panel/refs/pdb (active=7w40.cif, inactive=7w41.cif)",12,230,2.7698,ok,
HRH1,8YN2,8X5Y,1.1695,-3.3406,5.0873,19,"release/panel/refs/pdb (active=8yn2.cif, inactive=8x5y.cif)",12,210,2.2117,ok,
HRH3,8YUU,7F61,1.5801,-4.5787,3.7493,33,"release/panel/refs/pdb (active=8yuu.cif, inactive=7f61.cif)",12,225,2.4095,ok,
LPAR1,7TD0,4Z36,1.3239,-4.5546,6.54,25,"release/panel/refs/pdb (active=7td0.cif, inactive=4z36.cif)",12,211,2.265,ok,
LSHR,7FIH,7FIJ,1.8996,-4.0136,7.1566,40,"release/panel/refs/pdb (active=7fih.cif, inactive=7fij.cif)",12,218,3.1219,ok,
LT4R1,7VKT,7K15,1.0795,-5.1082,5.9135,14,"release/panel/refs/pdb (active=7vkt.cif, inactive=7k15.cif)",12,239,2.8394,ok,
MCHR1,8WWK,8YNS,1.5493,-2.8395,4.5807,31,"release/panel/refs/pdb (active=8wwk.cif, inactive=8yns.cif)",12,222,2.4054,ok,
NPY1R,7X9A,5ZBQ,1.2052,-4.6995,5.0402,20,"release/panel/refs/pdb (active=7x9a.cif, inactive=5zbq.cif)",12,229,2.2031,ok,
NPY2R,7YON,7DDZ,1.4222,-3.2771,5.5925,26,"release/panel/refs/pdb (active=7yon.cif, inactive=7ddz.cif)",12,232,2.5357,ok,
OPRD,6PT2,4N6H,1.0824,-1.2444,3.7284,15,"release/panel/refs/pdb (active=6pt2.cif, inactive=4n6h.cif)",12,231,2.6135,ok,
OPRK,8FEG,4DJH,1.0158,-4.3698,5.625,10,"release/panel/refs/pdb (active=8feg.cif, inactive=4djh.cif)",12,229,2.4055,ok,
OPRX,8F7X,5DHH,1.2791,-4.7704,5.9776,22,"release/panel/refs/pdb (active=8f7x.cif, inactive=5dhh.cif)",12,230,2.8409,ok,
OPSD,4X1H,7ZBC,1.849,-5.4179,4.1264,38,"release/panel/refs/pdb (active=4x1h.cif, inactive=7zbc.cif)",12,206,2.3967,ok,
OX2R,7L1V,5WQC,1.1001,-3.7702,4.6477,17,"release/panel/refs/pdb (active=7l1v.cif, inactive=5wqc.cif)",12,220,2.2811,ok,
